priority,confirmation_lane,knowledge_id,canonical_situation,existing_source_ids,existing_source_date_or_version,existing_evidence_locators,resolution_type,controlling_update_needed,human_owner_class,exact_confirmation_request,required_evidence_elements,current_safe_boundary,backlog_ids,acquisition_queue_resource_ids,publication_gate
11,DEVICE_ACCESS_AND_OPERATIONAL_SUPPORT,KNO-FORGE-MANIFEST-PERMISSIONS-001,Manifest Preview remains unavailable because device permissions were denied,SRC-GDRIVE-FILE-0013,"Manifest Preview 4.5.0, guide version 1.00, 2024-10-10",SRC-GDRIVE-FILE-0013: Manifest Preview guide pages 2-3,CURRENT_VERSION_CONFIRMATION,Current Manifest Preview permission names and authorized managed-device remediation.,FORGE_PRODUCT_AND_DEVICE_MANAGEMENT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_AND_DEVICE_MANAGEMENT_OWNER for: Manifest Preview remains unavailable because device permissions were denied. Confirm this exact requirement: Current Manifest Preview permission names and authorized managed-device remediation.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","Manifest Preview 4.5.0 documents that the app stays unavailable if any required location or photos/media/files permission was denied. Confirm the current app and managed-device policy before changing permissions. If policy blocks the change or the app still will not open, notify management and device support before dispatch; do not assume there are no manifest discrepancies.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
12,DEVICE_ACCESS_AND_OPERATIONAL_SUPPORT,KNO-FORGE-FIRST-LAUNCH-001,FORGE remains unavailable after first launch because device permissions were denied,SRC-GDRIVE-FILE-0008,"FORGE P&D Application Guide 3.00 / FORGE 2.8.0, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE P&D Application Guide 3.00 pages 8-10,CURRENT_VERSION_CONFIRMATION,Current first-launch permission prompts and authorized managed-device remediation.,FORGE_PRODUCT_AND_DEVICE_MANAGEMENT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_AND_DEVICE_MANAGEMENT_OWNER for: FORGE remains unavailable after first launch because device permissions were denied. Confirm this exact requirement: Current first-launch permission prompts and authorized managed-device remediation.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","The April 2025 FORGE 2.8.0 guide says required first-launch permissions must be allowed before the app is available. Confirm the current version; if a permission cannot be enabled or the prompts differ, contact device/FORGE support.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
13,DEVICE_ACCESS_AND_OPERATIONAL_SUPPORT,KNO-FORGE-MANIFEST-SEARCH-001,Filtering or searching Manifest Preview before dispatch,SRC-GDRIVE-FILE-0013,"Manifest Preview 4.5.0, guide version 1.00, 2024-10-10",SRC-GDRIVE-FILE-0013: Manifest Preview guide pages 4-6 and 13-14,CURRENT_VERSION_CONFIRMATION,Current Manifest Preview search/filter/map behavior and assignment-authority boundary.,FORGE_PRODUCT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Filtering or searching Manifest Preview before dispatch. Confirm this exact requirement: Current Manifest Preview search/filter/map behavior and assignment-authority boundary.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","In Manifest Preview 4.5.0 before dispatch, use Summary/Expand, premium-service Filter, or Search by address, shipper, or SID; map view requires the station map. Confirm the current version, and do not treat the view as authorization to reassign or reroute a package.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
14,DEVICE_ACCESS_AND_OPERATIONAL_SUPPORT,KNO-FORGE-TIME-REMINDER-001,FORGE displays a delivery or pickup reminder near the target close time,SRC-GDRIVE-FILE-0008,"FORGE 2.8.0 guide, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide page 236,CURRENT_VERSION_CONFIRMATION,Current reminder timing/meaning and confirmation that it does not replace service-window escalation.,FORGE_PRODUCT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: FORGE displays a delivery or pickup reminder near the target close time. Confirm this exact requirement: Current reminder timing/meaning and confirmation that it does not replace service-window escalation.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","The 30-minute reminder behavior is documented in FORGE 2.8.0 and requires current-version confirmation. If shown, open it and verify the exact stop and target time. It does not extend the window or complete the stop. If the requirement cannot be met, escalate through management/CXPC immediately.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
15,DEVICE_ACCESS_AND_OPERATIONAL_SUPPORT,KNO-FORGE-MESSAGING-001,Sending a pickup or delivery message from FORGE,SRC-GDRIVE-FILE-0008,"FORGE P&D Application Guide 3.00 / FORGE 2.8.0, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE P&D Application Guide 3.00 pages 237-238,CURRENT_VERSION_CONFIRMATION,"Current messaging recipients, stop references, presets, sync behavior, and emergency-use boundary.",FORGE_PRODUCT_OWNER,"Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Sending a pickup or delivery message from FORGE. Confirm this exact requirement: Current messaging recipients, stop references, presets, sync behavior, and emergency-use boundary.","Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","In the April 2025 FORGE 2.8.0 guide, open Inbox/New Message, choose the correct work area, attach the correct stop reference when applicable, send accurate text or a quick message, and watch the Inbox for a response. Confirm the current version; use required emergency channels for urgent incidents.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
16,SETTINGS_REFERENCE_AND_PRODUCT_TAXONOMY,KNO-PUP-SERVICE-TYPES-001,Identifying the pickup service type shown in FORGE,SRC-GDRIVE-FILE-0002,"OP-119, 2024-09-09",SRC-GDRIVE-FILE-0002: OP-119 page 5,CONTROLLING_SOURCE_ACQUISITION,"Current pickup-service labels, definitions, availability, timing, and selection criteria.",FEDEX_PICKUP_PRODUCT_AND_FORGE_OWNER,"Obtain the current controlling source or an explicit determination from FEDEX_PICKUP_PRODUCT_AND_FORGE_OWNER for: Identifying the pickup service type shown in FORGE. Confirm this exact requirement: Current pickup-service labels, definitions, availability, timing, and selection criteria.","Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","The 2024 OP-119 guide defines FDO/SDO as call-in pickups, PRP/CTG as distinct return-related types, SCH/AUT as scheduled types, and NAP as a FedEx OnSite/third-party network location. Confirm the current source/version and use the specific operational procedure—these labels alone do not establish what to do.",REFSRC-035,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
17,SETTINGS_REFERENCE_AND_PRODUCT_TAXONOMY,KNO-FORGE-AUDIO-ALERTS-001,Driver cannot disable delivery-instruction or pickup-closing audio in FORGE settings,SRC-GDRIVE-FILE-0010,FORGE Settings optimized to 2.0.0; filename revision 2025-06-10,SRC-GDRIVE-FILE-0010: FORGE Settings page 2,CURRENT_VERSION_CONFIRMATION,Current installed-version behavior for delivery-instruction and pickup-closing audio controls.,FORGE_PRODUCT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Driver cannot disable delivery-instruction or pickup-closing audio in FORGE settings. Confirm this exact requirement: Current installed-version behavior for delivery-instruction and pickup-closing audio controls.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","In the documented FORGE 2.0.0 settings, Delivery Instructions and Pickup Closing audio cannot be turned off even when other text-to-speech functions are disabled. Check your installed version; if the current Settings screen behaves differently or appears broken, contact device/application support.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
18,SETTINGS_REFERENCE_AND_PRODUCT_TAXONOMY,KNO-FORGE-DISPLAY-NAV-SETTINGS-001,Changing FORGE navigation or stop-list display preferences,SRC-GDRIVE-FILE-0010,"FORGE Settings 2.0.0, filename revision 2025-06-10",SRC-GDRIVE-FILE-0010: FORGE Settings pages 1 and 3-4,CURRENT_VERSION_CONFIRMATION,Current navigation-provider and stop-list/display settings and safety constraints.,FORGE_PRODUCT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Changing FORGE navigation or stop-list display preferences. Confirm this exact requirement: Current navigation-provider and stop-list/display settings and safety constraints.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","The older FORGE 2.0.0 guide places navigation, map, progress, closed-stop, tap, and stop-card preferences under Settings. Confirm the current version and change settings only while safely stopped; these preferences do not change required service or scan rules.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
19,SETTINGS_REFERENCE_AND_PRODUCT_TAXONOMY,KNO-FORGE-DEVICE-INFO-001,"Finding FORGE version, build, serial, device ID, or IP information for support",SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0010,"FORGE P&D Application Guide 3.00 / FORGE 2.8.0, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE P&D Application Guide 3.00 page 246; SRC-GDRIVE-FILE-0010: FORGE Settings page 6,CURRENT_VERSION_CONFIRMATION,Current version/build/device-information paths and identifier-disclosure policy.,FORGE_PRODUCT_AND_DEVICE_MANAGEMENT_OWNER,"Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_AND_DEVICE_MANAGEMENT_OWNER for: Finding FORGE version, build, serial, device ID, or IP information for support. Confirm this exact requirement: Current version/build/device-information paths and identifier-disclosure policy.","Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","Ready Route cannot confirm the current menu labels from the supplied sources. The April 2025 FORGE 2.8.0 guide shows device details on the Login display, Settings > About, or EOD > User Info. Use the available path and read the exact requested field. If those paths differ or are missing, verify the installed FORGE version or contact current device/FORGE support.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
20,SETTINGS_REFERENCE_AND_PRODUCT_TAXONOMY,KNO-FORGE-LANGUAGE-001,Changing the displayed language in FORGE,SRC-GDRIVE-FILE-0008,"FORGE P&D Application Guide 3.00 / FORGE 2.8.0, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE P&D Application Guide 3.00 page 25,CURRENT_VERSION_CONFIRMATION,Current language-setting path and effect.,FORGE_PRODUCT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Changing the displayed language in FORGE. Confirm this exact requirement: Current language-setting path and effect.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","In the April 2025 FORGE 2.8.0 guide, open Settings, choose Language under Display and Sound Preferences, and select the available language. Confirm the current version or contact FORGE support if that path is missing.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
