code,label,translation_status,knowledge_ids,assessment,required_follow_up
081,Contractor Refused Package,OPERATIONAL_RECORD_LINKED,KNO-PUP-CALLTAG-RESTRICTED-001,"The restricted call-tag refusal, hazmat prohibition, and escalation are modeled.",
082,Local Weather Delay,DEFINITION_ONLY_WORKFLOW_GAP,,"OP-117 requires an approved weather event but does not identify approval authority or the complete no-attempt/documentation process.",Acquire current weather-event approval and handling rules.
083,Delivery Restriction/Local Holiday,DEFINITION_ONLY_WORKFLOW_GAP,,"OP-117 requires an approved restriction/holiday but does not identify approval authority or complete handling.",Acquire current restriction/holiday approval and handling rules.
095,Transfer Custodial Control,OPERATIONAL_RECORD_LINKED,KNO-DEL-HAL-DELIVERY-001,"HAL transfer eligibility, location, scanning, and automatic code are modeled.",
100,Customer Request - No Attempt Made,OPERATIONAL_RECORD_LINKED,KNO-DEL-NOTATION-001,"The CXPC intercept, automatic code, and package notation are modeled.",
250,Unable to Hold at Location,OPERATIONAL_RECORD_LINKED,KNO-DEL-HAL-UNABLE-001,"Before/after-close hold-location refusal branches and QA return are modeled.",Acquire current OP-406 artifact for exact after-close documentation.
251,Tendered to Canada Post,DEFINITION_ONLY_WORKFLOW_GAP,,"The Canada-specific result and PO Box/Rural Route exclusion are defined; tender authorization and custody workflow are absent.",Acquire the current Canada Post tender procedure if Ground scope requires it.
252,PO Box or Rural Route Canada Post,DEFINITION_ONLY_WORKFLOW_GAP,,"The Canada-specific result is defined; tender authorization and custody workflow are absent.",Acquire the current Canada Post PO Box/Rural Route procedure if Ground scope requires it.
253,Air Restricted Interline,DEFINITION_ONLY_WORKFLOW_GAP,,"The Alaska/USPS air-restricted condition is defined; content determination, authorization, custody, and documentation are absent.",Acquire the current Alaska air-restricted interline procedure.
351,Future Delivery Requested at Pickup,DEFINITION_ONLY_WORKFLOW_GAP,,"The shipper-request/future-date condition is defined; authorization and complete date/documentation flow are absent.",Acquire the current future-delivery-at-pickup procedure.
352,Package Received After Cutoff,DEFINITION_ONLY_WORKFLOW_GAP,,"The after-ramp-cutoff condition is defined; required notification, custody, and service handling are absent.",Acquire the current after-cutoff pickup procedure.
353,International Paperwork Incomplete,OPERATIONAL_RECORD_LINKED,KNO-PUP-INTERNATIONAL-DOCS-001,"The FORGE document prompt and code condition are modeled, but the controlling document set remains human review.",Acquire current international document requirements.
354,Country/City Not Served,DEFINITION_ONLY_WORKFLOW_GAP,,"The unserved-destination condition is defined; authoritative service lookup, notification, and package disposition are absent.",Acquire the current destination-serviceability procedure.
355,Exceeds Service Limits,DEFINITION_ONLY_WORKFLOW_GAP,KNO-HAZ-ACCEPTANCE-001;KNO-PUP-PACKAGING-001,"Some acceptance constraints are modeled, but the complete current weight/dimension/service-limit matrix and disposition are absent.",Acquire current service-limit and nonacceptance procedures.
356,Incorrect Pickup Information,DEFINITION_ONLY_WORKFLOW_GAP,,"The dispatch-data condition is defined; correction, customer-contact, documentation, and disposition workflow are absent.",Acquire the current incorrect-pickup-information procedure.
357,Attempted Pickup Left Behind,DEFINITION_ONLY_WORKFLOW_GAP,KNO-HAZ-ACCEPTANCE-001;KNO-PUP-PACKAGING-001;KNO-PUP-INTERNATIONAL-DOCS-001,"Examples are modeled in separate records, but the complete code-357 criteria, payment branch, documentation, and disposition are absent.",Acquire the current attempted-pickup-left-behind procedure.
358,Payment Received for Duties and Taxes,OUTSIDE_GROUND_SCOPE_REFERENCE,,"OP-117 labels this as available only to Canada Express users.",Retain as reference; do not present as Ground procedure.
359,Express On-Road Reroute,OUTSIDE_GROUND_SCOPE_REFERENCE,,"OP-117 labels this as Canada Express-only and not the transfer scan.",Retain as reference; do not present as Ground procedure.
360,Unable to Collect Payment for Duties and Taxes,OUTSIDE_GROUND_SCOPE_REFERENCE,,"OP-117 labels this as available only to Canada Express users.",Retain as reference; do not present as Ground procedure.
361,Package Retrieval,DEFINITION_ONLY_WORKFLOW_GAP,KNO-DEL-MISDELIVERY-RECOVERY-001;KNO-DEL-HAL-UNABLE-001,"Same-day misdelivery recovery and hold-location refusal are partly modeled, but expired-HAL and after-same-day retrieval are not established.",Acquire the current package-retrieval procedure.
362,Pickup Payment Received,STATUS_LIMITED_REFERENCE,,"OP-117 says Express pickup payment is available in FORGE but not in Canada or the U.S.; scope is internally unclear.",Obtain controlling geographic/service scope before operational use.
363,Regulatory Agency Delay,AUTO_APPLIED_REFERENCE_ONLY,,"OP-117 says the Clearance/Broker Select intercept code is auto-applied.",Do not instruct the driver to choose an auto-applied code; acquire the underlying intercept workflow if Ground-relevant.
364,Security Delay - Waiting,OUTSIDE_GROUND_SCOPE_REFERENCE,KNO-DEL-SECURITY-NODELIVERY-001,"OP-117 identifies the code as Express-only and informational on Ground; it is preserved to distinguish delay from code-001 prevention.",Retain as reference; do not present as a Ground-selected code.
030,Retail Refusal/O.S.A.,STATUS_LIMITED_REFERENCE,,"The older OP-119 label is absent from current OP-117 and does not define O.S.A. or operative criteria.",Acquire current OP-324 and controlling retail-refusal scope; do not substitute for ordinary code 006.
