knowledge_id,knowledge_status,resolution_type,backlog_ids,acquisition_queue_resource_ids,required_evidence_or_decision,human_owner_class,publication_gate
KNO-VEH-CA-90DAY-INSPECTION-001,HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,,MGB-NAV-0044;MGB-NAV-0068,"Current California 90-day inspection form, defect correction, custody, and return-to-service requirements.",FEDEX_VEHICLE_COMPLIANCE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-PUP-CALLTAG-FRAUD-001,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,REFSRC-022,,"Current suspected-fraud criteria, who may authorize all-call-tag cancellation, documentation, and custody steps.",FEDEX_P_AND_D_SECURITY_AND_FORGE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-PUP-PACKAGING-001,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,REFSRC-037,,"Current driver acceptance/refusal authority and escalation/documentation procedure for non-hazmat packaging defects.",FEDEX_P_AND_D_PICKUP_OPERATIONS_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-PUP-OFFER-DECLINE-001,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,REFSRC-022,,"Current scenarios and business-contact authority for accepting or declining a scheduled pickup offer.",FEDEX_PICKUP_PRODUCT_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-PUP-INTERNATIONAL-DOCS-001,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,REFSRC-026,,"Current document set, country/service exceptions, custody, and refusal/escalation requirements for international pickups.",FEDEX_INTERNATIONAL_PICKUP_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-DEL-COD-MULTI-001,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,REFSRC-027,,"Current COD payment, amount discrepancy, check allocation/payee, refusal, custody, and closeout rules.",FEDEX_COD_PRODUCT_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-DEL-PHARMACY-001,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,REFSRC-038,,"Current pharmacy-counter eligibility, signer/ID/release, timing, custody, and unsuccessful-delivery procedure.",FEDEX_HEALTHCARE_PRODUCT_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-DEL-CRITICAL-HEALTH-001,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,REFSRC-039,,"Current critical-healthcare designation, timing, tracker, notification, release, custody, and exception procedure.",FEDEX_HEALTHCARE_PRODUCT_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-FORGE-BULK-001,HUMAN_REVIEW_REQUIRED,CURRENT_PROCEDURE_AND_AUTHORITY,REFSRC-022,,"Current bulk-manifest eligibility, thresholds, physical-count reconciliation, exception handling, and closeout authority.",FORGE_PRODUCT_AND_P_AND_D_OPERATIONS_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-FORGE-EDIT-ADDRESS-001,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,REFSRC-022,,"Controlling authority for changing a delivery point/address and current documentation/escalation requirements.",FEDEX_P_AND_D_OPERATIONS_AND_FORGE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-FORGE-EOD-001,HUMAN_REVIEW_REQUIRED,CURRENT_PROCEDURE_AND_AUTHORITY,REFSRC-022,,"Current EOD vehicle closure, defects, times, DVIR/HOS records, unresolved-stop handling, and logout requirements.",FORGE_PRODUCT_AND_COMPLIANCE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-FORGE-BULK-TRANSFER-001,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,REFSRC-022,,"Current authorization, sender/receiver custody, work-area assignment, code-079, and completion procedure.",FEDEX_P_AND_D_OPERATIONS_AND_FORGE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-FORGE-LOGIN-WARNING-001,HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,REFSRC-011;REFSRC-022;REFSRC-028,MGB-NAV-0044;MGB-NAV-0068;MGB-NAV-0070,"Current authority and controlling criteria for medical-card, vehicle, CARB, HOS, qualification, and role warnings.",FORGE_PRODUCT_AND_COMPLIANCE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-HOS-DUTY-LIMITS-001,HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,REFSRC-011,MGB-NAV-0068,"Current applicable HOS law, Agreement terms, driver/vehicle classification, and calculation/authorization review. The reviewed Linehaul standards page is a training-resource index and does not establish duty-limit law or calculations.",FEDEX_DOT_HOS_COMPLIANCE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-HOS-SHORT-ADVERSE-001,HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,REFSRC-011,MGB-NAV-0068,"Current short-haul, 16-hour, and adverse-driving exception criteria and resolution of the ambiguous source sentence. The reviewed Linehaul standards page does not contain this exception procedure.",FEDEX_DOT_HOS_COMPLIANCE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-PUP-DROPBOX-SCHEDULE-001,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,REFSRC-023,,"Current role/authorization rules for drop-box pickup-time, holiday-date, and early-last-pickup decisions; the mechanical workflows are already reviewed.",FEDEX_DROPBOX_PRODUCT_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-DEL-REFUSED-001,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,REFSRC-029,MGB-NAV-0018,"Complete ordinary-refusal notation, door tag/photo, signature, custody, station-return, and final-disposition procedure.",FEDEX_P_AND_D_OPERATIONS_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-DOC-HANDSHEET-001,HUMAN_REVIEW_REQUIRED,FORM_ARTIFACT_ACQUISITION,REFSRC-004;REFSRC-005,,"Current OP-207/OP-207Res identity, form selection, fields, outage scope, custody, submission, and meaning of Blue Sheet.",FEDEX_P_AND_D_OPERATIONS_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-FORGE-LOGIN-DISPATCH-001,HUMAN_REVIEW_REQUIRED,CURRENT_PROCEDURE_AND_AUTHORITY,REFSRC-022,MGB-NAV-0068;MGB-NAV-0070,"Current real-user role, assignment, vehicle, duty time, compliance, manifest, and dispatch authority.",FORGE_PRODUCT_AND_COMPLIANCE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-FORGE-UNMANIFESTED-DELIVERY-001,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,REFSRC-022,,"Current authority to assign the package/work area and create or edit a delivery point before using the UI path.",FEDEX_P_AND_D_OPERATIONS_AND_FORGE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-DEL-ALT-SIGNATURE-001,HUMAN_REVIEW_REQUIRED,FORM_ARTIFACT_ACQUISITION,REFSRC-034,,"Current ALT eligibility, physical signature-record identity/fields/line number, custody, submission, and OP-200 interaction.",FEDEX_P_AND_D_OPERATIONS_AND_FORGE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-FORGE-DEVICE-ROAD-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current exact device-use safety wording and interpretation of while on road. The reviewed SRS/SRI page contains business safety indicators but no device-use procedure.",FORGE_PRODUCT_AND_SAFETY_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-AUDIO-ALERTS-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current installed-version behavior for delivery-instruction and pickup-closing audio controls.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-MANIFEST-PERMISSIONS-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current Manifest Preview permission names and authorized managed-device remediation.",FORGE_PRODUCT_AND_DEVICE_MANAGEMENT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-COMBINE-DELIVERY-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current combine-address UI behavior and operational authorization boundaries.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-SPLIT-DELIVERY-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current split/partial-close UI behavior and documentation requirements.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-MERGE-PICKUP-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current revisit/merge and unlisted-to-listed pickup assignment behavior.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-COMMENT-SCOPE-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current package-versus-stop comment behavior and supported operational use.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-DOWNLOAD-SYNC-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current pickup-listing/manifest download, refresh, outage, and safe service boundaries.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-SYNC-QUEUE-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current sync-status symbols, manual upload controls, retry behavior, and duplicate-event safeguards.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-TIME-REMINDER-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current reminder timing/meaning and confirmation that it does not replace service-window escalation.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-MULTICODE-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current supported multicode label formats and barcode-selection behavior.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-FIRST-LAUNCH-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current first-launch permission prompts and authorized managed-device remediation.",FORGE_PRODUCT_AND_DEVICE_MANAGEMENT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-LANGUAGE-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current language-setting path and effect.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-STANDARD-DELIVERY-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current routine multi-package delivery close sequence and signature/name requirements.",FORGE_PRODUCT_AND_P_AND_D_OPERATIONS_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-STANDARD-PICKUP-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current routine listed-pickup scan/count/threshold/close sequence.",FORGE_PRODUCT_AND_PICKUP_OPERATIONS_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-MESSAGING-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current messaging recipients, stop references, presets, sync behavior, and emergency-use boundary.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-DEVICE-INFO-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current version/build/device-information paths and identifier-disclosure policy.",FORGE_PRODUCT_AND_DEVICE_MANAGEMENT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-PUP-SERVICE-TYPES-001,POTENTIALLY_OUTDATED,CONTROLLING_SOURCE_ACQUISITION,REFSRC-035,,"Current pickup-service labels, definitions, availability, timing, and selection criteria.",FEDEX_PICKUP_PRODUCT_AND_FORGE_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-DISPLAY-NAV-SETTINGS-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current navigation-provider and stop-list/display settings and safety constraints.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
KNO-FORGE-MANIFEST-SEARCH-001,POTENTIALLY_OUTDATED,CURRENT_VERSION_CONFIRMATION,REFSRC-022,,"Current Manifest Preview search/filter/map behavior and assignment-authority boundary.",FORGE_PRODUCT_OWNER,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
