source_id,locator,knowledge_id,supported_scope,reviewed_at
SRC-GDRIVE-FILE-0002,OP-119 page 6,KNO-DEL-ATTEMPT-LIMIT-001,Older source corroborates the three-service-day attempt expectation for packages that cannot be driver released.,2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 6 — residential/commercial definitions,KNO-DEL-CLASSIFICATION-001,Older definition corroboration,2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 7,KNO-DEL-PLACEMENT-HAZARD-001,"Package-care, careful-handling, weather protection, primary-entrance placement, and reasonable customer-instruction expectations",2026-08-09
SRC-GDRIVE-FILE-0002,"OP-119 page 8 — badge, business-name apparel, and Alternative Vehicle vest",KNO-CX-APPEARANCE-001,"Badge, business-name apparel, and Alternative Vehicle vest",2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 9,KNO-PUP-SCAN-INTEGRITY-001,Scan-created tracking notifications and value of timely accurate updates,2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 pages 12-15,KNO-DEL-SIG-DSR-001,DSR in-person location requirement and no release,2026-08-08
SRC-GDRIVE-FILE-0002,OP-119 pages 12-15,KNO-DEL-SIG-ISR-001,"Defines ISR authorization methods, service exclusions, unsuccessful signature delivery, and indirect-delivery documentation",2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 pages 9-10,KNO-DEL-SCAN-INTEGRITY-001,Corroborates actual customer-location scanning and inaccurate scan/status practices.,2026-08-09
SRC-GDRIVE-FILE-0004,Focus on Package Placement page 10,KNO-DEL-PLACEMENT-HAZARD-001,Location tracking and PPOD quality/privacy checks,2026-08-09
SRC-GDRIVE-FILE-0004,Focus on Package Placement page 10,KNO-DEL-PPOD-001,"Corroborates PPOD secure-placement subject, surroundings, clear quality, and people/address/label/PII exclusions",2026-08-09
SRC-GDRIVE-FILE-0004,Focus on Package Placement page 11,KNO-DEL-SCAN-INTEGRITY-001,Point-of-delivery scan and accurate status expectations,2026-08-08
SRC-GDRIVE-FILE-0004,Focus on Package Placement page 4,KNO-DEL-PLACEMENT-HAZARD-001,"Secure primary-entrance, weather/theft, and alternative-location checks",2026-08-09
SRC-GDRIVE-FILE-0004,Focus on Package Placement page 5,KNO-DEL-PLACEMENT-HAZARD-001,"Customer instructions, customer contact, and tracking information",2026-08-09
SRC-GDRIVE-FILE-0004,Focus on Package Placement page 6,KNO-DEL-PLACEMENT-HAZARD-001,"Garage, gate, driveway, handling, contact, and failed-release checks",2026-08-09
SRC-GDRIVE-FILE-0004,Focus on Package Placement page 7,KNO-DEL-PLACEMENT-HAZARD-001,Doorway/ramp accessibility and failed-release checks,2026-08-09
SRC-GDRIVE-FILE-0004,Focus on Package Placement page 8,KNO-DEL-PLACEMENT-HAZARD-001,Small-package placement and mailbox prohibition,2026-08-09
SRC-GDRIVE-FILE-0004,Focus on Package Placement page 9,KNO-DEL-PLACEMENT-HAZARD-001,Large-package characteristics and handling equipment,2026-08-09
SRC-GDRIVE-FILE-0005,FORGE Business Closure guide page 1 — detailed message workflow,KNO-FORGE-BUSINESS-CLOSURE-MSG-001,Detailed Business Closure message workflow and SEND confirmation,2026-08-09
SRC-GDRIVE-FILE-0006,FORGE Call Tags 2.2.0 page 1 — call-tag action entry context,KNO-FORGE-CALLTAG-SCOPE-001,Older call-tag action-entry context only,2026-08-09
SRC-GDRIVE-FILE-0006,FORGE Call Tags 2.2.0 page 2 — suspected-fraud all-call-tags action,KNO-PUP-CALLTAG-FRAUD-001,Stop-wide suspected-fraud cancellation action and code 106 effect,2026-08-09
SRC-GDRIVE-FILE-0006,FORGE Call Tags 2.2.0 page 2 — all-call-tags actions,KNO-FORGE-CALLTAG-SCOPE-001,Detailed all-call-tags action scope,2026-08-09
SRC-GDRIVE-FILE-0006,FORGE Call Tags 2.2.0 page 3 — individual current-tag action,KNO-FORGE-CALLTAG-SCOPE-001,Detailed individual current-tag scope,2026-08-09
SRC-GDRIVE-FILE-0007,"FORGE Delayed Login guide, pages 1-5",KNO-FORGE-DELAYED-LOGIN-001,Delayed Login entry limits exit transmission and EOD,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 102,KNO-DEL-SENSEAWARE-TAG-001,SenseAware scan prompt and Time Definite acknowledgment plus delivery removal and station return,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 103,KNO-DEL-SENSEAWARE-TAG-001,Stop Details Stop Close Summary signature flow and tag removal/return note,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 232,KNO-FORGE-SYNC-QUEUE-001,Queued stop files and upload-count reconciliation,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 236,KNO-FORGE-TIME-REMINDER-001,Version-specific 30-minute reminder behavior,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 104-106,KNO-DEL-PHARMACY-001,Separate pharmacy-counter ASR/DSR delivery,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 107-109,KNO-DEL-CRITICAL-HEALTH-001,Critical healthcare Time Definite/SenseAware workflow,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 135-142,KNO-FORGE-BULK-001,Bulk manifest/count and vehicle-dependent pickup workflow,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 143-145,KNO-FORGE-COMBINE-DELIVERY-001,Delivery-stop address verification/combine UI,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 146-150,KNO-FORGE-SPLIT-DELIVERY-001,Partial-package close and new open stop,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 156-169,KNO-FORGE-MERGE-PICKUP-001,Zero-package revisit and unlisted pickup-ID assignment,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 170,KNO-FORGE-COMMENT-SCOPE-001,Package Comment purpose and one-package scope,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 171,KNO-FORGE-COMMENT-SCOPE-001,Package selection and Add Comment navigation,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 172,KNO-FORGE-COMMENT-SCOPE-001,Preset and typed Package Comment entry,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 173,KNO-FORGE-COMMENT-SCOPE-001,Package Comment save icon and viewing,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 174,KNO-FORGE-COMMENT-SCOPE-001,Whole-stop scope and coexistence with package comments,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 175,KNO-FORGE-COMMENT-SCOPE-001,Add Stop Comment navigation,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 176,KNO-FORGE-COMMENT-SCOPE-001,Stop Comment entry save display and edit navigation,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 177,KNO-FORGE-COMMENT-SCOPE-001,Stop Comment edit update and removal,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 182,KNO-FORGE-EDIT-ADDRESS-001,Incorrect-label scenario and correct-address premise,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 183,KNO-FORGE-EDIT-ADDRESS-001,Stop Details and Edit Address navigation,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 184,KNO-FORGE-EDIT-ADDRESS-001,Address edit save verification and close-stop entry,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 189-196,KNO-FORGE-EOD-001,"Vehicle closure, defects, times, summary, logout",2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 197-201,KNO-FORGE-DOWNLOAD-SYNC-001,Pickup/manifest download and refresh recovery,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 224-228,KNO-FORGE-BULK-TRANSFER-001,"Unattempted-stop transfer, code 079, and sender/receiver confirmation",2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 243-245,KNO-FORGE-LOGIN-WARNING-001,"Authorization, medical-card, vehicle, CARB, HOS, and qualification warnings",2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 86-91,KNO-PUP-INTERNATIONAL-DOCS-001,International pickup scan and document-confirmation workflow,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide pages 97-101,KNO-DEL-COD-MULTI-001,Per-package COD amount/check and stop-total workflow,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 110 — current HAL/HLD identification,KNO-DEL-HAL-NONHAL-TRANSFER-001,Current HAL/HLD label mechanics,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 110 — current HAL/HLD identification and signature rule,KNO-DEL-HAL-DELIVERY-001,Current HAL/HLD and signature rule,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 111 — current location-type selection,KNO-DEL-HAL-DELIVERY-001,Current location selection,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 112 — current in-person-signature confirmation,KNO-DEL-HAL-DELIVERY-001,Current in-person-signature confirmation,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 113 — current scan and closeout sequence,KNO-DEL-HAL-DELIVERY-001,Current scan and closeout sequence,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 114 — current Deliver-to-Transfer mechanics,KNO-DEL-HAL-NONHAL-TRANSFER-001,Current Deliver/Transfer drag-and-NEXT mechanics,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 115 — Hazmat label and in-person-signature prompt,KNO-DEL-HAZMAT-SIGNATURE-001,Current Hazmat label and in-person-signature confirmation,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 116 — Time Definite acknowledgment and hazmat closeout entry,KNO-DEL-HAZMAT-SIGNATURE-001,Current Time Definite and closeout entry,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 117,KNO-PUP-UNLISTED-001,Unlisted-hazmat scope,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 118,KNO-PUP-UNLISTED-001,Unlisted-hazmat Pickup selection and list review,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 119,KNO-PUP-UNLISTED-001,Unlisted-hazmat assignment or address entry,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 120,KNO-PUP-UNLISTED-001,"Hazmat acknowledgment, stop type, and close initiation",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 121,KNO-PUP-UNLISTED-001,Hazmat package count and specialized close,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 122 — current call-tag workflow context,KNO-FORGE-CALLTAG-SCOPE-001,Current call-tag purpose placement scenario and first-package scan context,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 126 — current all-versus-individual action scope,KNO-FORGE-CALLTAG-SCOPE-001,Current all-versus-individual action scope,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 127 — action confirmation and remaining scans,KNO-FORGE-CALLTAG-SCOPE-001,Current action confirmation and remaining scans,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 151 — scan delivery packages,KNO-FORGE-COMBO-STOP-001,Combined-stop delivery-package scan,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 152 — Assign Pickup ID selection,KNO-FORGE-COMBO-STOP-001,Assign Pickup ID selection,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 153 — confirm pickup assignment,KNO-FORGE-COMBO-STOP-001,Pickup assignment confirmation and Pickup tab,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 154 — scan combined pickup packages,KNO-FORGE-COMBO-STOP-001,Combined pickup-package scan,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 155 — Pickup tab and stop close,KNO-FORGE-COMBO-STOP-001,Pickup tab result and stop-close entry,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 178 — manual-entry applicability,KNO-FORGE-MANUAL-BARCODE-001,Manual-entry applicability when tracking ID is readable but the stop barcode cannot be scanned,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 179 — Key Enter Barcode navigation,KNO-FORGE-MANUAL-BARCODE-001,Stop Options and Key Enter Barcode navigation,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 180 — Free Form entry and validation,KNO-FORGE-MANUAL-BARCODE-001,"Free Form entry, acceptance, and invalid-value behavior",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 181 — EPIC and Air Waybill entry and validation,KNO-FORGE-MANUAL-BARCODE-001,"EPIC and Air Waybill entry, acceptance, and invalid-value behavior",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 185 — Delete Scan mechanics and confirmation,KNO-FORGE-DELETE-SCAN-001,Current FORGE Delete Scan mechanics and check-mark confirmation,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 213,KNO-PUP-DROPBOX-EARLY-LAST-001,Early Last Pickup option and connection handoff,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 223,KNO-PUP-DROPBOX-SERIAL-001,Listed-pickup manual-entry path and inside-door barcode source,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 233 — enable Camera Scan and hardware-scanner effect,KNO-FORGE-CAMERA-SCAN-001,Current Camera Scan enable sequence and device-scanner disablement,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 234 — camera control and flash,KNO-FORGE-CAMERA-SCAN-001,Current camera scan control and optional flash behavior,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 239 — current Business Closure purpose and fields,KNO-FORGE-BUSINESS-CLOSURE-MSG-001,"Current Business Closure purpose, date/service choices, and address options",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 242 — check-digit failure recovery,KNO-FORGE-MANUAL-BARCODE-001,Check-digit failure rescan or correct key-entry recovery,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 246,KNO-FORGE-DEVICE-INFO-001,Identifies the device fields and three application locations where they are displayed.,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 25,KNO-FORGE-LANGUAGE-001,Shows the Settings > Language path and effect on displayed screen text.,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 26,KNO-DEL-SIG-ASR-001,"Defines eligible ASR recipient age, ID, no-visible-intoxication, stop-address, and signature conditions",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 43,KNO-PUP-UNLISTED-001,Unlisted stop creation and optional retail scope,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 44,KNO-PUP-UNLISTED-001,Pickup selection and listed-choice review,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 45,KNO-PUP-UNLISTED-001,Correct assignment and Not on List continuation,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 46,KNO-PUP-UNLISTED-001,Address/premium/Business/Residential and retail-options entry,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 47,KNO-PUP-UNLISTED-001,Retail location-type selection,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 48,KNO-PUP-UNLISTED-001,Retail save and close initiation,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 5,KNO-FORGE-MULTICODE-001,Defines supported multicode examples and the one-barcode-per-package warning.,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 59,KNO-PUP-ZERO-001,Scheduled listed pickup no-package scenario correct pickup selection and stop-close entry,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 60,KNO-PUP-ZERO-001,Close Zero Pkg threshold prompt and Stop Close Summary with zero packages,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 61,KNO-PUP-ZERO-001,Zero Package Pickup reason-code selection and DONE closeout,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 77,KNO-DEL-PPOD-001,Defines the residential driver-release-without-signature workflow context,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 78,KNO-DEL-PPOD-001,Defines Met Customer and actual driver-release location selection,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 81,KNO-DEL-PPOD-001,Defines the required Photo At Delivery capture screen and missing-photo warning,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 82,KNO-DEL-PPOD-001,"Defines delete/recapture, Restricted Location, and DONE completion controls",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 92,KNO-DEL-SIG-ASR-001,Defines eligible-recipient conditions and prohibits driver or unattended release,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 94,KNO-DEL-SIG-ASR-001,Requires valid ID or applicable non-delivery status and shows the ID-specification prompt,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 95,KNO-DEL-SIG-ASR-001,Defines scan alignment and the unscannable/refused-scan manual-entry branch,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 page 96,KNO-DEL-SIG-ASR-001,"Defines DOB entry, decline recording, visual-verification attestation, age confirmation, and signature continuation",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 126 — suspected-fraud all-call-tags action,KNO-PUP-CALLTAG-FRAUD-001,Stop-wide suspected-fraud cancellation scope and code 106 effect without decision criteria,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 131-134,KNO-PUP-SENSEAWARE-NOHEALTHY-001,SenseAware absent unhealthy and unresponsive tag branches,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 186-188,KNO-DEL-ALT-SIGNATURE-001,"Demonstrates ALT, signed OP-200 scanning/key entry, physical-record line selection, and recipient-name capture.",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 202-206,KNO-PUP-DROPBOX-CONNECTION-001,NFC workflow and third-failure BLE transition,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 207-210,KNO-PUP-DROPBOX-CONNECTION-001,"BLE-only/fallback workflow, positioning, retries, and third-failure assistance prompt",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 211-212,KNO-PUP-DROPBOX-CONNECTION-001,Manual-entry eligibility and controlled combination request/entry,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 214-215,KNO-PUP-DROPBOX-HOLIDAY-001,"Holiday Closing selection, confirmation, connection, and exit behavior",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 216-222,KNO-PUP-DROPBOX-SETTINGS-001,Complete pickup-settings workflow and FINISH requirement,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 229-231,KNO-FORGE-VEHICLE-CHANGE-001,Vehicle change DVIR and EOD representation,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 237-238,KNO-FORGE-MESSAGING-001,"Defines work-area/CPC messaging, Inbox, stop-reference attachment, and quick-message selection.",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 28-32,KNO-FORGE-STANDARD-DELIVERY-001,Demonstrates a complete listed multi-package business delivery and transmission state.,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 33-39,KNO-FORGE-STANDARD-PICKUP-001,"Demonstrates a complete listed multi-package pickup, threshold prompt, count, close, and sync state.",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 40-42,KNO-FORGE-UNMANIFESTED-DELIVERY-001,Demonstrates adding a station-found unmanifested package as a new delivery stop.,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 49-58,KNO-FORGE-STATUS-SCOPE-001,Stop-level versus package-level status-code scope,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 6-22,KNO-FORGE-LOGIN-DISPATCH-001,"Defines user/vehicle types and demonstrates authentication, assignment, vehicle, duty-time, hazmat-manifest, and dispatch prompts.",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 62-72,KNO-DEL-MISDELIVERY-RECOVERY-001,Misdelivery recovery and same-day redelivery sequence,2026-08-08
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 73-76,KNO-DEL-SIG-ISR-001,"Demonstrates indirect-delivery selection, address entry, door-tag capture, and close prompts",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 pages 8-10,KNO-FORGE-FIRST-LAUNCH-001,"Shows first-launch permission sequence, repeated prompts, and app unavailability until permissions are allowed.",2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 83 — OP-201 requirement and no-OP-201 scenario,KNO-DEL-BUS-OP201-001,OP-201 requirement and introduction of the no-OP-201 scenario,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 84 — business driver-release selection,KNO-DEL-BUS-OP201-001,Alternate Delivery and OP201 Business selection,2026-08-09
SRC-GDRIVE-FILE-0008,FORGE 2.8.0 Application Guide page 85 — no-OP-201 release path,KNO-DEL-BUS-OP201-001,Conflicting release path after the no-OP-201 warning,2026-08-09
SRC-GDRIVE-FILE-0009,FORGE Quick Start Guide page 1,KNO-FORGE-DEVICE-ROAD-001,Older safety warning against on-road device operation,2026-08-08
SRC-GDRIVE-FILE-0010,FORGE Settings 2.0.0 page 5 — older camera-scan corroboration,KNO-FORGE-CAMERA-SCAN-001,Older corroboration only; current FORGE 2.8.0 guide controls camera-scan workflow,2026-08-09
SRC-GDRIVE-FILE-0010,FORGE Settings page 2,KNO-FORGE-AUDIO-ALERTS-001,Version-specific required audio notification behavior,2026-08-08
SRC-GDRIVE-FILE-0010,FORGE Settings page 6,KNO-FORGE-DEVICE-INFO-001,Shows the older Settings About/version-information path.,2026-08-09
SRC-GDRIVE-FILE-0010,FORGE Settings pages 1 and 3-4,KNO-FORGE-DISPLAY-NAV-SETTINGS-001,Defines Settings entry points and navigation/map/stop-list display preferences in FORGE 2.0.0.,2026-08-09
SRC-GDRIVE-FILE-0011,Single image page: completed Delivery Record examples and code tables,KNO-DOC-HANDSHEET-001,Worked hand-sheet examples with unresolved source identity and revision,2026-08-08
SRC-GDRIVE-FILE-0012,Single image page: manual sheeting barcode and Delivery Record notation guide,KNO-DOC-HANDSHEET-001,"Manual-sheet fields, barcode examples, and notation with unresolved source identity and revision",2026-08-08
SRC-GDRIVE-FILE-0013,"Manifest Preview 4.5.0 guide, pages 7-12",KNO-FORGE-MANIFEST-PREVIEW-001,Predispatch misload missing add and sequencing behavior,2026-08-08
