taxonomy_id,label,parent_ids,mapped_record_count,mapped_knowledge_ids,verified_count,conflict_count,human_review_count,potentially_outdated_count,durable_evidence_record_count,capture_open_record_count,referenced_source_gap_ids,authenticated_queue_resource_ids,readiness_class,coverage_basis,required_follow_up
TAX-PREMIUM,Premium and time-definite services,TAX-DELIVERY,3,KNO-DEL-CRITICAL-HEALTH-001;KNO-DEL-PREMIUM-WINDOW-001;KNO-FORGE-TIME-REMINDER-001,1,0,1,1,3,0,REFSRC-022;REFSRC-039,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-DOORTAG,Shipment Status Door Tag,TAX-DELIVERY,5,KNO-DEL-APT-001;KNO-DEL-DOORTAG-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001,5,0,0,0,5,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-INDIRECT,Indirect and apartment delivery,TAX-DELIVERY,3,KNO-DEL-APT-001;KNO-DEL-DISPUTE-PREVENTION-001;KNO-DEL-SAFEPLACE-001,3,0,0,0,3,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-RELEASE,Driver and recipient-authorized release,TAX-DELIVERY,9,KNO-DEL-BUS-OP201-001;KNO-DEL-DISPUTE-PREVENTION-001;KNO-DEL-LOCKER-FAIL-001;KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-PPOD-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SHIPPER-RELEASE-001;KNO-DEL-SIG-ISR-001;KNO-DEL-SRA-001,8,1,0,0,9,0,REFSRC-001;REFSRC-017,MGB-NAV-0068,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-PLACEMENT,Package placement and secure location,TAX-RELEASE,2,KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-SAFEPLACE-001,2,0,0,0,2,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-PHOTO,Picture proof and photo restrictions,TAX-DELIVERY,2,KNO-DEL-DOORTAG-001;KNO-DEL-PPOD-001,2,0,0,0,2,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-LOCKER,Third-party locker delivery,TAX-RELEASE,2,KNO-DEL-LOCKER-FAIL-001;KNO-DEL-PPOD-001,2,0,0,0,2,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-STATUS,Status and reason codes,TAX-FORGE,14,KNO-DEL-DAMAGE-INSPECTION-001;KNO-DEL-HAL-DELIVERY-001;KNO-DEL-HAL-UNABLE-001;KNO-DEL-MISDELIVERY-RECOVERY-001;KNO-DEL-NOTATION-001;KNO-DEL-REFUSED-001;KNO-DEL-SECURITY-NODELIVERY-001;KNO-FORGE-CALLTAG-SCOPE-001;KNO-FORGE-STATUS-SCOPE-001;KNO-PUP-CALLTAG-FRAUD-001;KNO-PUP-CALLTAG-NOTREADY-001;KNO-PUP-CALLTAG-REFUSED-001;KNO-PUP-SCANNER-FAIL-001;KNO-PUP-ZERO-001,12,0,2,0,14,0,REFSRC-022;REFSRC-029,MGB-NAV-0018;MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-MISDELIVERY,Misdelivery and recovery,TAX-DELIVERY,1,KNO-DEL-MISDELIVERY-RECOVERY-001,1,0,0,0,1,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-HAL,Hold at Location and Redirect to Hold,TAX-DELIVERY,3,KNO-DEL-HAL-DELIVERY-001;KNO-DEL-HAL-NONHAL-TRANSFER-001;KNO-DEL-HAL-UNABLE-001,3,0,0,0,3,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-SENSEAWARE,SenseAware tracking devices,,3,KNO-DEL-CRITICAL-HEALTH-001;KNO-DEL-SENSEAWARE-TAG-001;KNO-PUP-SENSEAWARE-NOHEALTHY-001,2,0,1,0,3,0,REFSRC-039,,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-PICKUP,Pickup,,37,KNO-DEL-HAL-UNABLE-001;KNO-FORGE-BULK-001;KNO-FORGE-BUSINESS-CLOSURE-MSG-001;KNO-FORGE-CALLTAG-SCOPE-001;KNO-FORGE-COMBO-STOP-001;KNO-FORGE-MERGE-PICKUP-001;KNO-FORGE-MESSAGING-001;KNO-FORGE-STANDARD-PICKUP-001;KNO-FORGE-TIME-REMINDER-001;KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-AKHI-001;KNO-HAZ-RADIOACTIVE-WET-001;KNO-LH-CUSTOMER-TRAILER-SECURITY-001;KNO-PUP-CALLTAG-FRAUD-001;KNO-PUP-CALLTAG-NOTREADY-001;KNO-PUP-CALLTAG-REFUSED-001;KNO-PUP-CALLTAG-RESTRICTED-001;KNO-PUP-CALLTAG-SUCCESS-001;KNO-PUP-DROPBOX-CONNECTION-001;KNO-PUP-DROPBOX-EARLY-LAST-001;KNO-PUP-DROPBOX-HOLIDAY-001;KNO-PUP-DROPBOX-SCHEDULE-001;KNO-PUP-DROPBOX-SERIAL-001;KNO-PUP-DROPBOX-SETTINGS-001;KNO-PUP-INTERNATIONAL-DOCS-001;KNO-PUP-OFFER-DECLINE-001;KNO-PUP-PACKAGING-001;KNO-PUP-PRR-001;KNO-PUP-SCAN-INTEGRITY-001;KNO-PUP-SCANNER-FAIL-001;KNO-PUP-SENSEAWARE-NOHEALTHY-001;KNO-PUP-SERVICE-TYPES-001;KNO-PUP-UNLISTED-001;KNO-PUP-VEHICLE-CAPACITY-001;KNO-PUP-WINDOW-RISK-001;KNO-PUP-WRONG-WA-001;KNO-PUP-ZERO-001,25,0,7,5,37,0,REFSRC-006;REFSRC-007;REFSRC-014;REFSRC-015;REFSRC-022;REFSRC-023;REFSRC-026;REFSRC-032;REFSRC-033;REFSRC-035;REFSRC-037,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-PICKUP-RECON,Pickup listing and reconciliation,TAX-PICKUP,6,KNO-FORGE-MERGE-PICKUP-001;KNO-PUP-SCAN-INTEGRITY-001;KNO-PUP-UNLISTED-001;KNO-PUP-WINDOW-RISK-001;KNO-PUP-WRONG-WA-001;KNO-PUP-ZERO-001,5,0,0,1,6,0,REFSRC-022,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-CALLTAG,Call tags,TAX-PICKUP,6,KNO-FORGE-CALLTAG-SCOPE-001;KNO-PUP-CALLTAG-FRAUD-001;KNO-PUP-CALLTAG-NOTREADY-001;KNO-PUP-CALLTAG-REFUSED-001;KNO-PUP-CALLTAG-RESTRICTED-001;KNO-PUP-CALLTAG-SUCCESS-001,5,0,1,0,6,0,REFSRC-022,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-DROPBOX,FedEx Drop Box,TAX-PICKUP,6,KNO-PUP-DROPBOX-CONNECTION-001;KNO-PUP-DROPBOX-EARLY-LAST-001;KNO-PUP-DROPBOX-HOLIDAY-001;KNO-PUP-DROPBOX-SCHEDULE-001;KNO-PUP-DROPBOX-SERIAL-001;KNO-PUP-DROPBOX-SETTINGS-001,5,0,1,0,6,0,REFSRC-023,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-CXPC,Pickup coordination and messaging,TAX-PICKUP,9,KNO-FORGE-BUSINESS-CLOSURE-MSG-001;KNO-FORGE-MESSAGING-001;KNO-FORGE-TIME-REMINDER-001;KNO-HAZ-RADIOACTIVE-WET-001;KNO-PUP-OFFER-DECLINE-001;KNO-PUP-PRR-001;KNO-PUP-VEHICLE-CAPACITY-001;KNO-PUP-WINDOW-RISK-001;KNO-PUP-WRONG-WA-001,6,0,1,2,9,0,REFSRC-022,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-HANDSHET,Manual sheeting and contingencies,TAX-FORGE,3,KNO-DEL-ALT-SIGNATURE-001;KNO-DEL-OP206-001;KNO-DOC-HANDSHEET-001,1,0,2,0,3,0,REFSRC-004;REFSRC-005;REFSRC-034,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-HAZMAT,Hazardous materials and dangerous goods,TAX-DOT,11,KNO-DEL-DAMAGE-INSPECTION-001;KNO-DEL-HAZMAT-SIGNATURE-001;KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-AKHI-001;KNO-HAZ-DRY-ICE-001;KNO-HAZ-LEAK-001;KNO-HAZ-LOAD-PAPERS-001;KNO-HAZ-MANIFEST-001;KNO-HAZ-RADIOACTIVE-WET-001;KNO-HAZ-SF136-001;KNO-PUP-CALLTAG-RESTRICTED-001,9,0,2,0,11,0,REFSRC-006;REFSRC-007;REFSRC-010;REFSRC-014;REFSRC-015;REFSRC-031;REFSRC-032;REFSRC-033,,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-RELAY,Relay operations,,0,,0,0,0,0,0,0,REFSRC-008,,SOURCE_GAP_NO_OPERATIONAL_RECORD,"OP-117 references relay check-out/check-in instructions, but the substantive relay procedure is absent from the supplied corpus.",Acquire and completely review the referenced procedure before creating operational records or driver-language variants for this branch.
TAX-SECURITY,Security and theft prevention,,12,KNO-COMMS-MEDIA-001;KNO-CX-APPEARANCE-001;KNO-DEL-SECURITY-NODELIVERY-001;KNO-INC-ACCIDENT-REPORT-001;KNO-LH-CUSTOMER-TRAILER-SECURITY-001;KNO-SEC-ACTIVE-THREAT-001;KNO-SEC-FACILITY-VEHICLE-001;KNO-SEC-INCIDENT-REPORT-001;KNO-SEC-LOST-BADGE-001;KNO-SEC-ROUTE-001;KNO-SEC-STOLEN-VEHICLE-001;KNO-SEC-WEAPONS-SCREENING-001,11,1,0,0,11,1,REFSRC-009,MGB-NAV-0068;SRC-MGB-DOC-0006,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-THREAT,Violence and active threats,TAX-SECURITY,3,KNO-SEC-ACTIVE-THREAT-001;KNO-SEC-INCIDENT-REPORT-001;KNO-SEC-WEAPONS-SCREENING-001,3,0,0,0,3,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-QUALIFICATION,Driver qualification and eligibility,,8,KNO-FORGE-LOGIN-WARNING-001;KNO-QUAL-L10-ACTIVATION-001;KNO-QUAL-OBSERVER-001;KNO-QUAL-PD-ROADTEST-001;KNO-QUAL-PD-SEQUENCE-001;KNO-QUAL-RECERT-001;KNO-QUAL-VEHICLE-UPGRADE-001;KNO-SEC-LOST-BADGE-001,6,0,2,0,8,0,REFSRC-011;REFSRC-022;REFSRC-028,MGB-NAV-0022;MGB-NAV-0029;MGB-NAV-0030;MGB-NAV-0033;MGB-NAV-0044;MGB-NAV-0068;MGB-NAV-0070,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-ROAD-TEST,Driver road-test readiness and completion,TAX-QUALIFICATION;TAX-VEHICLE-SAFETY,2,KNO-QUAL-PD-ROADTEST-001;KNO-QUAL-VEHICLE-UPGRADE-001,2,0,0,0,2,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-COD,Collect on Delivery,TAX-DELIVERY,1,KNO-DEL-COD-MULTI-001,0,0,1,0,1,0,REFSRC-027,,NO_VERIFIED_RECORDS,"The branch has mapped records, but none currently has VERIFIED status.","Resolve the listed source, authority, version, conflict, and capture dependencies before presenting this branch as approved guidance."
TAX-PHARMACY,Pharmacy delivery,TAX-DELIVERY,1,KNO-DEL-PHARMACY-001,0,0,1,0,1,0,REFSRC-038,,NO_VERIFIED_RECORDS,"The branch has mapped records, but none currently has VERIFIED status.","Resolve the listed source, authority, version, conflict, and capture dependencies before presenting this branch as approved guidance."
TAX-CRITICAL-HEALTH,Critical healthcare delivery,TAX-DELIVERY;TAX-SENSEAWARE,1,KNO-DEL-CRITICAL-HEALTH-001,0,0,1,0,1,0,REFSRC-039,,NO_VERIFIED_RECORDS,"The branch has mapped records, but none currently has VERIFIED status.","Resolve the listed source, authority, version, conflict, and capture dependencies before presenting this branch as approved guidance."
TAX-INTERNATIONAL,International pickup and documentation,TAX-PICKUP,1,KNO-PUP-INTERNATIONAL-DOCS-001,0,0,1,0,1,0,REFSRC-026,,NO_VERIFIED_RECORDS,"The branch has mapped records, but none currently has VERIFIED status.","Resolve the listed source, authority, version, conflict, and capture dependencies before presenting this branch as approved guidance."
