artifact_id,artifact_name,official_identifiers,artifact_family,driver_use_or_effect,source_ids,backlog_ids,knowledge_ids,artifact_access,procedure_coverage,publication_gate,coverage_limit,required_follow_up
ART-HAZ-001,Hazardous Materials Reminder Card HZ-035,HZ-035,HAZMAT_REFERENCE_CARD,Lists Ground-acceptable/prohibited materials and additional acceptance or handling reminders.,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002,REFSRC-006;REFSRC-015,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LOAD-PAPERS-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"Current sources repeatedly defer to the card and acceptance table, neither of which is supplied.",Acquire current HZ-035 and the current acceptance table; perform hazmat/compliance review.
ART-HAZ-002,Hazardous-material reminder card SF-034,SF-034,HAZMAT_REFERENCE_CARD,Separate current portal-referenced hazmat reminder source.,SRC-MGB-PAGE-0002,REFSRC-010,KNO-HAZ-ACCEPTANCE-001,DESCRIBED_BUT_NOT_ACQUIRED,REFERENCE_ONLY,COMPLIANCE_REVIEW_REQUIRED,The portal identifies the card but its content and relationship to HZ-035 are not available.,"Acquire SF-034 and determine whether it supersedes, duplicates, or supplements HZ-035."
ART-HAZ-003,Safety Information Guide SF-920P,SF-920P,SAFETY_GUIDE,Provides current safety and hazmat training/compliance details referenced by on-road guidance.,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002;SRC-MGB-PAGE-0003,REFSRC-007,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LOAD-PAPERS-001,DESCRIBED_BUT_NOT_ACQUIRED,REFERENCE_ONLY,COMPLIANCE_REVIEW_REQUIRED,The current guide is hosted in MyBizAccount and has not been acquired.,"Acquire the current SF-920P, verify its revision, and reconcile all safety/hazmat records."
ART-HAZ-004,Hazardous Materials Labels OP-900LL/OP-900LG,OP-900;OP-900LL;OP-900LG,HAZMAT_PACKAGE_TAG,Identifies prepared hazardous-material packages and provides contingency shipping-paper material.,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002,REFSRC-012,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-MANIFEST-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"Current sources describe checks and outage use, but the label artifacts and complete current instructions are missing.","Acquire OP-900LL/LG and validate exact fields, removal, custody, and disposal rules."
ART-HAZ-005,Hazardous Materials Certification PRP OP-900PRP,OP-900PRP,HAZMAT_SHIPPING_PAPER,Provides package-specific contingency paperwork when a station manifest is unavailable.,SRC-GDRIVE-FILE-0014,REFSRC-012;REFSRC-013,KNO-HAZ-MANIFEST-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"OP-117 describes pulling the PRP into an envelope, but the artifact and full current contingency instructions are missing.",Acquire the current OP-900PRP and reconcile it with OP-900 and OP-901/902 instructions.
ART-HAZ-006,Hazardous Material Envelope OP-901/OP-902,OP-901;OP-902,HAZMAT_DOCUMENT_CONTAINER,"Keeps required manifest, declarations, and contingency papers accessible during transport.",SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002,REFSRC-013,KNO-HAZ-MANIFEST-001;KNO-HAZ-LOAD-PAPERS-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"Placement and use are described, but the current envelope variants and exact instructions are absent.",Acquire OP-901 and OP-902 and verify vehicle-placement and check-in requirements.
ART-HAZ-007,Hazardous Material Certification OP-950 or approved equivalent,OP-950,HAZMAT_SHIPPING_PAPER,Documents shipper certification needed for regulated hazmat pickup and transport.,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002,REFSRC-014,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LOAD-PAPERS-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"Required fields are summarized, but the current artifact/equivalent acceptance rules are not fully acquired.",Acquire current OP-950 and approved-equivalent guidance; perform compliance review.
ART-HAZ-008,Dangerous Goods Declaration or equivalent certification,,HAZMAT_SHIPPING_PAPER,May satisfy certification/documentation requirements for dangerous-goods or Ground hazmat shipments when complete.,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002,REFSRC-014;REFSRC-015,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-MANIFEST-001,GENERIC_DOCUMENT_TYPE_ONLY,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,The source permits equivalents but does not establish a complete Ready Route approval test for every form/service.,Acquire approved-equivalent criteria and examples and obtain hazmat/compliance review.
ART-HAZ-009,Hazardous Materials Manifest,,HAZMAT_VEHICLE_MANIFEST,Accounts for regulated hazmat aboard the vehicle and is updated as packages are delivered.,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002,REFSRC-008;REFSRC-013,KNO-HAZ-MANIFEST-001;KNO-HAZ-LOAD-PAPERS-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"Ordinary handling is modeled, but relay transfer and full outage/container instructions remain missing.","Acquire current manifest examples, relay instructions, and OP-901/902 guidance."
ART-HAZ-010,DOT Emergency Response Guidebook (ERG),,EMERGENCY_REFERENCE_GUIDE,Must remain immediately accessible with hazmat paperwork and is consulted for emergency response.,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002,REFSRC-031,KNO-HAZ-LOAD-PAPERS-001;KNO-HAZ-LEAK-001,DESCRIBED_BUT_NOT_ACQUIRED,REFERENCE_ONLY,COMPLIANCE_REVIEW_REQUIRED,The supplied sources require the ERG but do not include the current edition or its response tables.,Acquire and version the current approved ERG and preserve it as a separately governed emergency reference.
ART-HAZ-011,Special Permit 14691 SF-136,SF-136,HAZMAT_EXCEPTION_DOCUMENT,Authorizes a narrow return-shipment exception when paired with OP-908.,SRC-GDRIVE-FILE-0014,REFSRC-020,KNO-HAZ-SF136-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"The paired-document effect is described, but the current permit and its precise scope are not acquired.","Acquire current SF-136 and verify effective dates, covered defects, and package attachment requirements."
ART-HAZ-012,Hazardous Materials Shipper Error Notification OP-908,OP-908,HAZMAT_EXCEPTION_DOCUMENT,Must accompany SF-136 for the source-described special-permit return branch.,SRC-GDRIVE-FILE-0014,REFSRC-020,KNO-HAZ-SF136-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"The paired-document requirement is described, but the current notification form and fields are absent.","Acquire current OP-908 and verify its completion, attachment, and custody procedure."
ART-HAZ-013,Hazardous Materials Prohibited/Acceptable Labels Decal 20159S,20159S,HAZMAT_REFERENCE_DECAL,Vehicle-mounted aid for identifying prohibited hazardous materials.,SRC-GDRIVE-FILE-0014,REFSRC-032,KNO-HAZ-ACCEPTANCE-001,DESCRIBED_BUT_NOT_ACQUIRED,REFERENCE_ONLY,COMPLIANCE_REVIEW_REQUIRED,"OP-117 identifies the decal and location, but its current content is not supplied.",Acquire current 20159S and reconcile it with HZ-035/SF-034 and the acceptance table.
ART-HAZ-014,Hazmat Reminder Card SF-035,SF-035,HAZMAT_REFERENCE_CARD,April 2025 FORGE guide reference for hazmat pickup requirements.,SRC-GDRIVE-FILE-0008,REFSRC-033,KNO-HAZ-ACCEPTANCE-001,DESCRIBED_BUT_NOT_ACQUIRED,REFERENCE_ONLY,COMPLIANCE_REVIEW_REQUIRED,"The April 2025 guide names SF-035, while later reviewed sources name HZ-035 and SF-034; the corpus does not establish typo, supersession, duplication, or separate scope.",Acquire SF-035 or authoritative identifier history and reconcile it explicitly with HZ-035 and SF-034.
ART-INC-001,Accident Packet Instructions for Drivers OP-130,OP-130,ACCIDENT_PACKET,Provides immediate accident-scene and reporting instructions and is kept in the vehicle glove compartment.,SRC-MGB-PAGE-0006;SRC-MGB-DOC-0006,,KNO-INC-ACCIDENT-SCENE-001;KNO-INC-ACCIDENT-REPORT-001,CURRENT_ARTIFACT_REVIEWED,COMPLETE_PROCEDURE_MODELED,VERIFIED_PROCEDURE_WITH_ARTIFACT_GAP,The current one-page instruction artifact is reviewed; local station and service-provider contact blanks must still be completed.,Maintain locally completed contact fields and version-check the packet when the portal changes.
ART-INC-002,Passenger in Other Vehicle or Witness Form OP-132,OP-132,ACCIDENT_FORM,"Captures identity, injury, contact, remarks, and signature information from another-vehicle passengers or witnesses.",SRC-MGB-PAGE-0006;SRC-MGB-DOC-0007,,KNO-INC-ACCIDENT-SCENE-001,CURRENT_ARTIFACT_REVIEWED,COMPLETE_PROCEDURE_MODELED,VERIFIED_PROCEDURE_WITH_ARTIFACT_GAP,The current form is reviewed; the passenger or witness completes it with driver assistance.,Version-check when the Accident Reporting page changes.
ART-INC-003,Accident Report Form OP-135,OP-135,ACCIDENT_FORM,"Records accident, driver, injured-person, involved-vehicle and occupant, evidence, location, witness, police, roadway, lane, weather, visibility, property-damage, and accident-description/diagram information.",SRC-MGB-PAGE-0006;SRC-MGB-DOC-0008,,KNO-INC-ACCIDENT-SCENE-001,CURRENT_ARTIFACT_REVIEWED,COMPLETE_PROCEDURE_MODELED,VERIFIED_PROCEDURE_WITH_ARTIFACT_GAP,The complete five-page original is checksum-preserved and fully reviewed; jurisdiction-specific reporting triggers and forms remain outside OP-135.,Version-check OP-135 when the Accident Reporting page changes and obtain management/compliance direction for any jurisdiction-specific filing requirement.
ART-INC-004,City or state accident report recommended by FedEx,,EXTERNAL_ACCIDENT_FORM,May be required in addition to the FedEx accident packet after an incident.,SRC-MGB-DOC-0006,,KNO-INC-ACCIDENT-SCENE-001,GENERIC_DOCUMENT_TYPE_ONLY,REFERENCE_ONLY,COMPLIANCE_REVIEW_REQUIRED,No jurisdiction-specific form or triggering rule is supplied.,Management/compliance must identify the applicable jurisdictional form and current filing requirement for the incident.
ART-PUP-001,Call tag label and removable tracking tab,,PICKUP_RETURN_LABEL,Re-labels an accepted call-tag return and provides the recipient a tracking reference.,SRC-GDRIVE-FILE-0006;SRC-GDRIVE-FILE-0014,,KNO-PUP-CALLTAG-SUCCESS-001;KNO-PUP-CALLTAG-NOTREADY-001;KNO-PUP-CALLTAG-REFUSED-001,GENERIC_DOCUMENT_TYPE_ONLY,COMPLETE_PROCEDURE_MODELED,VERIFIED_PROCEDURE_WITH_ARTIFACT_GAP,"Current workflow is modeled, but no standalone physical label specimen is archived.",Acquire a current specimen only if exact layout recognition is needed; do not expose sample tracking data.
ART-QUAL-001,Driving School Evaluation and Guidelines SF-011,SF-011,QUALIFICATION_GUIDELINES,Defines minimum terms for a driving school seeking qualified Linehaul status.,SRC-MGB-PAGE-0040;SRC-MGB-DOC-0036,REFSRC-028,KNO-QUAL-L10-ACTIVATION-001,DESCRIBED_BUT_NOT_ACQUIRED,REFERENCE_ONLY,HUMAN_REVIEW_REQUIRED,"The parent page identifies the document and submission context, but the complete guidelines are unreviewed and no school-qualification procedure is modeled.",Acquire and completely review SRC-MGB-DOC-0036 before using any school requirement or approval criterion.
ART-QUAL-002,Driving School Form SF-012,SF-012,QUALIFICATION_APPLICATION_FORM,Records a school's application and proposed curriculum/training plan for Qualified Linehaul Driving School review.,SRC-MGB-PAGE-0040;SRC-MGB-DOC-0035,REFSRC-028,KNO-QUAL-L10-ACTIVATION-001,DESCRIBED_BUT_NOT_ACQUIRED,REFERENCE_ONLY,HUMAN_REVIEW_REQUIRED,"The parent page establishes form submission to the facility senior manager, but form fields and complete custody instructions are unreviewed.",Acquire and completely review SRC-MGB-DOC-0035 before using form fields or submission details beyond the visible parent-page description.
ART-QUAL-003,Qualified Provider Record of Road Test form,,QUALIFICATION_TEST_RECORD,Documents the P&D road-test observation and result before candidate assignment.,SRC-MGB-PAGE-0039,REFSRC-028,KNO-QUAL-PD-ROADTEST-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,VERIFIED_PROCEDURE_WITH_ARTIFACT_GAP,"The current page establishes that the applicable Qualified Provider-supplied form is required but does not expose its identifier, revision, fields, route criteria, or completion instructions.",Acquire the current applicable form and Qualified Provider instructions; do not invent fields or substitute another test record.
ART-REF-001,Pickup Reason Codes Card OP-321,OP-321,REFERENCE_CARD,Defines current reason-code selection conditions for unsuccessful pickups.,SRC-GDRIVE-FILE-0014,REFSRC-003,KNO-PUP-ZERO-001;KNO-PUP-CALLTAG-NOTREADY-001,DESCRIBED_BUT_NOT_ACQUIRED,REFERENCE_ONLY,HUMAN_REVIEW_REQUIRED,OP-117 lists seven reasons but identifies OP-321 as the current card; the card and complete conditions are missing.,Acquire current OP-321 and reconcile every pickup-reason entry and operational translation row.
ART-REF-002,Service Measurement Status Codes Reference Card OP-324,OP-324,REFERENCE_CARD,Provides current delivery-status code definitions and selection conditions.,SRC-GDRIVE-FILE-0014,REFSRC-002;REFSRC-030,KNO-FORGE-STATUS-SCOPE-001;KNO-DEL-NOTATION-001,DESCRIBED_BUT_NOT_ACQUIRED,REFERENCE_ONLY,HUMAN_REVIEW_REQUIRED,"OP-117 provides a current code table, but the separate OP-324 and 21 definition-only operational workflows remain missing.",Acquire current OP-324 and source-specific procedures for all definition-only delivery codes.
ART-SEC-001,FedEx ID badge or temporary paper badge,,IDENTIFICATION_CREDENTIAL,Controls facility access and visible identification while providing FedEx services.,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0007,,KNO-SEC-LOST-BADGE-001;KNO-CX-APPEARANCE-001,GENERIC_DOCUMENT_TYPE_ONLY,COMPLETE_PROCEDURE_MODELED,VERIFIED_PROCEDURE_WITH_ARTIFACT_GAP,"Display, temporary-badge, lost-badge, and no-sharing rules are modeled; actual credential templates are intentionally not required for operational guidance.",Version-check badge procedures with future security-page changes; do not store credential numbers in the knowledge corpus.
ART-VEH-001,Annual inspection report and inspection decal,,VEHICLE_COMPLIANCE_RECORD,Proves a qualifying vehicle passed the required annual inspection within the preceding 12 months.,SRC-MGB-PAGE-0021,,KNO-VEH-ANNUAL-INSPECTION-001,GENERIC_DOCUMENT_TYPE_ONLY,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"The portal establishes required fields/evidence and no-use consequence, but no current sample report/decal is archived.",Acquire the current accepted report/decal formats and validate jurisdiction/equipment-specific requirements.
ART-VEH-002,California 90-day periodic inspection report,,VEHICLE_COMPLIANCE_RECORD,"Documents California-domiciled regulated P&D vehicle inspection, corrections, and attestation.",SRC-MGB-PAGE-0022,,KNO-VEH-CA-90DAY-INSPECTION-001,GENERIC_DOCUMENT_TYPE_ONLY,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"The portal establishes fields and operating restriction, but no report specimen or full legal source set is supplied.",Acquire an accepted current form and obtain California compliance review.
ART-VEH-003,Roadside inspection report,,VEHICLE_COMPLIANCE_RECORD,Documents a roadside inspection and any cited violations for retention and FedEx delivery at the next station.,SRC-MGB-PAGE-0014;SRC-MGB-PAGE-0021,REFSRC-011,KNO-DOT-ROADSIDE-REPORT-001;KNO-VEH-PRETRIP-DEFECT-001,GENERIC_DOCUMENT_TYPE_ONLY,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"FedEx handling is described, but jurisdictional forms and complete violation/correction obligations are not supplied.",Acquire applicable current regulatory guidance and preserve the actual report without inferring legal deadlines.
ART-VEH-004,Rental agreement and applicable Schedule B evidence,,VEHICLE_AUTHORIZATION_RECORD,Shows the rental vehicle's authorized custody/use and relationship to the service provider's approved equipment schedule.,SRC-MGB-DOC-0006;SRC-MGB-PAGE-0020,REFSRC-001,KNO-VEH-RENTAL-PREP-001;KNO-HOS-RENTAL-ELD-001,GENERIC_DOCUMENT_TYPE_ONLY,PARTIAL_PROCEDURE_MODELED,HUMAN_REVIEW_REQUIRED,"Carriage and vehicle-use branches are described, but the executed agreement/schedule and actual rental document are not supplied.","Verify the specific rental agreement, current Schedule B evidence, and applicable ELD/compliance branch before dispatch."
ART-VEH-005,"Vehicle registration, insurance, inspection, and emissions records",,VEHICLE_COMPLIANCE_RECORD,Supports FORGE predispatch validation and legal/contractual vehicle eligibility.,SRC-GDRIVE-FILE-0008;SRC-MGB-PAGE-0014;SRC-MGB-PAGE-0021;SRC-MGB-PAGE-0022,REFSRC-011,KNO-FORGE-LOGIN-WARNING-001;KNO-VEH-ANNUAL-INSPECTION-001;KNO-VEH-CA-90DAY-INSPECTION-001,GENERIC_DOCUMENT_TYPE_ONLY,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,"Warning categories and some inspection conditions are known, but current jurisdictional documents and eligibility rules vary.","Validate each actual record, jurisdiction, vehicle class, and current compliance requirement before dispatch."
ART-VEH-006,Alternative Vehicle Operations Statement of Lease,,VEHICLE_AUTHORIZATION_RECORD,Documents the lease to FedEx and requires service-provider and authorized-station signatures before Alternative Vehicle readiness.,SRC-MGB-PAGE-0034;SRC-MGB-DOC-0026,REFSRC-040,KNO-VEH-ALT-ONBOARD-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,VERIFIED_PROCEDURE_WITH_ARTIFACT_GAP,"The parent page establishes completion and both signatures, but the form itself and its fields are unreviewed.",Acquire and completely review SRC-MGB-DOC-0026 before using form fields or legal terms.
ART-VEH-007,Alternative Vehicle Operations Statement of Sub-Lease,,VEHICLE_AUTHORIZATION_RECORD,Documents the conditional lease from the vehicle owner to the service provider when the service provider is not the owner.,SRC-MGB-PAGE-0034;SRC-MGB-DOC-0027,REFSRC-040,KNO-VEH-ALT-ONBOARD-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,VERIFIED_PROCEDURE_WITH_ARTIFACT_GAP,"The parent page establishes when the form is required, but the form itself and its fields are unreviewed.",Acquire and completely review SRC-MGB-DOC-0027 before using form fields or legal terms.
