source_id,title,page,page_count,section_or_subject,coverage_disposition,knowledge_ids,reference_record_count,coverage_basis,required_follow_up
SRC-GDRIVE-FILE-0004,Focus on Package Placement,9,12,"Placement, access, package size, PPOD, and scan integrity",KNOWLEDGE_MAPPED,KNO-DEL-PLACEMENT-HAZARD-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0004,Focus on Package Placement,10,12,"Placement, access, package size, PPOD, and scan integrity",KNOWLEDGE_MAPPED,KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-PPOD-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0004,Focus on Package Placement,11,12,"Placement, access, package size, PPOD, and scan integrity",KNOWLEDGE_MAPPED,KNO-DEL-SCAN-INTEGRITY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0004,Focus on Package Placement,12,12,Service-results and metrics context,METRICS_CONTEXT,,0,Service-results/metrics context; no independent on-route procedure.,
SRC-GDRIVE-FILE-0005,FORGE Business Closure,1,1,Business Closure message workflow,KNOWLEDGE_MAPPED,KNO-FORGE-BUSINESS-CLOSURE-MSG-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0006,FORGE Call Tags,1,3,"Call-tag creation, action scope, status, and individual handling",KNOWLEDGE_MAPPED,KNO-FORGE-CALLTAG-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0006,FORGE Call Tags,2,3,"Call-tag creation, action scope, status, and individual handling",KNOWLEDGE_MAPPED,KNO-FORGE-CALLTAG-SCOPE-001;KNO-PUP-CALLTAG-FRAUD-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0006,FORGE Call Tags,3,3,"Call-tag creation, action scope, status, and individual handling",KNOWLEDGE_MAPPED,KNO-FORGE-CALLTAG-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0007,FORGE Delayed Login,1,5,"Delayed Login entry, limitations, recovery, merge, and EOD",KNOWLEDGE_MAPPED,KNO-FORGE-DELAYED-LOGIN-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0007,FORGE Delayed Login,2,5,"Delayed Login entry, limitations, recovery, merge, and EOD",KNOWLEDGE_MAPPED,KNO-FORGE-DELAYED-LOGIN-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0007,FORGE Delayed Login,3,5,"Delayed Login entry, limitations, recovery, merge, and EOD",KNOWLEDGE_MAPPED,KNO-FORGE-DELAYED-LOGIN-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0007,FORGE Delayed Login,4,5,"Delayed Login entry, limitations, recovery, merge, and EOD",KNOWLEDGE_MAPPED,KNO-FORGE-DELAYED-LOGIN-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0007,FORGE Delayed Login,5,5,"Delayed Login entry, limitations, recovery, merge, and EOD",KNOWLEDGE_MAPPED,KNO-FORGE-DELAYED-LOGIN-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,1,246,"Identity, version, authority, and application-scope notice",GOVERNING_FRONT_MATTER,,0,"Document identity, version, confidentiality, demo scope, and cross-version warning; not an operational procedure.",
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,2,246,Table of contents,TABLE_OF_CONTENTS,,0,Navigation/front matter only.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,3,246,Table of contents,TABLE_OF_CONTENTS,,0,Navigation/front matter only.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,4,246,Table of contents,TABLE_OF_CONTENTS,,0,Navigation/front matter only.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,5,246,"Multicode barcode, user type, and vehicle type guidance",KNOWLEDGE_MAPPED,KNO-FORGE-MULTICODE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,6,246,"Multicode barcode, user type, and vehicle type guidance",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,7,246,"Multicode barcode, user type, and vehicle type guidance",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,8,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,9,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,10,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,11,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,12,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,13,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,14,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,15,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,16,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,17,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,18,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,19,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,20,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,21,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,22,246,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,23,246,"FORGE UI, language, premium-service icons, and general icons",UI_SCREEN_REFERENCE,,0,Annotated Stop List screen reference; no independent procedure.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,24,246,"FORGE UI, language, premium-service icons, and general icons",UI_SCREEN_REFERENCE,,0,Annotated Stop Details screen reference; no independent procedure.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,25,246,"FORGE UI, language, premium-service icons, and general icons",KNOWLEDGE_MAPPED,KNO-FORGE-LANGUAGE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,26,246,"FORGE UI, language, premium-service icons, and general icons",KNOWLEDGE_MAPPED,KNO-DEL-SIG-ASR-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,27,246,"FORGE UI, language, premium-service icons, and general icons",ICON_GLOSSARY_REFERENCE,,0,General icon glossary; operational uses are mapped on their workflow pages.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,28,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-DELIVERY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,29,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-DELIVERY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,30,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-DELIVERY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,31,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-DELIVERY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,32,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-DELIVERY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,33,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,34,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,35,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,36,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,37,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,38,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,39,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,40,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-UNMANIFESTED-DELIVERY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,41,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-UNMANIFESTED-DELIVERY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,42,246,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-UNMANIFESTED-DELIVERY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,43,246,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,44,246,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,45,246,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,46,246,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,47,246,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,48,246,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,49,246,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,50,246,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,51,246,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,52,246,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,53,246,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,54,246,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,55,246,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,56,246,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,57,246,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,58,246,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,59,246,Zero-package pickup,KNOWLEDGE_MAPPED,KNO-PUP-ZERO-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,60,246,Zero-package pickup,KNOWLEDGE_MAPPED,KNO-PUP-ZERO-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,61,246,Zero-package pickup,KNOWLEDGE_MAPPED,KNO-PUP-ZERO-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,62,246,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0008,FORGE P&D Application Guide 3.00 / FORGE 2.8.0,63,246,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
