page,section_or_subject,coverage_disposition,knowledge_ids,coverage_basis,required_follow_up
89,International pickup documents,KNOWLEDGE_MAPPED,KNO-PUP-INTERNATIONAL-DOCS-001,Mapped to one or more operational knowledge records with exact source evidence.,
90,International pickup documents,KNOWLEDGE_MAPPED,KNO-PUP-INTERNATIONAL-DOCS-001,Mapped to one or more operational knowledge records with exact source evidence.,
91,International pickup documents,KNOWLEDGE_MAPPED,KNO-PUP-INTERNATIONAL-DOCS-001,Mapped to one or more operational knowledge records with exact source evidence.,
92,Adult Signature Required delivery,KNOWLEDGE_MAPPED,KNO-DEL-SIG-ASR-001,Mapped to one or more operational knowledge records with exact source evidence.,
93,Adult Signature Required delivery,UI_SCREEN_REFERENCE,,Intermediate ASR time-definite and Stop Details screens; the page adds no independent ASR rule beyond the mapped eligibility and completion pages.,
94,Adult Signature Required delivery,KNOWLEDGE_MAPPED,KNO-DEL-SIG-ASR-001,Mapped to one or more operational knowledge records with exact source evidence.,
95,Adult Signature Required delivery,KNOWLEDGE_MAPPED,KNO-DEL-SIG-ASR-001,Mapped to one or more operational knowledge records with exact source evidence.,
96,Adult Signature Required delivery,KNOWLEDGE_MAPPED,KNO-DEL-SIG-ASR-001,Mapped to one or more operational knowledge records with exact source evidence.,
97,COD and SenseAware delivery,KNOWLEDGE_MAPPED,KNO-DEL-COD-MULTI-001,Mapped to one or more operational knowledge records with exact source evidence.,
98,COD and SenseAware delivery,KNOWLEDGE_MAPPED,KNO-DEL-COD-MULTI-001,Mapped to one or more operational knowledge records with exact source evidence.,
99,COD and SenseAware delivery,KNOWLEDGE_MAPPED,KNO-DEL-COD-MULTI-001,Mapped to one or more operational knowledge records with exact source evidence.,
100,COD and SenseAware delivery,KNOWLEDGE_MAPPED,KNO-DEL-COD-MULTI-001,Mapped to one or more operational knowledge records with exact source evidence.,
101,COD and SenseAware delivery,KNOWLEDGE_MAPPED,KNO-DEL-COD-MULTI-001,Mapped to one or more operational knowledge records with exact source evidence.,
102,COD and SenseAware delivery,KNOWLEDGE_MAPPED,KNO-DEL-SENSEAWARE-TAG-001,Mapped to one or more operational knowledge records with exact source evidence.,
103,COD and SenseAware delivery,KNOWLEDGE_MAPPED,KNO-DEL-SENSEAWARE-TAG-001,Mapped to one or more operational knowledge records with exact source evidence.,
104,Pharmacy and critical-healthcare delivery,KNOWLEDGE_MAPPED,KNO-DEL-PHARMACY-001,Mapped to one or more operational knowledge records with exact source evidence.,
105,Pharmacy and critical-healthcare delivery,KNOWLEDGE_MAPPED,KNO-DEL-PHARMACY-001,Mapped to one or more operational knowledge records with exact source evidence.,
106,Pharmacy and critical-healthcare delivery,KNOWLEDGE_MAPPED,KNO-DEL-PHARMACY-001,Mapped to one or more operational knowledge records with exact source evidence.,
107,Pharmacy and critical-healthcare delivery,KNOWLEDGE_MAPPED,KNO-DEL-CRITICAL-HEALTH-001,Mapped to one or more operational knowledge records with exact source evidence.,
108,Pharmacy and critical-healthcare delivery,KNOWLEDGE_MAPPED,KNO-DEL-CRITICAL-HEALTH-001,Mapped to one or more operational knowledge records with exact source evidence.,
109,Pharmacy and critical-healthcare delivery,KNOWLEDGE_MAPPED,KNO-DEL-CRITICAL-HEALTH-001,Mapped to one or more operational knowledge records with exact source evidence.,
110,HAL transfer and hazmat delivery,KNOWLEDGE_MAPPED,KNO-DEL-HAL-DELIVERY-001;KNO-DEL-HAL-NONHAL-TRANSFER-001,Mapped to one or more operational knowledge records with exact source evidence.,
111,HAL transfer and hazmat delivery,KNOWLEDGE_MAPPED,KNO-DEL-HAL-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
112,HAL transfer and hazmat delivery,KNOWLEDGE_MAPPED,KNO-DEL-HAL-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
113,HAL transfer and hazmat delivery,KNOWLEDGE_MAPPED,KNO-DEL-HAL-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
114,HAL transfer and hazmat delivery,KNOWLEDGE_MAPPED,KNO-DEL-HAL-NONHAL-TRANSFER-001,Mapped to one or more operational knowledge records with exact source evidence.,
115,HAL transfer and hazmat delivery,KNOWLEDGE_MAPPED,KNO-DEL-HAZMAT-SIGNATURE-001,Mapped to one or more operational knowledge records with exact source evidence.,
116,HAL transfer and hazmat delivery,KNOWLEDGE_MAPPED,KNO-DEL-HAZMAT-SIGNATURE-001,Mapped to one or more operational knowledge records with exact source evidence.,
117,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,Mapped to one or more operational knowledge records with exact source evidence.,
118,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,Mapped to one or more operational knowledge records with exact source evidence.,
119,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,Mapped to one or more operational knowledge records with exact source evidence.,
120,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,Mapped to one or more operational knowledge records with exact source evidence.,
121,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,Mapped to one or more operational knowledge records with exact source evidence.,
122,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-CALLTAG-FRAUD-001,Mapped to one or more operational knowledge records with exact source evidence.,
123,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-CALLTAG-FRAUD-001,Mapped to one or more operational knowledge records with exact source evidence.,
124,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-CALLTAG-FRAUD-001,Mapped to one or more operational knowledge records with exact source evidence.,
125,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-CALLTAG-FRAUD-001,Mapped to one or more operational knowledge records with exact source evidence.,
126,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-FORGE-CALLTAG-SCOPE-001;KNO-PUP-CALLTAG-FRAUD-001,Mapped to one or more operational knowledge records with exact source evidence.,
127,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-FORGE-CALLTAG-SCOPE-001;KNO-PUP-CALLTAG-FRAUD-001,Mapped to one or more operational knowledge records with exact source evidence.,
128,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-CALLTAG-FRAUD-001,Mapped to one or more operational knowledge records with exact source evidence.,
129,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-CALLTAG-FRAUD-001,Mapped to one or more operational knowledge records with exact source evidence.,
130,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-CALLTAG-FRAUD-001,Mapped to one or more operational knowledge records with exact source evidence.,
131,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-SENSEAWARE-NOHEALTHY-001,Mapped to one or more operational knowledge records with exact source evidence.,
132,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-SENSEAWARE-NOHEALTHY-001,Mapped to one or more operational knowledge records with exact source evidence.,
133,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-SENSEAWARE-NOHEALTHY-001,Mapped to one or more operational knowledge records with exact source evidence.,
134,"Unlisted hazmat, call-tag, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-SENSEAWARE-NOHEALTHY-001,Mapped to one or more operational knowledge records with exact source evidence.,
135,Bulk delivery and pickup,KNOWLEDGE_MAPPED,KNO-FORGE-BULK-001,Mapped to one or more operational knowledge records with exact source evidence.,
136,Bulk delivery and pickup,KNOWLEDGE_MAPPED,KNO-FORGE-BULK-001,Mapped to one or more operational knowledge records with exact source evidence.,
137,Bulk delivery and pickup,KNOWLEDGE_MAPPED,KNO-FORGE-BULK-001,Mapped to one or more operational knowledge records with exact source evidence.,
138,Bulk delivery and pickup,KNOWLEDGE_MAPPED,KNO-FORGE-BULK-001,Mapped to one or more operational knowledge records with exact source evidence.,
139,Bulk delivery and pickup,KNOWLEDGE_MAPPED,KNO-FORGE-BULK-001,Mapped to one or more operational knowledge records with exact source evidence.,
140,Bulk delivery and pickup,KNOWLEDGE_MAPPED,KNO-FORGE-BULK-001,Mapped to one or more operational knowledge records with exact source evidence.,
141,Bulk delivery and pickup,KNOWLEDGE_MAPPED,KNO-FORGE-BULK-001,Mapped to one or more operational knowledge records with exact source evidence.,
142,Bulk delivery and pickup,KNOWLEDGE_MAPPED,KNO-FORGE-BULK-001,Mapped to one or more operational knowledge records with exact source evidence.,
143,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-COMBINE-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
144,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-COMBINE-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
145,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-COMBINE-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
146,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-SPLIT-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
147,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-SPLIT-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
148,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-SPLIT-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
149,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-SPLIT-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
150,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-SPLIT-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
151,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-COMBO-STOP-001,Mapped to one or more operational knowledge records with exact source evidence.,
152,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-COMBO-STOP-001,Mapped to one or more operational knowledge records with exact source evidence.,
153,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-COMBO-STOP-001,Mapped to one or more operational knowledge records with exact source evidence.,
154,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-COMBO-STOP-001,Mapped to one or more operational knowledge records with exact source evidence.,
155,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-COMBO-STOP-001,Mapped to one or more operational knowledge records with exact source evidence.,
156,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
157,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
158,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
159,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
160,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
161,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
162,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
163,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
164,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
165,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
166,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
167,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
