alert_id,source_id,customer_or_subject,alert_date,display_scope,source_line_start,source_line_end,segment_sha256,review_status,currency_review_status,knowledge_extraction_status,operational_record_id,required_follow_up
MGB-ALERT-0011,SRC-MGB-PAGE-0023,ACT Testing,2026-04-01,U.S.,130,134,8bb7e8cf600f073cd23ce9451b1a8a4ca4c2269fb4252ea08b0c21c670157943,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0011,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0012,SRC-MGB-PAGE-0023,O’Rourke Brothers Inc. (Rent-A-Center),2026-02-25,U.S.,136,145,7a0ef4ca353ad4dc8bbd1fc227d4a7024a56ed2284ad81ec084c53b152a55977,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0012,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0013,SRC-MGB-PAGE-0023,"Genesco, Inc. (Journeys, Journeys Kidz, Shi, Underground Station, Johnston & Murphy)",2026-02-18,U.S.,147,156,2b9c314bda331e79c82a387c0bbd2fcbd68f730bd64dffba9a59b47ca45fea4f,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0013,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0014,SRC-MGB-PAGE-0023,Tapestry,2026-02-11,U.S.,158,167,90047ceeec5b19c56a72ddfef681df2d6c51e9e11d3c6f734635ab1ace840fc5,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0014,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0015,SRC-MGB-PAGE-0023,Alo Yoga,2026-02-11,U.S.,169,177,a8c9fe07dc5a30c79e0e512aae47908ef1daa14c2856ee317916e47eea6a5137,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0002,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0016,SRC-MGB-PAGE-0023,"JD Sports (Hibbett's, Finish Line, DTLR, Shoe Palace)",2026-02-11,U.S.,179,188,cf12ec0daaa2a42d41c80128f77a70a3ce0a315872e947fa5ce327d22871a207,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0015,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0017,SRC-MGB-PAGE-0023,J. McLaughlin,2026-01-30,U.S.,190,192,112e3badfcce6d182ef7102da8a3bb5c24b077b06d5dece92847e88c07d7db19,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0016,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0018,SRC-MGB-PAGE-0023,eBay,2026-01-20,U.S.,194,194,4ff4f2b3992fb3eae258aea368085766429b9db66d58aebfa24649494b2f9328,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0017,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0019,SRC-MGB-PAGE-0023,FlyBox,2026-01-20,U.S.,196,196,48c488574bca46d7d43e55945bc72b0bf4566c6c71561e6af87a477571b85e07,FULLY_REVIEWED,CURRENT_PAGE_INFORMATIONAL_ONLY,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0018,Revalidate when the alert page changes; do not infer an unprovided procedure.
MGB-ALERT-0020,SRC-MGB-PAGE-0023,MWI Animal Health,2025-12-30,U.S.,198,198,31305ded59d0027f09fb1b02c93f56be41562d9818f304d5e8cd160bb8526839,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0001,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0021,SRC-MGB-PAGE-0023,Wineshipping.com,2025-12-22,U.S.,200,204,d7b64cbe2083d9c8707a1644c407667ae5cd9cc8f04b4a6457bb5c566ac37054,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0002,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0022,SRC-MGB-PAGE-0023,MWI Animal Health,2025-11-24,U.S.,206,210,2373466f43687512112cde7ec564d630c32b110c575f6ba2bfd3296a08e15c19,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0003,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0023,SRC-MGB-PAGE-0023,LuxerOne,2025-11-12,U.S.,212,216,fa83317910fae11ee86a3a314bde0b3b66cf81be1697408aef82eeafe0e83bf7,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0004,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0024,SRC-MGB-PAGE-0023,BELK,2025-11-12,U.S.,220,228,0a9f5b6695ce52f1b2e0c9bc80d7ff610face01a9ad0436ceab0791fb413d6c4,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0005,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0025,SRC-MGB-PAGE-0023,Lululemon,2025-11-06,U.S.,232,259,210579716e84094a00c01688f40f45971d289faa84e0b1b5d090beb98e632b55,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0006,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0026,SRC-MGB-PAGE-0023,New customer: J. McLaughlin,2025-11-04,U.S.,261,261,81076670c44c204df9f38a76f0f6a3017ded922c058f1f39f2ae38cbf024254e,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0007,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0027,SRC-MGB-PAGE-0023,Foot Locker,2025-11-04,U.S.,263,317,6945e3351ceee4d29ce98d8d08ee7f16ac663e2fe66f6db95d1deb73dd5429a5,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0008,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0028,SRC-MGB-PAGE-0023,MWI Animal Health,2025-10-27,U.S.,318,320,a9361682c006c51b498eaa448f62fe07c2699f63604d297d88cdfb0e7a81cde7,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0009,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0029,SRC-MGB-PAGE-0023,ITK Collective- Doodle for Google,2025-10-17,U.S.,322,324,df99a7fee82da97fbff153a2dbfa19f8a24fdf03c4519d0051711d44de7be174,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0010,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0030,SRC-MGB-PAGE-0023,Kroger and banner stores,2025-10-07,U.S.,326,331,cc9acba37ad03326da84985ea98f827dd89fba2199b3f4518bd83fb469a2ef5c,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0011,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0031,SRC-MGB-PAGE-0023,MagicKitchen.com,2025-10-07,U.S.,333,335,935c17b393ca587f9279c72f6008bf2ef56e720c0cd44f876fc38761c17623f6,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0012,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0032,SRC-MGB-PAGE-0023,New customer: Tapestry,2025-10-07,U.S.,337,347,3cf301370e649b4fc8b28c0bc33c91777adea0eb75925c7175fd51d4fd45e131,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0013,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0033,SRC-MGB-PAGE-0023,Walmart/Sam's Club,2025-09-29,U.S.,349,351,c9e43f68b1be06f12b06ab96fbefd2a2894585dcbf2a51e5a78c48f62b13ed6d,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0014,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0034,SRC-MGB-PAGE-0023,Verizon,2025-09-29,U.S.,353,358,1f3e7a948dec942b57c46235e7cfa812c1c4896355a933a05873f5569ca6ff98,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0015,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0035,SRC-MGB-PAGE-0023,Best Buy,2025-09-29,U.S.,360,362,06e29722aac3f8b476ecd17fd724625114a6ab1dc5b3d939a07e2c12cef597a3,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0016,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0036,SRC-MGB-PAGE-0023,Matco Tools,2025-09-23,U.S.,364,368,3cd1e4ec4fcdc0c30a7f041af05966cc91c7da0f7b3d83d4c2b53ec32230b370,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0017,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0037,SRC-MGB-PAGE-0023,Walmart,2025-09-23,U.S.,370,370,a243bb1ae91ef2bde33a277caa6248ee4efec614be131b93833579b7810fb66a,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0018,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0038,SRC-MGB-PAGE-0023,New customer: VIP Wireless,2025-09-15,U.S.,372,376,c5b92002f165bd8e51933798e3b2af280e18d5759813cd3bdffb3ba579dd8ecb,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0019,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0039,SRC-MGB-PAGE-0023,Ross and dd's DISCOUNTS,2025-09-15,U.S.,380,380,1c171bf1af19db5c5abdee109290de8f54bc4a93b2bbda16c4817d86fbec9a04,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0020,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0040,SRC-MGB-PAGE-0023,Cencora/MWI Animal Health,2025-09-15,U.S.,382,384,bc22805e8cc4539e9e8d043d1f9e145e0f3d29ae793ac3dabc672b211e1f33da,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0021,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0041,SRC-MGB-PAGE-0023,Pure Country,2025-09-15,U.S. and Canada,386,386,baf2487624abf66405be375d502131364baa174d18b5a7195064556cd9bf70b5,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0022,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0042,SRC-MGB-PAGE-0023,Polaris Pharmacy (on behalf of AstraZeneca),2025-09-03,U.S.,388,394,dd09da183723dce3474577e41cbbeca0e0e9352ce22284538e496034b7399a7d,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0023,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0043,SRC-MGB-PAGE-0023,Spirit Halloween/Spencer's Gifts,2025-08-29,U.S.,396,400,eceb92ad6bfaed3b9a42e86f1f6d7398f04adf6e8efb95f91fb8f21eef81280e,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0024,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0044,SRC-MGB-PAGE-0023,New customer: TikTok,2025-08-22,U.S.,402,402,95c7ccb27e85c8a8b3df9885be0139698158e37138506a3059826cbfedb7dd67,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0025,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0045,SRC-MGB-PAGE-0023,Best Buy,2025-08-21,U.S.,404,407,d04259e2b1bab531afc8330cf08dff491aff04c07c7d3d2f69a1c6eac5884852,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0026,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0046,SRC-MGB-PAGE-0023,Misfits Market,2025-08-04,U.S.,411,415,390e4ac3faea8e2525b22d16f9f0647db2910fa504eba615c03fdab408335379,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0027,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0047,SRC-MGB-PAGE-0023,GameStop,2025-07-22,U.S.,417,422,b840d006dddf9747d1033e156e156358fe4fae13b269bf486914e94fe72bdf96,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0028,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0048,SRC-MGB-PAGE-0023,Sanofi,2025-07-14,U.S.,424,427,bd27b1c4106665e5dfb05e827abd55b38f1fdcdbc67d892b4fbd967f8fc181f2,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0029,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0048A,SRC-MGB-PAGE-0023,Kroger and banner stores,2025-07-14,U.S.,429,451,e090ba6e9144edd768c4e7ce5749208b5e9eed97fdbfbbcd8322b2f8e9a7e83b,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0064,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0049,SRC-MGB-PAGE-0023,ACT Testing,2025-07-07,U.S.,456,462,1c233566a5ea5e37e5858cdaa761c0048eb8f067ab3e069ef0b7ee0fde00717e,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0030,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0050,SRC-MGB-PAGE-0023,Trek,2025-07-07,U.S.,466,466,64456343eb1cfa3e13c9d8c2330f31e1dfe483ce5a9d2f8134c30a007bfe4668,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0031,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0051,SRC-MGB-PAGE-0023,MWI Animal Health,2025-06-23,U.S.,468,468,39101926976edea7ce48e7592314523802b13846880f9c6a835ddbf756a9bdda,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0032,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0052,SRC-MGB-PAGE-0023,Buc-ee's,2025-06-10,U.S.,470,476,e2cdc18c40b85fcdf05ff46503c153a2c3007bf76e0fd662abb63706997d71a8,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0033,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0053,SRC-MGB-PAGE-0023,STIHL,2025-06-10,U.S.,478,484,716d92c610c94fef179218a17300ed186df6d4632d1eaec523a379a2ea0e7598,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0034,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0054,SRC-MGB-PAGE-0023,New customer: Accelerate360,2025-05-19,U.S.,486,486,3e9f0113708c2076d8702cdcad2d692048beb86b5a61a0d56428cc5a2de89d0c,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0035,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0055,SRC-MGB-PAGE-0023,Cencora/MWI Animal Health,2025-05-19,U.S.,488,492,080c26cc44ce7d097c5916cf0a42ad89d076ce506a9401dc3b9ba07fa692263f,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0036,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0056,SRC-MGB-PAGE-0023,Ulta Beauty,2025-05-05,U.S.,494,498,a0e76577bf9a6d3b0ab8ea00870782a779575ded2c0ed12838fe2368923d5aa4,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0037,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0057,SRC-MGB-PAGE-0023,Toshiba/Dollar General,2025-05-01,U.S.,500,500,c9ca4dd2556b2327f5454e90679e72cd261daa90faf33e23f28a69d88d45ff76,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0038,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0058,SRC-MGB-PAGE-0023,Edible Arrangements,2025-05-01,U.S.,502,502,6cca41ea5e1d7fb66ba4ac2340250519763639b9563e26b46f7fce0bccb78656,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0039,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0059,SRC-MGB-PAGE-0023,Academy Sports,2025-05-01,U.S.,504,504,5637bb21c9ef30880ea4cf6a553aad43345b70102ead539d9dd805d056246991,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0040,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0060,SRC-MGB-PAGE-0023,La Colombe,2025-04-28,U.S.,506,508,a79eeb42aae56e0380de9296a12d70d81ec212a7987c0583f745d0ecc0ce7126,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0041,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0061,SRC-MGB-PAGE-0023,Consolidated Mail Outpatient Pharmacy (CMOP),2025-04-28,U.S.,510,513,d9eee67600fdcf887b44fc49dd673212ab8120062d966a70cad635646b832361,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0042,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0062,SRC-MGB-PAGE-0023,Bank of America & Wells Fargo,2025-04-21,U.S. and Canada,517,517,a893f373bed9a9a4e36ddbc9219bd1bdb4a04fc998d023d208bce6cb5f3da248,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0043,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0063,SRC-MGB-PAGE-0023,TJX Companies,2025-04-21,U.S.,519,519,9b43abb84d1bc01c7897b521b99a49ab59c3f652404f9afef5d9a8f7b21a0f06,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0044,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0064,SRC-MGB-PAGE-0023,Polaris,2025-04-21,U.S. and Canada,521,521,9937495123c2c18d70f6181c0514c38cd244be6248d552c4846a8005cd38d79c,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2025-0045,Acquire and review a current customer instruction before answering as current.
