priority,review_lane,knowledge_id,canonical_situation,research_status,resolution_type,human_owner_class,exact_question,required_answer_elements,current_safe_boundary,backlog_ids,acquisition_queue_resource_ids,publication_gate
11,MAINSTREAM_P_AND_D,KNO-FORGE-BULK-001,FORGE presents a bulk delivery manifest or bulk pickup count,HUMAN_REVIEW_REQUIRED,CURRENT_PROCEDURE_AND_AUTHORITY,FORGE_PRODUCT_AND_P_AND_D_OPERATIONS_OWNER,"What is the current approved FedEx Ground procedure for: FORGE presents a bulk delivery manifest or bulk pickup count? Resolve this exact gap: Current bulk-manifest eligibility, thresholds, physical-count reconciliation, exception handling, and closeout authority.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. A bulk barcode can represent many physical packages. Verify the actual package count in Package Information or the Bulk Pickup count—do not treat one scanned barcode as one package. Bulk Pickup availability depends on the FORGE vehicle type. Stop and contact management/station for any count, manifest, vehicle-classification, address, or date mismatch.",REFSRC-022,,WITHHOLD_UNTIL_RESOLVED
12,MAINSTREAM_P_AND_D,KNO-PUP-CALLTAG-FRAUD-001,FORGE offers cancellation of all call tags for suspected fraud,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,FEDEX_P_AND_D_SECURITY_AND_FORGE_OWNER,"What is the current approved FedEx Ground procedure for: FORGE offers cancellation of all call tags for suspected fraud? Resolve this exact gap: Current suspected-fraud criteria, who may authorize all-call-tag cancellation, documentation, and custody steps.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. FORGE shows a stop-wide All Call Tags cancelled: Suspected Fraud action that applies code 106 to every package in the stop, but the guides do not define when or by whom suspected fraud may be determined. Do not infer authorization from the UI option; contact management or the station for current direction.",REFSRC-022,,WITHHOLD_UNTIL_RESOLVED
13,MAINSTREAM_P_AND_D,KNO-PUP-OFFER-DECLINE-001,Business contact receives a new scheduled pickup offer in FORGE,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,FEDEX_PICKUP_PRODUCT_OWNER,What is the current approved FedEx Ground procedure for: Business contact receives a new scheduled pickup offer in FORGE? Resolve this exact gap: Current scenarios and business-contact authority for accepting or declining a scheduled pickup offer.,"Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Pickup offers are handled by the business contact. To accept, choose a work area. Do not decline just because the button is available—the source says decline is limited to certain scenarios but does not define them. Confirm with management/CXPC before declining.",REFSRC-022,,WITHHOLD_UNTIL_RESOLVED
14,MAINSTREAM_P_AND_D,KNO-PUP-DROPBOX-SCHEDULE-001,"Determining who may authorize a drop-box time, holiday date, or early-last-pickup change",HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,FEDEX_DROPBOX_PRODUCT_OWNER,"What is the current approved FedEx Ground procedure for: Determining who may authorize a drop-box time, holiday date, or early-last-pickup change? Resolve this exact gap: Current role/authorization rules for drop-box pickup-time, holiday-date, and early-last-pickup decisions; the mechanical workflows are already reviewed.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. The guides show how to enter drop-box changes, but they do not establish who may choose or authorize a new pickup time, holiday date, or early-last-pickup decision. Do not infer decision authority from access to the FORGE option; use the contractor's established human-management process for direction.",REFSRC-023,,WITHHOLD_UNTIL_RESOLVED
15,MAINSTREAM_P_AND_D,KNO-FORGE-LOGIN-WARNING-001,"FORGE login displays an authorization, medical-card, vehicle, CARB, HOS, or driver-qualification warning",HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,FORGE_PRODUCT_AND_COMPLIANCE_OWNER,"What is the current approved FedEx Ground procedure for: FORGE login displays an authorization, medical-card, vehicle, CARB, HOS, or driver-qualification warning? Resolve this exact gap: Current authority and controlling criteria for medical-card, vehicle, CARB, HOS, qualification, and role warnings.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Read the exact warning and do not acknowledge compliance unless it is true. A Continue button does not cure an expired/missing card, ineligible driver, HOS problem, mismatched agreement/CSA, or noncompliant vehicle. Stop dispatch and contact management/compliance to resolve the underlying record or use an approved eligible person/vehicle.",REFSRC-011;REFSRC-022;REFSRC-028,MGB-NAV-0044;MGB-NAV-0068;MGB-NAV-0070,WITHHOLD_UNTIL_RESOLVED
16,MAINSTREAM_P_AND_D,KNO-FORGE-LOGIN-DISPATCH-001,Preparing a normal FORGE login and dispatch,HUMAN_REVIEW_REQUIRED,CURRENT_PROCEDURE_AND_AUTHORITY,FORGE_PRODUCT_AND_COMPLIANCE_OWNER,"What is the current approved FedEx Ground procedure for: Preparing a normal FORGE login and dispatch? Resolve this exact gap: Current real-user role, assignment, vehicle, duty time, compliance, manifest, and dispatch authority.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Use only your authorized real user type, assignment, vehicle information, actual on-duty time, and required manifest. The supplied guide demonstrates a demo login and cannot authorize a real selection. Contact management/station if any role, vehicle, HOS, compliance, or hazmat prompt is uncertain.",REFSRC-022,MGB-NAV-0068;MGB-NAV-0070,WITHHOLD_UNTIL_RESOLVED
17,MAINSTREAM_P_AND_D,KNO-DEL-ALT-SIGNATURE-001,Using FORGE Alternate Signature with a recipient-signed door tag or physical signature record,HUMAN_REVIEW_REQUIRED,FORM_ARTIFACT_ACQUISITION,FEDEX_P_AND_D_OPERATIONS_AND_FORGE_OWNER,"What is the current approved FedEx Ground procedure for: Using FORGE Alternate Signature with a recipient-signed door tag or physical signature record? Resolve this exact gap: Current ALT eligibility, physical signature-record identity/fields/line number, custody, submission, and OP-200 interaction.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Identify the package service and exact signed tag/form first. The April 2025 guide shows ALT with a barcode and sometimes a physical-record line number, but the supplied sources do not establish the complete current authorization or custody procedure. Contact management/station before using it.",REFSRC-034,,WITHHOLD_UNTIL_RESOLVED
18,MAINSTREAM_P_AND_D,KNO-DEL-BUS-OP201-001,Business delivery has no OP-201 release authorization on file,CONFLICT,SOURCE_CONFLICT_ADJUDICATION,FEDEX_P_AND_D_OPERATIONS_AND_AGREEMENT_OWNER,What is the current approved FedEx Ground procedure for: Business delivery has no OP-201 release authorization on file? Resolve this exact gap: Controlling agreement/release instruction and written adjudication of the OP-117 versus FORGE release branch.,"Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.",Ready Route cannot establish an approved answer because the supplied FedEx guides conflict. Contact management or the station for direction before releasing the package.,REFSRC-001;REFSRC-017,MGB-NAV-0068,WITHHOLD_UNTIL_RESOLVED
19,MAINSTREAM_P_AND_D,KNO-DEL-TOBACCO-001,"Package is known or reasonably believed to contain tobacco, e-cigarette, or vaping products",HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,FEDEX_P_AND_D_PRODUCT_AND_LEGAL_OWNER,"What is the current approved FedEx Ground procedure for: Package is known or reasonably believed to contain tobacco, e-cigarette, or vaping products? Resolve this exact gap: Current controlling tobacco/e-cigarette prohibition and any authorized commercial exception scope.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Do not deliver tobacco or vaping products to an individual consumer. Alert the station manager/representative. For a commercial location, do not assume an exception—Ready Route cannot establish approval from these sources without current station confirmation.",REFSRC-036,,WITHHOLD_UNTIL_RESOLVED
20,MAINSTREAM_P_AND_D,KNO-SEC-STOLEN-VEHICLE-001,FedEx-branded or shipment-laden vehicle is stolen,CONFLICT,SOURCE_CONFLICT_ADJUDICATION,FEDEX_SECURITY_OWNER,"What is the current approved FedEx Ground procedure for: FedEx-branded or shipment-laden vehicle is stolen? Resolve this exact gap: Written controlling assignment and order for law-enforcement, station/hub, GSOC, and security notifications.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Get to safety. If there is a life-threatening emergency, call 9-1-1 when safe. For a stolen shipment-laden or FedEx-branded vehicle, notify local law enforcement immediately, then contact local station/hub management immediately. Preserved FedEx sources conflict on whether personnel call GSOC first or FedEx representatives call GSOC after station contact, so do not choose one as resolved—follow current station/Security direction for the internal calls.",REFSRC-009,MGB-NAV-0068,WITHHOLD_UNTIL_RESOLVED
21,SAFETY_COMPLIANCE_AND_QUALIFICATION,KNO-DOT-ROADSIDE-REPORT-001,Driver receives a roadside inspection report,HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,FEDEX_DOT_COMPLIANCE_OWNER,"What is the current approved FedEx Ground procedure for: Driver receives a roadside inspection report? Resolve this exact gap: The federal next-terminal/24-hour delivery branch, out-of-service restriction, carrier correction/certification, and 12-month retention baseline are now preserved. Confirm FedEx's exact internal recipient and ordered repair/citation/qualification workflow plus any additional state obligation.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Keep the roadside inspection report and deliver it to FedEx and the operating motor carrier at the next applicable station or facility. If you will not reach that facility within 24 hours, transmit the report immediately. Do not operate a vehicle marked out of service until the required repairs are complete, and contact management/compliance for the internal handoff and citation follow-up.",,MGB-NAV-0068,WITHHOLD_UNTIL_RESOLVED
22,SAFETY_COMPLIANCE_AND_QUALIFICATION,KNO-HOS-RENTAL-ELD-001,Using a rental commercial vehicle with no installed ELD,HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,FEDEX_DOT_HOS_COMPLIANCE_OWNER,"What is the current approved FedEx Ground procedure for: Using a rental commercial vehicle with no installed ELD? Resolve this exact gap: The federal exemption through 2027-10-12 now establishes the eight-day scope, anti-cycling rule, carried notice/agreement/RODS, and interstate boundary. Confirm the approved FedEx/Motive workflow, intrastate applicability for the operating jurisdiction, and renewal/rescission monitoring owner.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. For a qualifying property-carrying rental of eight days or fewer, the current federal exemption allows approved manual RODS only when its conditions are met: carry the exemption notice, the rental agreement identifying the parties, vehicle, and dates, and required current/prior-seven-day RODS. Do not cycle rentals to avoid an ELD. More than eight days requires the normal ELD process. Confirm applicability and the approved workflow with safety/compliance before driving.",REFSRC-011,MGB-NAV-0068,WITHHOLD_UNTIL_RESOLVED
23,SAFETY_COMPLIANCE_AND_QUALIFICATION,KNO-VEH-RENTAL-PREP-001,Preparing and identifying a rental vehicle for P&D service,HUMAN_REVIEW_REQUIRED,CURRENT_PROCEDURE_AND_AUTHORITY,FEDEX_VEHICLE_COMPLIANCE_OWNER,"What is the current approved FedEx Ground procedure for: Preparing and identifying a rental vehicle for P&D service? Resolve this exact gap: Current rental-vehicle preparation, identification, inspection, documentation, and equipment requirements. The reviewed Alternative Vehicle page is a distinct personal/passenger-vehicle program and does not resolve rental-vehicle procedure.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Before dispatch, confirm the rental is qualified, has VEDR, and carries the correct agreements. Rental-company vehicle: FORGE = Rental and carry the agreement showing FEC USDOT 86876. Another provider's qualified vehicle: FORGE = Contractor Owned and carry its Schedule B plus the inter-provider agreement. Do not use a pending-qualification vehicle.",,MGB-NAV-0047,WITHHOLD_UNTIL_RESOLVED
24,SAFETY_COMPLIANCE_AND_QUALIFICATION,KNO-VEH-ANNUAL-INSPECTION-001,"Vehicle annual inspection is expired, missing, or incomplete",HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,FEDEX_VEHICLE_COMPLIANCE_OWNER,"What is the current approved FedEx Ground procedure for: Vehicle annual inspection is expired, missing, or incomplete? Resolve this exact gap: Current inspection form, correction, record-custody, jurisdiction, and vehicle-removal/return-to-service requirements.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Do not use the vehicle unless a qualifying inspection within the last 12 months shows all required components passed and proof is on record for that vehicle. A roadside inspection does not substitute. Report expired, missing, incomplete, or failed proof to management/maintenance before dispatch.",,MGB-NAV-0068,WITHHOLD_UNTIL_RESOLVED
25,SAFETY_COMPLIANCE_AND_QUALIFICATION,KNO-VEH-CA-90DAY-INSPECTION-001,California P&D vehicle's 90-day inspection is expired or has uncorrected defects,HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,FEDEX_VEHICLE_COMPLIANCE_OWNER,"What is the current approved FedEx Ground procedure for: California P&D vehicle's 90-day inspection is expired or has uncorrected defects? Resolve this exact gap: Current California 90-day inspection form, defect correction, custody, and return-to-service requirements.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. For a covered California P&D vehicle, count 90 calendar days—including weekends and holidays—from the last inspection. Do not dispatch with an expired inspection or uncorrected/unattested defects. The source permits movement only to a repair site. Obtain current proof, provide it to FedEx, and keep it in/on the vehicle.",,MGB-NAV-0044;MGB-NAV-0068,WITHHOLD_UNTIL_RESOLVED
26,SAFETY_COMPLIANCE_AND_QUALIFICATION,KNO-QUAL-L10-ACTIVATION-001,Determining whether an L10 ISP driver qualification/activation process is complete,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,FEDEX_QUALIFICATION_CERTIFICATION_OWNER,"What is the current approved FedEx Ground procedure for: Determining whether an L10 ISP driver qualification/activation process is complete? Resolve this exact gap: Complete current qualification forms, decision gates, First Advantage documentation, and activation authority. The reviewed P&D road-test page resolves its narrow test gate but not full activation.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Do not put a newly onboarded candidate into independent driver work based only on class completion, a badge, or one active system status. Current MyGroundBiz requires all applicable Driver Safety and Background Standards before any on-road practice or road test; knowledge validation, skill check, and road test over no less than three calendar days; then at least eight observed behind-the-wheel hours over no fewer than two days within 21 days after the successful road test, in the intended CMV type with an eligible trainer or observer. Have the responsible compliance owner verify the records plus current MBA and CDAS status before assignment.",REFSRC-028,MGB-NAV-0029;MGB-NAV-0030;MGB-NAV-0033;MGB-NAV-0070,WITHHOLD_UNTIL_RESOLVED
27,SPECIALIZED_LINEHAUL,KNO-LH-COUPLING-BASIC-001,Coupling a tractor trailer or converter dolly,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,FEDEX_LINEHAUL_SAFETY_OWNER,What is the current approved FedEx Ground procedure for: Coupling a tractor trailer or converter dolly? Resolve this exact gap: Manufacturer/equipment-specific fifth-wheel and pintle-hook instructions plus current authorization/training requirements. The reviewed dock-pull page is a distinct readiness procedure and does not supply coupling instructions.,"Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Do not move the equipment until the coupling is positively verified. Confirm the fifth wheel and kingpin are securely locked; for a dolly connection, confirm the pintle-hook latch is locked and both safety chains are connected. Use the procedure for the installed equipment type and escalate if any check is uncertain.",REFSRC-021,,WITHHOLD_UNTIL_RESOLVED
