source_id,title,review_status,relevance_status,mapping_rows,mapped_knowledge_count,mapped_knowledge_ids,coverage_disposition,coverage_basis,required_follow_up
SRC-GDRIVE-FILE-0009,FORGE Quick Start Guide.pdf,FULLY_REVIEWED,HIGH_RELEVANCE,1,1,KNO-FORGE-DEVICE-ROAD-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0010,FORGE Settings 220rev6102025.pdf,FULLY_REVIEWED,HIGH_RELEVANCE,4,4,KNO-FORGE-AUDIO-ALERTS-001;KNO-FORGE-CAMERA-SCAN-001;KNO-FORGE-DEVICE-INFO-001;KNO-FORGE-DISPLAY-NAV-SETTINGS-001,MAPPED_OPERATIONAL_EVIDENCE,4 exact mapping row(s) support 4 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0011,Hand sheet 2.pdf,FULLY_REVIEWED,POTENTIALLY_RELEVANT,1,1,KNO-DOC-HANDSHEET-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0012,Hand sheet.pdf,FULLY_REVIEWED,POTENTIALLY_RELEVANT,1,1,KNO-DOC-HANDSHEET-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0013,Manifest Preview Application Guide10102024.pdf,FULLY_REVIEWED,POTENTIALLY_RELEVANT,3,3,KNO-FORGE-MANIFEST-PERMISSIONS-001;KNO-FORGE-MANIFEST-PREVIEW-001;KNO-FORGE-MANIFEST-SEARCH-001,MAPPED_OPERATIONAL_EVIDENCE,3 exact mapping row(s) support 3 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,FULLY_REVIEWED,HIGH_RELEVANCE,151,78,KNO-COMMS-MEDIA-001;KNO-CX-APPEARANCE-001;KNO-DEL-ALCOHOL-001;KNO-DEL-APT-001;KNO-DEL-ATTEMPT-LIMIT-001;KNO-DEL-BARCODE-001;KNO-DEL-BUS-OP201-001;KNO-DEL-CLASSIFICATION-001;KNO-DEL-DAMAGE-INSPECTION-001;KNO-DEL-DISPUTE-PREVENTION-001;KNO-DEL-DOORTAG-001;KNO-DEL-HAL-DELIVERY-001;KNO-DEL-HAL-NONHAL-TRANSFER-001;KNO-DEL-HAL-UNABLE-001;KNO-DEL-HAZMAT-SIGNATURE-001;KNO-DEL-LOCKER-FAIL-001;KNO-DEL-NOTATION-001;KNO-DEL-OP206-001;KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-PPOD-001;KNO-DEL-PREMIUM-WINDOW-001;KNO-DEL-REFUSED-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SCAN-INTEGRITY-001;KNO-DEL-SECURITY-NODELIVERY-001;KNO-DEL-SENSEAWARE-TAG-001;KNO-DEL-SHIPPER-RELEASE-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001;KNO-DEL-SRA-001;KNO-DEL-TOBACCO-001;KNO-DOC-HANDSHEET-001;KNO-DOT-ROADSIDE-REPORT-001;KNO-ETH-FALSIFICATION-001;KNO-FORGE-COMBO-STOP-001;KNO-FORGE-COMMENT-SCOPE-001;KNO-FORGE-DELETE-SCAN-001;KNO-FORGE-EDIT-ADDRESS-001;KNO-FORGE-MANUAL-BARCODE-001;KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-AKHI-001;KNO-HAZ-LEAK-001;KNO-HAZ-LOAD-PAPERS-001;KNO-HAZ-MANIFEST-001;KNO-HAZ-RADIOACTIVE-WET-001;KNO-HAZ-SF136-001;KNO-HOS-DUTY-LIMITS-001;KNO-HOS-SHORT-ADVERSE-001;KNO-INC-ACCIDENT-REPORT-001;KNO-PUP-CALLTAG-NOTREADY-001;KNO-PUP-CALLTAG-REFUSED-001;KNO-PUP-CALLTAG-RESTRICTED-001;KNO-PUP-CALLTAG-SUCCESS-001;KNO-PUP-DROPBOX-CONNECTION-001;KNO-PUP-DROPBOX-EARLY-LAST-001;KNO-PUP-DROPBOX-HOLIDAY-001;KNO-PUP-DROPBOX-SCHEDULE-001;KNO-PUP-DROPBOX-SERIAL-001;KNO-PUP-DROPBOX-SETTINGS-001;KNO-PUP-OFFER-DECLINE-001;KNO-PUP-PACKAGING-001;KNO-PUP-PRR-001;KNO-PUP-SCAN-INTEGRITY-001;KNO-PUP-SCANNER-FAIL-001;KNO-PUP-SENSEAWARE-NOHEALTHY-001;KNO-PUP-UNLISTED-001;KNO-PUP-VEHICLE-CAPACITY-001;KNO-PUP-WINDOW-RISK-001;KNO-PUP-WRONG-WA-001;KNO-PUP-ZERO-001;KNO-SEC-ACTIVE-THREAT-001;KNO-SEC-FACILITY-VEHICLE-001;KNO-SEC-INCIDENT-REPORT-001;KNO-SEC-LOST-BADGE-001;KNO-SEC-ROUTE-001;KNO-SEC-STOLEN-VEHICLE-001;KNO-SEC-WEAPONS-SCREENING-001,MAPPED_OPERATIONAL_EVIDENCE,151 exact mapping row(s) support 78 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0015,Package placement_quick reference.pdf,FULLY_REVIEWED,HIGH_RELEVANCE,1,1,KNO-DEL-PLACEMENT-HAZARD-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0016,Personnel Qualification Verification Flow.pdf,FULLY_REVIEWED,POTENTIALLY_RELEVANT,1,1,KNO-QUAL-L10-ACTIVATION-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0017,Screenshot - FedEx Authenticated Delivery announcement,FULLY_REVIEWED,TIME_SENSITIVE_RELEVANCE,0,0,,REVIEWED_CONTEXT_NO_DISTINCT_PROCEDURE,The preserved August 2026 FAD announcement screenshot described Ground availability as future; the later fully reviewed FORGE 3.3 guide now controls the active conditional Ground workflow.,Retain for version history and reassess only if a new authoritative source materially conflicts with the current guide.
SRC-MGB-ROOT-0001,MyGroundBiz Home,PARTIALLY_REVIEWED,POTENTIALLY_RELEVANT,0,0,,PARTIAL_CONTAINER_REVIEW,"The authenticated home/navigation container was mapped, but destination, search, news, video, and linked-resource review remains incomplete.",Resume authenticated destination and child-resource acquisition.
SRC-MGB-PAGE-0001,On the Road Reference Guide,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_LANDING_CHILDREN_PENDING,The complete landing page and all visible links are durably captured and reviewed; all five portal-download copies are now archived and fully reviewed or byte-reconciled to the supplied Drive copies.,Revalidate the landing page and child versions when MyGroundBiz publishes a newer applicable edition.
SRC-MGB-DOC-0001,U.S. On the Road Reference Guide,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_RENDER_IDENTICAL_MAPPING_ON_SUPPLIED_SOURCE,"All 89 pages of the authenticated portal OP-117 render identically to fully reviewed and mapped SRC-GDRIVE-FILE-0014, although the PDF bytes differ.",Preserve both originals and keep operational mappings on the supplied source unless the source model is deliberately consolidated.
SRC-MGB-DOC-0002,Customer Experience Guide,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_EXACT_DUPLICATE_MAPPING_ON_SUPPLIED_SOURCE,The authenticated portal download is byte-identical to fully reviewed and mapped SRC-GDRIVE-FILE-0002.,Retain duplicate identity and current portal location; keep operational mappings on the supplied source unless deliberately consolidated.
SRC-MGB-DOC-0003,Customer Experience Quick Reference Guide,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_EXACT_DUPLICATE_MAPPING_ON_SUPPLIED_SOURCE,The authenticated portal download is byte-identical to fully reviewed and mapped SRC-GDRIVE-FILE-0001.,Retain duplicate identity and current portal location; keep operational mappings on the supplied source unless deliberately consolidated.
SRC-MGB-DOC-0004,Focus on Package Placement,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_EXACT_DUPLICATE_MAPPING_ON_SUPPLIED_SOURCE,The authenticated portal download is byte-identical to fully reviewed and mapped SRC-GDRIVE-FILE-0004.,Retain duplicate identity and current portal location; keep operational mappings on the supplied source unless the source model is deliberately consolidated.
SRC-MGB-DOC-0005,Package Placement Quick Reference,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_EXACT_DUPLICATE_MAPPING_ON_SUPPLIED_SOURCE,The authenticated portal download is byte-identical to fully reviewed and mapped SRC-GDRIVE-FILE-0015.,Retain duplicate identity and current portal location; keep operational mappings on the supplied source unless the source model is deliberately consolidated.
SRC-MGB-PAGE-0002,Transporting Hazardous Materials,FULLY_REVIEWED,HIGH_RELEVANCE,8,5,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LEAK-001;KNO-HAZ-LOAD-PAPERS-001;KNO-HAZ-MANIFEST-001;KNO-HAZ-RADIOACTIVE-WET-001,MAPPED_OPERATIONAL_EVIDENCE,8 exact mapping row(s) support 5 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0003,Safety Information Guide,FULLY_REVIEWED,POTENTIALLY_RELEVANT,0,0,,REVIEWED_LANDING_CHILDREN_PENDING,"The landing page is fully reviewed, but the current Safety Information Guide is hosted in MyBizAccount and remains unacquired.",Acquire and fully review current SF-920P.
SRC-MGB-PAGE-0004,Driver Safety Standards - Qualification Certification for P&D,FULLY_REVIEWED,HIGH_RELEVANCE,2,2,KNO-QUAL-L10-ACTIVATION-001;KNO-QUAL-RECERT-001,MAPPED_OPERATIONAL_EVIDENCE,2 exact mapping row(s) support 2 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0005,Qualification Certification,FULLY_REVIEWED,HIGH_RELEVANCE,8,5,KNO-QUAL-L10-ACTIVATION-001;KNO-QUAL-OBSERVER-001;KNO-QUAL-PD-SEQUENCE-001;KNO-QUAL-RECERT-001;KNO-QUAL-VEHICLE-UPGRADE-001,MAPPED_OPERATIONAL_EVIDENCE,8 exact mapping row(s) support 5 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0006,Accident Reporting,FULLY_REVIEWED,HIGH_RELEVANCE,1,1,KNO-INC-ACCIDENT-SCENE-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-DOC-0006,Accident Packet Instructions for Drivers OP-130,FULLY_REVIEWED,HIGH_RELEVANCE,2,2,KNO-INC-ACCIDENT-REPORT-001;KNO-INC-ACCIDENT-SCENE-001,MAPPED_OPERATIONAL_EVIDENCE,2 exact mapping row(s) support 2 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-DOC-0007,Passenger In Other Vehicle Or Witness Form OP-132,FULLY_REVIEWED,HIGH_RELEVANCE,1,1,KNO-INC-ACCIDENT-SCENE-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-DOC-0008,Accident Report Form OP-135,FULLY_REVIEWED,HIGH_RELEVANCE,6,1,KNO-INC-ACCIDENT-SCENE-001,MAPPED_OPERATIONAL_EVIDENCE,6 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0007,Security,FULLY_REVIEWED,HIGH_RELEVANCE,7,5,KNO-CX-APPEARANCE-001;KNO-LH-CUSTOMER-TRAILER-SECURITY-001;KNO-SEC-INCIDENT-REPORT-001;KNO-SEC-ROUTE-001;KNO-SEC-STOLEN-VEHICLE-001,MAPPED_OPERATIONAL_EVIDENCE,7 exact mapping row(s) support 5 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0008,Customer Experience and Pickup Coordination,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_INDEX_CHILDREN_PENDING,"The complete page and all visible resources are durably captured and reviewed; it functions as a pickup-resource index and does not itself establish the linked procedures. The newly supplied mainstream pickup references are fully reviewed, while other linked resources remain queued.",Continue acquisition of remaining current linked sources; use newer OP-117/FORGE content over older CPC/STAR-era material.
SRC-MGB-PAGE-0009,ISP Agreement,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_LANDING_CHILDREN_PENDING,The ISP Agreement landing/version page is reviewed; the sample child is partial and cannot substitute for the executed negotiated agreement.,Fully review the sample for context and acquire the executed ISP Agreement and schedules for controlling obligations.
SRC-MGB-DOC-0009,Sample 2026 ISP Agreement,PARTIALLY_REVIEWED,HIGH_RELEVANCE,0,0,,PARTIAL_DOCUMENT_REVIEW_REQUIRED,Only the first page/identity of the official 89-page sample 2026 ISP Agreement is reviewed.,Acquire or navigate and review all 89 pages; preserve that a sample does not establish negotiated terms.
SRC-MGB-PAGE-0010,Commercial customers to initiate requests for OP-201 recipient release authorizations,FULLY_REVIEWED,HIGH_RELEVANCE,1,1,KNO-DEL-BUS-OP201-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0011,Beginning Nov. 17 commercial delivery driver release option available in STAR only with confirmed OP-201,FULLY_REVIEWED,HIGH_RELEVANCE,2,2,KNO-DEL-BUS-OP201-001;KNO-DEL-SHIPPER-RELEASE-001,MAPPED_OPERATIONAL_EVIDENCE,2 exact mapping row(s) support 2 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0012,Safety and Compliance Program Resources,FULLY_REVIEWED,POTENTIALLY_RELEVANT,0,0,,REVIEWED_LANDING_CHILDREN_PENDING,"The Safety and Compliance Program Resources landing page is reviewed, but its substantive linked PDFs remain separate unacquired sources.","Inventory, acquire, and review every reasonably driver-relevant child resource."
SRC-MGB-PAGE-0013,Safety Topic Library,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_INDEX_CHILDREN_PENDING,The Safety Topic Library index and all 77 displayed listings are inventoried; Dog Bite Prevention is fully reviewed from its original seven-page PDF and the other unique child documents remain separate acquisition targets.,"Acquire and review the remaining unique child documents by mainstream driver and safety priority, preserving duplicate URL relationships and dates."
SRC-MGB-PAGE-0014,CSA/DOT Regulations,FULLY_REVIEWED,HIGH_RELEVANCE,3,3,KNO-HOS-RENTAL-ELD-001;KNO-HOS-UDE-001;KNO-VEH-PRETRIP-DEFECT-001,MAPPED_OPERATIONAL_EVIDENCE,3 exact mapping row(s) support 3 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0015,Unsafe Driving,FULLY_REVIEWED,POTENTIALLY_RELEVANT,0,0,,REVIEWED_CONTEXT_NO_DISTINCT_PROCEDURE,The complete 2021 Unsafe Driving page is durably captured and reviewed; it supplies high-level violation examples but no distinct operational procedure beyond the broader 2025 CSA/DOT parent page.,Retain as contextual evidence and reassess only if the source is updated or a more specific current procedure is acquired.
SRC-MGB-PAGE-0016,Equipment Terms,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_LANDING_CHILDREN_PENDING,"The Equipment Terms landing page is reviewed; the current November 2025 equipment terms and January 2026 appearance FAQ are fully reviewed original PDFs, while other linked specifications remain separate targets.",Acquire and review remaining applicable equipment specifications before operational use; preserve contractor-control versus driver-procedure boundaries.
SRC-MGB-DOC-0010,Independent Service Provider Agreement Equipment Terms,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_CONTEXT_NO_DISTINCT_DRIVER_PROCEDURE,"All five pages of the original November 2025 equipment terms are archived and fully reviewed; they establish contractor vehicle-configuration, safety, appearance, security, and documentation controls rather than a complete driver-at-stop procedure.",Retain as current equipment/compliance context and use only source-specific requirements within their applicability; do not infer state-specific or in-route procedures.
SRC-MGB-PAGE-0017,Trailer and Dolly Coupling,FULLY_REVIEWED,HIGH_RELEVANCE,1,1,KNO-LH-COUPLING-BASIC-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0018,FedEx Authenticated Delivery launches August 12,FULLY_REVIEWED,TIME_SENSITIVE_RELEVANCE,0,0,,REVIEWED_CONTEXT_NO_DISTINCT_PROCEDURE,The reviewed August 2026 FAD announcement is historical launch context; the later fully reviewed FORGE 3.3 guide now supplies the active conditional Ground procedure.,Retain the announcement and its captures for audit history; use current authoritative application guidance for active procedure.
SRC-MGB-PAGE-0019,Important heat and dry ice safety reminders,FULLY_REVIEWED,HIGH_RELEVANCE,2,2,KNO-HAZ-DRY-ICE-001;KNO-SAFETY-HEAT-ILLNESS-001,MAPPED_OPERATIONAL_EVIDENCE,2 exact mapping row(s) support 2 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-DOC-0011,Dog Bite Prevention safety topic,FULLY_REVIEWED,HIGH_RELEVANCE,6,1,KNO-SAF-DOG-ENCOUNTER-001,MAPPED_OPERATIONAL_EVIDENCE,6 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0020,Rental Vehicle Information,FULLY_REVIEWED,HIGH_RELEVANCE,1,1,KNO-VEH-RENTAL-PREP-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0021,Annual Inspections,FULLY_REVIEWED,HIGH_RELEVANCE,1,1,KNO-VEH-ANNUAL-INSPECTION-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0022,California P&D 90-Day Periodic Inspections,FULLY_REVIEWED,HIGH_RELEVANCE,1,1,KNO-VEH-CA-90DAY-INSPECTION-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-MGB-PAGE-0023,Recent Customer Alerts,FULLY_REVIEWED,TIME_SENSITIVE_RELEVANCE,0,0,,REVIEWED_CUSTOMER_ALERT_LAYER_CARRIES_EVIDENCE,All 138 alert segments in the durable page capture are reviewed and represented in the separate customer-alert operational and source-mapping layers; general-record mappings remain intentionally separate.,Revalidate the page when it changes and complete the independently inventoried linked child-source acquisitions.
SRC-MGB-DOC-0012,Pickup Familiarization Guide,NOT_YET_REVIEWED,HIGH_RELEVANCE,0,0,,NOT_YET_REVIEWED,No operational evidence mapping is permitted because this source has not been reviewed.,Acquire/review the exact source and create evidence mappings only for source-established knowledge.
SRC-MGB-DOC-0013,Pickup Familiarization Notes,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_HISTORICAL_CONTEXT_NEWER_SOURCE_CONTROLS,All 40 pages of the October 2021 pickup familiarization notes are archived and fully reviewed; the STAR-era interface and workflows predate current OP-117 and FORGE guidance.,Retain as historical/corroborative context only; do not override newer applicable material or treat unresolved pickup-offer decline criteria as resolved.
SRC-MGB-DOC-0014,Meeting pickup service obligations,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_HISTORICAL_CONTEXT_NEWER_SOURCE_CONTROLS,The complete October 2020 pickup-service-obligations quick reference is archived and reviewed; it predates current OP-117 and FORGE guidance.,Retain as historical corroboration of pickup listing/window and reason-code accuracy; use newer applicable material for current procedures.
