backlog_id,source_identifier,title_or_description,origin_source_ids,priority,acquisition_status,review_status,reason_required,affected_targets
REFSRC-015,,Current hazardous-material pickup acceptance table,SRC-MGB-PAGE-0002,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Required to avoid treating the portal summary as the complete acceptance matrix.,KNO-HAZ-ACCEPTANCE-001
REFSRC-016,OP-200/OP-200SP,Current Shipment Status Door Tag forms and instructions,SRC-GDRIVE-FILE-0001;SRC-GDRIVE-FILE-0014,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,Reviewed guides describe workflows but do not establish whether all current form variants have identical effect.,KNO-DEL-DOORTAG-001;KNO-DEL-SIG-ISR-001
REFSRC-017,OP-201,Current recipient-release authorization form and controlling instructions,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0010;SRC-MGB-PAGE-0011,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Needed to resolve current authorization scope and the business-release conflict.,KNO-DEL-BUS-OP201-001
REFSRC-018,OP-206,Current alternate signature card/form and instructions,SRC-GDRIVE-FILE-0014,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,Guide establishes the workflow; the current physical artifact remains unacquired.,KNO-DEL-OP206-001
REFSRC-019,OP-406,Current GHAL Send to QA form/label and instructions,SRC-GDRIVE-FILE-0014,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,Required to verify exact after-close HAL refusal artifact and QA-return handling.,KNO-DEL-HAL-UNABLE-001
REFSRC-020,SF-136/OP-908,Current Special Permit 14691 and Hazardous Materials Shipper Error Notification artifacts,SRC-GDRIVE-FILE-0014,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,Reviewed guide establishes the paired-document exception; exact artifacts remain unacquired.,KNO-HAZ-SF136-001
REFSRC-021,,Manufacturer-specific fifth-wheel and pintle-hook manuals/videos linked from MyGroundBiz,SRC-MGB-PAGE-0017,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Detailed equipment-specific coupling sequence cannot be completed from the landing-page summary.,KNO-LH-COUPLING-BASIC-001
REFSRC-022,,Current production FORGE application guide and release/version notes,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0009;SRC-GDRIVE-FILE-0010,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Multiple UI records remain version-sensitive because the newest reviewed comprehensive guide is April 2025.,KNO-FORGE-AUDIO-ALERTS-001;KNO-FORGE-BULK-001;KNO-FORGE-BULK-TRANSFER-001;KNO-FORGE-COMBINE-DELIVERY-001;KNO-FORGE-COMMENT-SCOPE-001;KNO-FORGE-DEVICE-INFO-001;KNO-FORGE-DEVICE-ROAD-001;KNO-FORGE-DISPLAY-NAV-SETTINGS-001;KNO-FORGE-DOWNLOAD-SYNC-001;KNO-FORGE-EDIT-ADDRESS-001;KNO-FORGE-EOD-001;KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-LANGUAGE-001;KNO-FORGE-LOGIN-DISPATCH-001;KNO-FORGE-LOGIN-WARNING-001;KNO-FORGE-MANIFEST-PERMISSIONS-001;KNO-FORGE-MANIFEST-PREVIEW-001;KNO-FORGE-MANIFEST-SEARCH-001;KNO-FORGE-MERGE-PICKUP-001;KNO-FORGE-MESSAGING-001;KNO-FORGE-MULTICODE-001;KNO-FORGE-SPLIT-DELIVERY-001;KNO-FORGE-STANDARD-DELIVERY-001;KNO-FORGE-STANDARD-PICKUP-001;KNO-FORGE-SYNC-QUEUE-001;KNO-FORGE-TIME-REMINDER-001;KNO-FORGE-UNMANIFESTED-DELIVERY-001;KNO-FORGE-VEHICLE-CHANGE-001;KNO-PUP-CALLTAG-FRAUD-001;KNO-PUP-OFFER-DECLINE-001;TAX-FORGE
REFSRC-023,,Embedded drop-box guides and role/authorization source,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0014,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"Mechanical paths are reviewed, but authority for schedule/holiday/early-last-pickup changes is unresolved.",KNO-PUP-DROPBOX-SCHEDULE-001
REFSRC-024,,Complete Disputed Delivery investigation and recovery procedure,SRC-GDRIVE-FILE-0014,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,OP-117 establishes prevention causes/customer expectations but not full post-complaint case resolution.,KNO-DEL-DISPUTE-PREVENTION-001
REFSRC-025,,Current Package Research Case/customer-inquiry workflow,SRC-GDRIVE-FILE-0003,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"Secondary scenarios identify the situation, but no controlling workflow is supplied.",TAX-DELIVERY
REFSRC-026,,Current international pickup document requirements,SRC-GDRIVE-FILE-0008,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Application UI confirms a document prompt but not the controlling document set.,KNO-PUP-INTERNATIONAL-DOCS-001
REFSRC-027,,Current Collect on Delivery policy and custody/payment rules,SRC-GDRIVE-FILE-0008,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"Application screens do not establish amount discrepancy, payment type, check allocation, payee, custody, or refusal rules.",KNO-DEL-COD-MULTI-001
REFSRC-028,,Qualification Certification FAQ/forms and First Advantage documentation,SRC-GDRIVE-FILE-0016;SRC-MGB-PAGE-0004;SRC-MGB-PAGE-0005;SRC-MGB-PAGE-0039,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,The one-page flow and reviewed qualification pages reference detailed gating supporting forms and First Advantage materials not yet acquired.,KNO-FORGE-LOGIN-WARNING-001;KNO-QUAL-L10-ACTIVATION-001;KNO-QUAL-PD-ROADTEST-001
REFSRC-029,,Current ordinary recipient-refusal documentation and final-disposition procedure,SRC-GDRIVE-FILE-0014,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"OP-117 defines Status Code 006 for ordinary recipient refusal but does not establish the complete notation, door-tag, photo, custody, or station-return sequence.",KNO-DEL-REFUSED-001
REFSRC-030,,Current status-specific operational procedures and approval criteria for definition-only delivery codes,SRC-GDRIVE-FILE-0014,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"Twenty-one current code entries define a condition/outcome without the complete authorization, documentation, custody, notification, or final-disposition workflow; exact codes and gaps are preserved in the translation ledger.",knowledge/status_code_translation_coverage.csv
REFSRC-031,ERG,Current approved DOT Emergency Response Guidebook edition,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"The reviewed sources require the guidebook to remain immediately accessible and direct emergency use, but the current approved edition and response tables are not supplied.",KNO-HAZ-LOAD-PAPERS-001;KNO-HAZ-LEAK-001
REFSRC-032,20159S,Current Hazardous Materials Prohibited/Acceptable Labels Decal,SRC-GDRIVE-FILE-0014,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,"OP-117 identifies the vehicle-mounted decal as a prohibited-material reference, but its current content is not supplied.",KNO-HAZ-ACCEPTANCE-001
REFSRC-033,SF-035,Hazmat Reminder Card named by the April 2025 FORGE guide,SRC-GDRIVE-FILE-0008,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"The April 2025 guide names SF-035, while later reviewed OP-117 and portal sources name HZ-035 and SF-034; the corpus cannot assume typo, supersession, duplication, or equivalent content.",KNO-HAZ-ACCEPTANCE-001
REFSRC-034,,Current Alternate Signature physical signature record sheet and instructions,SRC-GDRIVE-FILE-0008,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"The April 2025 guide demonstrates selecting a physical signature-record line number but does not identify the current form, complete fields, authorized eligibility, custody, or submission instructions.",KNO-DEL-ALT-SIGNATURE-001
REFSRC-035,,Current pickup-service type definitions and selection criteria,SRC-GDRIVE-FILE-0002,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,"The 2024 OP-119 guide defines FDO, SDO, PRP, CTG, SCH, AUT, and NAP but does not establish that labels, market availability, timing, or current FORGE selection criteria remain unchanged.",KNO-PUP-SERVICE-TYPES-001
REFSRC-036,,Current controlling tobacco and e-cigarette shipment prohibition plus authorized commercial-exception criteria,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0002,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Reviewed OP-117 and OP-119 sources establish the broad prohibition and individual-consumer ban but differ in whether a limited preauthorized commercial exception exists; current authority and approval criteria are not supplied.,KNO-DEL-TOBACCO-001
REFSRC-037,,Current non-hazmat pickup packaging acceptance refusal escalation and documentation procedure,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0002,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"Reviewed guides establish packaging condition expectations and station/customer-service escalation but do not establish complete driver acceptance/refusal authority, required documentation, custody, or final disposition.",KNO-PUP-PACKAGING-001
REFSRC-038,,Current pharmacy-counter signer eligibility release timing custody and unsuccessful-delivery procedure,SRC-GDRIVE-FILE-0008,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"The FORGE guide identifies PHAR delivery and signature prompts but does not establish the complete current operational authority, eligible signer/ID rules, release limits, custody, or unsuccessful-delivery workflow.",KNO-DEL-PHARMACY-001
REFSRC-039,,Current critical-healthcare designation timing tracker notification release custody and exception procedure,SRC-GDRIVE-FILE-0008,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"The FORGE guide demonstrates critical-healthcare prompts and closeout screens but does not establish the complete current policy, notification, release, custody, or exception authority.",KNO-DEL-CRITICAL-HEALTH-001
REFSRC-040,MGBA-007;MGBA-007R;MGBA007RQR;MGBA-007VP,Alternative Vehicle approval onboarding rental requirements and SPVP qualification technical guides,SRC-MGB-PAGE-0034,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,"The reviewed Alternative Vehicle page names four MBA technical guides but does not expose their contents; they may add qualification, rental, approval, documentation, or exception branches beyond the minimum visible readiness sequence.",KNO-VEH-ALT-ONBOARD-001
REFSRC-041,2025 Driver Safety Guidebook,"Driver Safety Guidebook cited for railroad crossings, flooded roads, winter readiness, detailed dog-behavior signs/pre-exit checks, backing, and overhead clearance",SRC-GDRIVE-FILE-0003,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,"The current 2026 Dog Bite Prevention topic now establishes general avoidance, approaching-dog, knockdown, and wound-response guidance. The separately cited Driver Safety Guidebook is still absent for detailed behavioral-sign and pre-exit content plus the other named vehicle-safety scenarios.",TAX-VEHICLE-SAFETY;KNO-SAF-DOG-ENCOUNTER-001;validation/adversarial_workbook_gap_report.md
REFSRC-042,Company Safety and Operation Handbook,Company Safety and Operation Handbook cited for backing overhead-clearance route-help and related contractor procedures,SRC-GDRIVE-FILE-0003,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,Workbook scenarios cite a Company Safety and Operation Handbook that is not present in the supplied authoritative corpus; its exact edition provenance and authority must be established before any backing overhead-clearance route-help or other contractor-specific instruction is adopted.,TAX-VEHICLE-SAFETY;validation/adversarial_workbook_gap_report.md
