knowledge_id,canonical_situation,archive_status,primary_category,recovery_disposition,source_availability,archive_source_ids,related_knowledge_ids
KNO-DEL-COD-MULTI-001,Delivering multiple Collect on Delivery packages at one stop,PENDING_REVIEW,TAX-DELIVERY,HOLD_PENDING_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-FORGE-COMBO-STOP-001
KNO-DEL-CRITICAL-HEALTH-001,Delivering a critical healthcare package,PENDING_REVIEW,TAX-DELIVERY,HOLD_PENDING_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-DEL-SENSEAWARE-TAG-001;KNO-DEL-PREMIUM-WINDOW-001
KNO-DEL-DAMAGE-INSPECTION-001,Delivery package has possible damage and must return for inspection,READY_ROUTE_APPROVED,TAX-DELIVERY,ALREADY_ACTIVE_V2,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,KNO-DEL-NOTATION-001;KNO-HAZ-LEAK-001;KNO-PUP-PACKAGING-001;KNO-PUP-CALLTAG-RESTRICTED-001;KNO-FORGE-COMMENT-SCOPE-001
KNO-DEL-DISPUTE-PREVENTION-001,Preventing a disputed delivery while completing a delivery or attempt,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,KNO-DEL-MISDELIVERY-RECOVERY-001;KNO-DEL-NOTATION-001;KNO-DEL-SCAN-INTEGRITY-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001
KNO-DEL-DOORTAG-001,"Completing, scanning, and placing a Shipment Status Door Tag",SOURCE_VERIFIED,TAX-DELIVERY,ALREADY_ACTIVE_V2,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,KNO-DEL-NOTATION-001;KNO-DEL-PPOD-001;KNO-DEL-SIG-ISR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ASR-001;KNO-DEL-APT-001;KNO-DEL-SAFEPLACE-001
KNO-DEL-FAD-GROUND-001,Ground package appears to require FedEx Authenticated Delivery,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,ARCHIVE_ONLY_OR_NOT_REINTRODUCED,SRC-MGB-DOC-0047,
KNO-DEL-HAL-DELIVERY-001,Delivering a package designated Hold at Location or Redirect to Hold,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0008,KNO-DEL-HAL-NONHAL-TRANSFER-001;KNO-DEL-HAL-UNABLE-001
KNO-DEL-HAL-NONHAL-TRANSFER-001,A non-HAL package appears at a HAL transfer stop,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0008,
KNO-DEL-HAL-UNABLE-001,Hold location refuses or cannot accept a HAL package,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,KNO-DEL-HAL-DELIVERY-001
KNO-DEL-HAZMAT-SIGNATURE-001,Delivering a hazardous-material package when no recipient is available,SOURCE_VERIFIED,TAX-DOT,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0014,KNO-HAZ-MANIFEST-001;KNO-DEL-SAFEPLACE-001;KNO-HAZ-LEAK-001
KNO-DEL-LOCKER-FAIL-001,"Third-party locker is full, malfunctioning, receives an ineligible package, or receives the wrong package",SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0025,KNO-DEL-SAFEPLACE-001;KNO-DEL-PPOD-001
KNO-DEL-MISDELIVERY-RECOVERY-001,Recovering and redelivering a misdelivered package on the same day,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-MGB-DOC-0047,
KNO-DEL-NOTATION-001,Package cannot be delivered and requires physical delivery notation,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,KNO-FORGE-STATUS-SCOPE-001
KNO-DEL-OP206-001,Recipient will not or cannot sign the scanner,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,KNO-DEL-SIG-ISR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ASR-001
KNO-DEL-PHARMACY-001,Delivering packages designated for a pharmacy counter,PENDING_REVIEW,TAX-DELIVERY,HOLD_PENDING_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-MGB-DOC-0047,KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-FORGE-COMBO-STOP-001
KNO-DEL-PLACEMENT-HAZARD-001,"Selecting a safe release location near a garage door, doorway, accessibility ramp, unsafe long driveway, or for a large package",SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0001;SRC-GDRIVE-FILE-0004;SRC-GDRIVE-FILE-0015;SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0002,KNO-DEL-SAFEPLACE-001;KNO-DEL-APT-001;KNO-DEL-PPOD-001;KNO-DEL-DOORTAG-001
KNO-DEL-PPOD-001,"Capturing residential, locker, business, or attempted-delivery proof photographs",SOURCE_VERIFIED,TAX-DELIVERY,ALREADY_ACTIVE_V2,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0004;SRC-GDRIVE-FILE-0008;SRC-MGB-PAGE-0025;SRC-GDRIVE-FILE-0001,KNO-DEL-DOORTAG-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-LOCKER-FAIL-001;KNO-DEL-BUS-OP201-001
KNO-DEL-PREMIUM-WINDOW-001,"Delivery package has Appointment, Date Certain, Evening, or Time Definite service",SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0001;SRC-GDRIVE-FILE-0014,KNO-DEL-SIG-ISR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SCAN-INTEGRITY-001;KNO-DEL-ATTEMPT-LIMIT-001
KNO-DEL-REFUSED-001,Recipient refuses an ordinary delivery package,PENDING_REVIEW,TAX-DELIVERY,HOLD_PENDING_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,KNO-DEL-SIG-ASR-001;KNO-PUP-CALLTAG-REFUSED-001;KNO-PUP-CALLTAG-RESTRICTED-001;KNO-DEL-COD-MULTI-001;KNO-FORGE-STATUS-SCOPE-001
KNO-DEL-SAFEPLACE-001,No safe place for residential driver release,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0001;SRC-GDRIVE-FILE-0002;SRC-GDRIVE-FILE-0014,KNO-DEL-APT-001;KNO-DEL-DOORTAG-001;KNO-DEL-NOTATION-001;KNO-DEL-PPOD-001;KNO-DEL-SIG-ISR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ASR-001;KNO-DEL-ALCOHOL-001;KNO-DEL-HAZMAT-SIGNATURE-001;KNO-SAF-DOG-ENCOUNTER-001
KNO-DEL-SCAN-INTEGRITY-001,Choosing when and where to scan a delivery or attempt,SOURCE_VERIFIED,TAX-ETHICS,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0001;SRC-GDRIVE-FILE-0004;SRC-GDRIVE-FILE-0002,KNO-DEL-DISPUTE-PREVENTION-001;KNO-ETH-FALSIFICATION-001
KNO-DEL-SECURITY-NODELIVERY-001,Customer security measures prevent delivery,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,KNO-DEL-NOTATION-001;KNO-SEC-ROUTE-001;KNO-SEC-INCIDENT-REPORT-001;KNO-SEC-WEAPONS-SCREENING-001
KNO-DEL-SENSEAWARE-TAG-001,Delivering a package with a SenseAware tracking tag,SOURCE_VERIFIED,TAX-SENSEAWARE,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0014,KNO-PUP-SENSEAWARE-NOHEALTHY-001;KNO-DEL-CRITICAL-HEALTH-001
KNO-DEL-SHIPPER-RELEASE-001,FORGE identifies shipper-authorized release without OP-201,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0011,KNO-DEL-BUS-OP201-001;KNO-DEL-DOORTAG-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SRA-001;KNO-DEL-SIG-ISR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ASR-001
KNO-DEL-SIG-ASR-001,Completing or failing an Adult Signature Required delivery,READY_ROUTE_APPROVED,TAX-DELIVERY,ALREADY_ACTIVE_V2,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0001;SRC-GDRIVE-FILE-0002;SRC-GDRIVE-FILE-0008,KNO-DEL-ALCOHOL-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001;KNO-DEL-APT-001;KNO-DEL-DOORTAG-001;KNO-DEL-PPOD-001;KNO-DEL-ATTEMPT-LIMIT-001
KNO-DEL-SIG-DSR-001,Delivering a Direct Signature Required package,READY_ROUTE_APPROVED,TAX-DELIVERY,ALREADY_ACTIVE_V2,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0001;SRC-GDRIVE-FILE-0002,KNO-DEL-SIG-ISR-001;KNO-DEL-SIG-ASR-001;KNO-DEL-DOORTAG-001;KNO-DEL-PPOD-001;KNO-DEL-NOTATION-001;KNO-DEL-ATTEMPT-LIMIT-001
KNO-DEL-SIG-ISR-001,Delivering an Indirect Signature Required package,READY_ROUTE_APPROVED,TAX-DELIVERY,ALREADY_ACTIVE_V2,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0001;SRC-GDRIVE-FILE-0002;SRC-GDRIVE-FILE-0008,KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ASR-001;KNO-DEL-ALCOHOL-001;KNO-DEL-DOORTAG-001;KNO-DEL-SRA-001;KNO-DEL-PPOD-001;KNO-DEL-ATTEMPT-LIMIT-001
KNO-DEL-SRA-001,ISR recipient leaves a Shipment Release Authorization form,SOURCE_VERIFIED,TAX-DELIVERY,ALREADY_ACTIVE_V2,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,KNO-DEL-SIG-ISR-001
KNO-DEL-TOBACCO-001,"Package is known or reasonably believed to contain tobacco, e-cigarette, or vaping products",PENDING_REVIEW,TAX-DELIVERY,HOLD_PENDING_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0002,
KNO-DOC-HANDSHEET-001,Driver asks how to complete a hand sheet or 'Blue Sheet' when FORGE or scanning is unavailable,READY_ROUTE_APPROVED,TAX-FORGE,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0011;SRC-GDRIVE-FILE-0012;SRC-GDRIVE-FILE-0014,KNO-DEL-HAL-DELIVERY-001;KNO-PUP-SCANNER-FAIL-001;KNO-HAZ-MANIFEST-001;KNO-INC-ACCIDENT-SCENE-001
KNO-DOT-ROADSIDE-REPORT-001,Driver receives a roadside inspection report,PENDING_REVIEW,TAX-DOT,HOLD_PENDING_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-ECFR-DOC-0001,KNO-VEH-PRETRIP-DEFECT-001
KNO-ETH-FALSIFICATION-001,Potential falsification or false certification during service,SOURCE_VERIFIED,TAX-ETHICS,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,
KNO-FORGE-AUDIO-ALERTS-001,Driver cannot disable delivery-instruction or pickup-closing audio in FORGE settings,POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,ARCHIVE_ONLY_OR_NOT_REINTRODUCED,SRC-GDRIVE-FILE-0010,
KNO-FORGE-BULK-001,FORGE presents a bulk delivery manifest or bulk pickup count,PENDING_REVIEW,TAX-FORGE,HOLD_PENDING_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-VEH-RENTAL-PREP-001
KNO-FORGE-BULK-TRANSFER-001,Transferring unattempted delivery stops to another work area or vehicle,PENDING_REVIEW,TAX-FORGE,ALREADY_ACTIVE_V2,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-FORGE-VEHICLE-CHANGE-001
KNO-FORGE-BUSINESS-CLOSURE-MSG-001,Reporting a business closure through FORGE,SOURCE_VERIFIED,TAX-PICKUP,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0005;SRC-GDRIVE-FILE-0008,KNO-PUP-WINDOW-RISK-001;KNO-FORGE-STATUS-SCOPE-001
KNO-FORGE-CALLTAG-SCOPE-001,Choosing whether a FORGE call-tag action applies to every call tag at the stop or only one,SOURCE_VERIFIED,TAX-PICKUP,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0006;SRC-GDRIVE-FILE-0008,KNO-PUP-CALLTAG-SUCCESS-001;KNO-PUP-CALLTAG-NOTREADY-001;KNO-PUP-CALLTAG-REFUSED-001;KNO-PUP-CALLTAG-RESTRICTED-001
KNO-FORGE-CAMERA-SCAN-001,Using the device camera to scan when the hardware scanner is unavailable,SOURCE_VERIFIED,TAX-FORGE,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0010,KNO-FORGE-MANUAL-BARCODE-001;KNO-DEL-BARCODE-001
KNO-FORGE-COMBINE-DELIVERY-001,Scanning packages from separate delivery stops causes FORGE to verify or combine the address,POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-FORGE-COMBO-STOP-001;KNO-DEL-BARCODE-001
KNO-FORGE-COMBO-STOP-001,Determining whether activities at one address are one stop or multiple stops,SOURCE_VERIFIED,TAX-FORGE,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0008,KNO-DEL-APT-001;KNO-DEL-LOCKER-FAIL-001;KNO-DEL-HAL-NONHAL-TRANSFER-001
KNO-FORGE-COMMENT-SCOPE-001,Choosing a package comment or stop comment in FORGE,POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0014,KNO-FORGE-STATUS-SCOPE-001
KNO-FORGE-DELAYED-LOGIN-001,FORGE authentication/network outage requires Delayed Login,SOURCE_VERIFIED,TAX-FORGE,FUTURE_SELECTIVE_REVIEW,ARCHIVE_ONLY_OR_NOT_REINTRODUCED,SRC-GDRIVE-FILE-0007,KNO-SEC-LOST-BADGE-001;KNO-ETH-FALSIFICATION-001
KNO-FORGE-DELETE-SCAN-001,Wrong package was accidentally scanned into a stop,SOURCE_VERIFIED,TAX-FORGE,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0008,KNO-DEL-MISDELIVERY-RECOVERY-001
KNO-FORGE-DEVICE-INFO-001,"Finding FORGE version, build, serial, device ID, or IP information for support",POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0010,KNO-FORGE-DELAYED-LOGIN-001;KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-EOD-001
KNO-FORGE-DEVICE-ROAD-001,Using a FORGE device while the vehicle is on the road,POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,ARCHIVE_ONLY_OR_NOT_REINTRODUCED,SRC-GDRIVE-FILE-0009,
KNO-FORGE-DEVICE-TIME-001,FORGE blocks login because the device date or time is incorrect,SOURCE_VERIFIED,TAX-FORGE,FUTURE_SELECTIVE_REVIEW,ARCHIVE_ONLY_OR_NOT_REINTRODUCED,SRC-MGB-DOC-0047,KNO-FORGE-DELAYED-LOGIN-001
KNO-FORGE-DISPLAY-NAV-SETTINGS-001,Changing FORGE navigation or stop-list display preferences,POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,ARCHIVE_ONLY_OR_NOT_REINTRODUCED,SRC-GDRIVE-FILE-0010,KNO-FORGE-DEVICE-ROAD-001;KNO-FORGE-LANGUAGE-001;KNO-FORGE-AUDIO-ALERTS-001
KNO-FORGE-DOWNLOAD-SYNC-001,"Pickup listing or delivery manifest did not download, or manifest needs refresh before service",POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-MGB-DOC-0042,KNO-FORGE-MANIFEST-PREVIEW-001;KNO-FORGE-DELAYED-LOGIN-001
KNO-FORGE-EDIT-ADDRESS-001,Shipping label address appears incorrect and FORGE offers Edit Address,PENDING_REVIEW,TAX-FORGE,HOLD_PENDING_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0014,KNO-DEL-NOTATION-001
KNO-FORGE-EOD-001,Completing FORGE End of Day after route service,PENDING_REVIEW,TAX-FORGE,HOLD_PENDING_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-MGB-DOC-0047,KNO-FORGE-VEHICLE-CHANGE-001;KNO-VEH-PRETRIP-DEFECT-001
KNO-FORGE-FIRST-LAUNCH-001,FORGE remains unavailable after first launch because device permissions were denied,POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-FORGE-MANIFEST-PERMISSIONS-001;KNO-FORGE-CAMERA-SCAN-001
KNO-FORGE-FLOATING-ACTION-001,Configuring the FORGE floating action button for a common stop action,SOURCE_VERIFIED,TAX-FORGE,FUTURE_SELECTIVE_REVIEW,ARCHIVE_ONLY_OR_NOT_REINTRODUCED,SRC-MGB-DOC-0047,KNO-FORGE-MANUAL-BARCODE-001;KNO-FORGE-STATUS-SCOPE-001
KNO-FORGE-LANGUAGE-001,Changing the displayed language in FORGE,POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-FORGE-AUDIO-ALERTS-001
KNO-FORGE-LOGIN-DISPATCH-001,Preparing a normal FORGE login and dispatch,PENDING_REVIEW,TAX-FORGE,HOLD_PENDING_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-FORGE-LOGIN-WARNING-001;KNO-FORGE-EOD-001;KNO-VEH-RENTAL-PREP-001;KNO-HAZ-MANIFEST-001
KNO-FORGE-LOGIN-WARNING-001,"FORGE login displays an authorization, medical-card, vehicle, CARB, HOS, or driver-qualification warning",PENDING_REVIEW,TAX-FORGE,HOLD_PENDING_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-QUAL-L10-ACTIVATION-001;KNO-HOS-UDE-001;KNO-VEH-ANNUAL-INSPECTION-001;KNO-VEH-CA-90DAY-INSPECTION-001
KNO-FORGE-MANIFEST-PERMISSIONS-001,Manifest Preview remains unavailable because device permissions were denied,POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,ARCHIVE_ONLY_OR_NOT_REINTRODUCED,SRC-GDRIVE-FILE-0013,KNO-FORGE-MANIFEST-PREVIEW-001
KNO-FORGE-MANIFEST-PREVIEW-001,Manifest Preview shows a potential misloaded or missing package before dispatch,READY_ROUTE_APPROVED,TAX-FORGE,ALREADY_ACTIVE_V2,ARCHIVE_ONLY_OR_NOT_REINTRODUCED,SRC-GDRIVE-FILE-0013,
KNO-FORGE-MANIFEST-SEARCH-001,Filtering or searching Manifest Preview before dispatch,POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,ARCHIVE_ONLY_OR_NOT_REINTRODUCED,SRC-GDRIVE-FILE-0013,KNO-FORGE-MANIFEST-PREVIEW-001;KNO-FORGE-MANIFEST-PERMISSIONS-001;KNO-FORGE-DOWNLOAD-SYNC-001
KNO-FORGE-MANUAL-BARCODE-001,FORGE hardware scan does not capture a supported barcode,SOURCE_VERIFIED,TAX-FORGE,ALREADY_ACTIVE_V2,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0014,KNO-DEL-BARCODE-001
KNO-FORGE-MERGE-PICKUP-001,Linking a zero-package or unlisted pickup to an existing listed pickup,POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-PUP-ZERO-001;KNO-PUP-UNLISTED-001
KNO-FORGE-MESSAGING-001,Sending a pickup or delivery message from FORGE,POTENTIALLY_OUTDATED,TAX-PICKUP,HOLD_POTENTIALLY_OUTDATED,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-FORGE-BUSINESS-CLOSURE-MSG-001;KNO-PUP-WINDOW-RISK-001;KNO-SEC-INCIDENT-REPORT-001
KNO-FORGE-MULTICODE-001,Choosing which barcode to scan on a FedEx multicode package label,POTENTIALLY_OUTDATED,TAX-FORGE,HOLD_POTENTIALLY_OUTDATED,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-FORGE-MANUAL-BARCODE-001;KNO-FORGE-CAMERA-SCAN-001
