occurrence_id,backlog_id,reference_identity,origin_source_id,origin_source_title,exact_locator,reference_basis,acquisition_status,review_status
REFSRC-OCC-0015,REFSRC-009,Current detailed vehicle-security and anti-theft standards,SRC-MGB-PAGE-0016,Equipment Terms,Complete visible Equipment Terms landing page and current document identities,Current pages reference more detailed equipment/security materials not yet acquired.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0016,REFSRC-010,SF-034,SRC-MGB-PAGE-0002,Transporting Hazardous Materials,Hazmat linked/reference-material section naming SF-034,Linked current portal page identifies this as a separate reminder-card source.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0017,REFSRC-011,Applicable current state CDL manuals and cited regulations,SRC-MGB-PAGE-0002,Transporting Hazardous Materials,"Hazmat training, CDL-manual, and regulatory-reference sections",High-stakes legal/compliance rules require current jurisdiction-specific controlling material.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0018,REFSRC-011,Applicable current state CDL manuals and cited regulations,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 pages 73 and 81,High-stakes legal/compliance rules require current jurisdiction-specific controlling material.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0019,REFSRC-012,OP-900LL/LG,SRC-MGB-PAGE-0002,Transporting Hazardous Materials,"OP-900 tag, shipping-paper/ERG, and loading sections","Portal/OP-117 describe tag-based contingencies, but current artifacts/instructions are separate sources.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0020,REFSRC-012,OP-900LL/LG,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 pages 72-73 and 77-80,"Portal/OP-117 describe tag-based contingencies, but current artifacts/instructions are separate sources.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0021,REFSRC-013,OP-901/OP-902,SRC-MGB-PAGE-0002,Transporting Hazardous Materials,"P&D manifest, outage-envelope, and facility check-in sections",Required to verify exact outage/manifest document handling.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0022,REFSRC-013,OP-901/OP-902,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 pages 76 and 80,Required to verify exact outage/manifest document handling.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0023,REFSRC-014,OP-950,SRC-MGB-PAGE-0002,Transporting Hazardous Materials,Pickup acceptance and dangerous-goods certification sections,Portal requires OP-950 or approved certification; exact current artifact remains unacquired.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0024,REFSRC-015,Current hazardous-material pickup acceptance table,SRC-MGB-PAGE-0002,Transporting Hazardous Materials,Hazardous-material pickup acceptance table and exception references,Required to avoid treating the portal summary as the complete acceptance matrix.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0025,REFSRC-016,OP-200/OP-200SP,SRC-GDRIVE-FILE-0001,Customer Experience Quick Reference MGB119110625.pdf,MGB-119 page 1,Reviewed guides describe workflows but do not establish whether all current form variants have identical effect.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0026,REFSRC-016,OP-200/OP-200SP,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,"OP-117 v2 pages 19, 41, and 46",Reviewed guides describe workflows but do not establish whether all current form variants have identical effect.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0027,REFSRC-017,OP-201,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,"OP-117 v2 pages 26-27, 35-37, and 42",Needed to resolve current authorization scope and the business-release conflict.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0028,REFSRC-017,OP-201,SRC-MGB-PAGE-0010,Commercial customers to initiate requests for OP-201 recipient release authorizations,Complete OP-201 request-initiation and verification page,Needed to resolve current authorization scope and the business-release conflict.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0029,REFSRC-017,OP-201,SRC-MGB-PAGE-0011,Beginning Nov. 17 commercial delivery driver release option available in STAR only with confirmed OP-201,Complete Nov. 17 OP-201 and special-shipper release page,Needed to resolve current authorization scope and the business-release conflict.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0030,REFSRC-018,OP-206,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 pages 23 and 47,Guide establishes the workflow; the current physical artifact remains unacquired.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0031,REFSRC-019,OP-406,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 page 45,Required to verify exact after-close HAL refusal artifact and QA-return handling.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0032,REFSRC-020,SF-136/OP-908,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 page 80,Reviewed guide establishes the paired-document exception; exact artifacts remain unacquired.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0033,REFSRC-021,Manufacturer-specific fifth-wheel and pintle-hook manuals/videos linked from MyGroundBiz,SRC-MGB-PAGE-0017,Trailer and Dolly Coupling,Trailer and Dolly Coupling page — manufacturer-specific linked PDFs/videos,Detailed equipment-specific coupling sequence cannot be completed from the landing-page summary.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0034,REFSRC-022,Current production FORGE application guide and release/version notes,SRC-GDRIVE-FILE-0008,FORGE PD 280 Application Guide FXG V0300812025.pdf,FORGE 2.8.0 Application Guide pages 1-5 and version-sensitive UI sections,Multiple UI records remain version-sensitive because the newest reviewed comprehensive guide is April 2025.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0035,REFSRC-022,Current production FORGE application guide and release/version notes,SRC-GDRIVE-FILE-0009,FORGE Quick Start Guide.pdf,FORGE Quick Start Guide pages 1-8 (FORGE 1.0.0),Multiple UI records remain version-sensitive because the newest reviewed comprehensive guide is April 2025.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0036,REFSRC-022,Current production FORGE application guide and release/version notes,SRC-GDRIVE-FILE-0010,FORGE Settings 220rev6102025.pdf,FORGE Settings guide pages 1-6 (FORGE 2.0.0),Multiple UI records remain version-sensitive because the newest reviewed comprehensive guide is April 2025.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0037,REFSRC-023,Embedded drop-box guides and role/authorization source,SRC-GDRIVE-FILE-0008,FORGE PD 280 Application Guide FXG V0300812025.pdf,FORGE 2.8.0 Application Guide pages 202-223 — embedded drop-box guide links and configuration paths,"Mechanical paths are reviewed, but authority for schedule/holiday/early-last-pickup changes is unresolved.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0038,REFSRC-023,Embedded drop-box guides and role/authorization source,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 pages 56-64,"Mechanical paths are reviewed, but authority for schedule/holiday/early-last-pickup changes is unresolved.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0039,REFSRC-024,Complete Disputed Delivery investigation and recovery procedure,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 page 40,OP-117 establishes prevention causes/customer expectations but not full post-complaint case resolution.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0040,REFSRC-025,Current Package Research Case/customer-inquiry workflow,SRC-GDRIVE-FILE-0003,FedEx_Driver_Bot_Scenarios.xlsx,Driver Scenarios workbook row 41,"Secondary scenarios identify the situation, but no controlling workflow is supplied.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0041,REFSRC-026,Current international pickup document requirements,SRC-GDRIVE-FILE-0008,FORGE PD 280 Application Guide FXG V0300812025.pdf,FORGE 2.8.0 Application Guide pages 86-91,Application UI confirms a document prompt but not the controlling document set.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0042,REFSRC-027,Current Collect on Delivery policy and custody/payment rules,SRC-GDRIVE-FILE-0008,FORGE PD 280 Application Guide FXG V0300812025.pdf,FORGE 2.8.0 Application Guide pages 97-101,"Application screens do not establish amount discrepancy, payment type, check allocation, payee, custody, or refusal rules.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0043,REFSRC-028,Qualification Certification FAQ/forms and First Advantage documentation,SRC-GDRIVE-FILE-0016,Personnel Qualification Verification Flow.pdf,"Personnel Qualification Verification Flow, full page — First Advantage Documentation & Resources reference",The one-page flow and reviewed qualification pages reference detailed gating supporting forms and First Advantage materials not yet acquired.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0044,REFSRC-028,Qualification Certification FAQ/forms and First Advantage documentation,SRC-MGB-PAGE-0004,Driver Safety Standards - Qualification Certification for P&D,Complete visible P&D qualification-certification page and linked-resource context,The one-page flow and reviewed qualification pages reference detailed gating supporting forms and First Advantage materials not yet acquired.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0045,REFSRC-028,Qualification Certification FAQ/forms and First Advantage documentation,SRC-MGB-PAGE-0005,Qualification Certification,Complete visible Qualification Certification page — linked FAQ and forms,The one-page flow and reviewed qualification pages reference detailed gating supporting forms and First Advantage materials not yet acquired.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0046,REFSRC-028,Qualification Certification FAQ/forms and First Advantage documentation,SRC-MGB-PAGE-0039,Standards for P&D Road Tests,Complete visible P&D road-test page — linked Qualification Conditions and Qualified Provider-supplied Record of Road Test,The one-page flow and reviewed qualification pages reference detailed gating supporting forms and First Advantage materials not yet acquired.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0047,REFSRC-029,Current ordinary recipient-refusal documentation and final-disposition procedure,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 page 40 — Status Code 006 definition,"OP-117 defines Status Code 006 for ordinary recipient refusal but does not establish the complete notation, door-tag, photo, custody, or station-return sequence.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0048,REFSRC-030,Current status-specific operational procedures and approval criteria for definition-only delivery codes,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 pages 39-43 — delivery-status table and definition-only entries,"Twenty-one current code entries define a condition/outcome without the complete authorization, documentation, custody, notification, or final-disposition workflow; exact codes and gaps are preserved in the translation ledger.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0049,REFSRC-031,ERG,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 pages 73 and 81,"The reviewed sources require the guidebook to remain immediately accessible and direct emergency use, but the current approved edition and response tables are not supplied.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0050,REFSRC-031,ERG,SRC-MGB-PAGE-0002,Transporting Hazardous Materials,Shipping-paper/ERG placement and leaking-package response sections,"The reviewed sources require the guidebook to remain immediately accessible and direct emergency use, but the current approved edition and response tables are not supplied.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0051,REFSRC-032,20159S,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 page 80,"OP-117 identifies the vehicle-mounted decal as a prohibited-material reference, but its current content is not supplied.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0052,REFSRC-033,SF-035,SRC-GDRIVE-FILE-0008,FORGE PD 280 Application Guide FXG V0300812025.pdf,FORGE 2.8.0 Application Guide page 26,"The April 2025 guide names SF-035, while later reviewed OP-117 and portal sources name HZ-035 and SF-034; the corpus cannot assume typo, supersession, duplication, or equivalent content.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0053,REFSRC-034,Current Alternate Signature physical signature record sheet and instructions,SRC-GDRIVE-FILE-0008,FORGE PD 280 Application Guide FXG V0300812025.pdf,FORGE 2.8.0 Application Guide pages 186-188,"The April 2025 guide demonstrates selecting a physical signature-record line number but does not identify the current form, complete fields, authorized eligibility, custody, or submission instructions.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0054,REFSRC-035,Current pickup-service type definitions and selection criteria,SRC-GDRIVE-FILE-0002,CustomerExperienceGuideUS10282024.pdf,OP-119 page 5,"The 2024 OP-119 guide defines FDO, SDO, PRP, CTG, SCH, AUT, and NAP but does not establish that labels, market availability, timing, or current FORGE selection criteria remain unchanged.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0055,REFSRC-036,Current controlling tobacco and e-cigarette shipment prohibition plus authorized commercial-exception criteria,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 page 14,Reviewed OP-117 and OP-119 sources establish the broad prohibition and individual-consumer ban but differ in whether a limited preauthorized commercial exception exists; current authority and approval criteria are not supplied.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0056,REFSRC-036,Current controlling tobacco and e-cigarette shipment prohibition plus authorized commercial-exception criteria,SRC-GDRIVE-FILE-0002,CustomerExperienceGuideUS10282024.pdf,OP-119 page 13,Reviewed OP-117 and OP-119 sources establish the broad prohibition and individual-consumer ban but differ in whether a limited preauthorized commercial exception exists; current authority and approval criteria are not supplied.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0057,REFSRC-037,Current non-hazmat pickup packaging acceptance refusal escalation and documentation procedure,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 pages 47-48 and 68-69,"Reviewed guides establish packaging condition expectations and station/customer-service escalation but do not establish complete driver acceptance/refusal authority, required documentation, custody, or final disposition.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0058,REFSRC-037,Current non-hazmat pickup packaging acceptance refusal escalation and documentation procedure,SRC-GDRIVE-FILE-0002,CustomerExperienceGuideUS10282024.pdf,OP-119 pages 4-5,"Reviewed guides establish packaging condition expectations and station/customer-service escalation but do not establish complete driver acceptance/refusal authority, required documentation, custody, or final disposition.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0059,REFSRC-038,Current pharmacy-counter signer eligibility release timing custody and unsuccessful-delivery procedure,SRC-GDRIVE-FILE-0008,FORGE PD 280 Application Guide FXG V0300812025.pdf,FORGE 2.8.0 Application Guide pages 104-106,"The FORGE guide identifies PHAR delivery and signature prompts but does not establish the complete current operational authority, eligible signer/ID rules, release limits, custody, or unsuccessful-delivery workflow.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0060,REFSRC-039,Current critical-healthcare designation timing tracker notification release custody and exception procedure,SRC-GDRIVE-FILE-0008,FORGE PD 280 Application Guide FXG V0300812025.pdf,FORGE 2.8.0 Application Guide pages 107-109,"The FORGE guide demonstrates critical-healthcare prompts and closeout screens but does not establish the complete current policy, notification, release, custody, or exception authority.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0061,REFSRC-040,MGBA-007;MGBA-007R;MGBA007RQR;MGBA-007VP,SRC-MGB-PAGE-0034,Alternative Vehicle Operations,Complete visible page — See more information about this option: Technical guides on MBA,"The reviewed Alternative Vehicle page names four MBA technical guides but does not expose their contents; they may add qualification, rental, approval, documentation, or exception branches beyond the minimum visible readiness sequence.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0062,REFSRC-041,2025 Driver Safety Guidebook,SRC-GDRIVE-FILE-0003,FedEx_Driver_Bot_Scenarios.xlsx,"Driver Scenarios workbook rows 24-32 — cited pages 54, 57-58, 79, 121-122, and 163-167","The current 2026 Dog Bite Prevention topic now establishes general avoidance, approaching-dog, knockdown, and wound-response guidance. The separately cited Driver Safety Guidebook is still absent for detailed behavioral-sign and pre-exit content plus the other named vehicle-safety scenarios.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0063,REFSRC-042,Company Safety and Operation Handbook,SRC-GDRIVE-FILE-0003,FedEx_Driver_Bot_Scenarios.xlsx,Driver Scenarios workbook rows 33-37 and 41 — cited Company Safety and Operation Handbook sections,Workbook scenarios cite a Company Safety and Operation Handbook that is not present in the supplied authoritative corpus; its exact edition provenance and authority must be established before any backing overhead-clearance route-help or other contractor-specific instruction is adopted.,NOT_ACQUIRED,NOT_YET_REVIEWED
