nav_id,title,url,site_section,review_status,relevance_status
MGB-NAV-0033,"Qualified Observer","https://www.mygroundbiz.com/en/operations/driver-qualification-resources/qualification-certification-for-pd/qualified-observer",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0034,"Standards for Linehaul Road Tests","https://www.mygroundbiz.com/en/operations/driver-qualification-resources/standards-for-linehaul-road-tests",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0035,"Driving Standards for Linehaul","https://www.mygroundbiz.com/en/operations/driver-qualification-resources/driving-standards-for-linehaul",operations,FULLY_REVIEWED,POTENTIALLY_RELEVANT
MGB-NAV-0036,"NETWORK 2.0","https://www.mygroundbiz.com/en/operations/NETWORK-2-0",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0037,"Facility Directory","https://www.mygroundbiz.com/en/operations/facility-directory",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0038,"Buy a Vehicle","https://www.mygroundbiz.com/en/vehicles-fuel/buy-sell-search-vehicles/buy-a-vehicle",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0039,"Sell a Vehicle","https://www.mygroundbiz.com/en/vehicles-fuel/buy-sell-search-vehicles/sell-a-vehicle",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0040,"My Vehicles","https://www.mygroundbiz.com/en/vehicles-fuel/buy-sell-search-vehicles/my-vehicles",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0041,"Trailer and Dolly Coupling","https://www.mygroundbiz.com/en/vehicles-fuel/vehicle-regulations/trailer-and-dolly-coupling",vehicles-fuel,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0042,"Annual Inspections","https://www.mygroundbiz.com/en/vehicles-fuel/vehicle-regulations/periodic-inspections",vehicles-fuel,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0043,"California P&D 90-Day Periodic Inspections","https://www.mygroundbiz.com/en/vehicles-fuel/state-regulations/pd-90-day-periodic-inspections",vehicles-fuel,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0044,"CARB Truck and Bus Regulation","https://www.mygroundbiz.com/en/vehicles-fuel/state-regulations/carb-truck-and-bus-regulation",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0045,"Illinois Equipment Lease Form","https://www.mygroundbiz.com/en/vehicles-fuel/state-regulations/illinois-equipment-lease-form",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0046,"Equipment Terms","https://www.mygroundbiz.com/en/vehicles-fuel/vehicle-standards-tbd/vehicle-standards",vehicles-fuel,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0047,"Vehicle Schematics","https://www.mygroundbiz.com/en/vehicles-fuel/vehicle-standards-tbd/vehicle-schematics",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0048,"Business Name on Vehicles","https://www.mygroundbiz.com/en/vehicles-fuel/vehicle-standards-tbd/business-name-on-vehicles",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0049,"Decal Installation Steps","https://www.mygroundbiz.com/en/vehicles-fuel/vehicle-standards-tbd/business-name-on-vehicles/decal-installation-steps",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0050,"Rental Vehicle Information","https://www.mygroundbiz.com/en/vehicles-fuel/vehicle-standards-tbd/rental-vehicle-information",vehicles-fuel,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0051,"Alternative Vehicle Operations","https://www.mygroundbiz.com/en/vehicles-fuel/vehicle-standards-tbd/alternative-vehicle-operations",vehicles-fuel,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0052,"Fuel Islands, Pricing","https://www.mygroundbiz.com/en/vehicles-fuel/fuel-information/fuel-islands-pricing",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0053,"EFS fuel cards","https://www.mygroundbiz.com/en/vehicles-fuel/fuel-information/fuel-management-surcharges",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0054,"Fuel Management","https://www.mygroundbiz.com/en/vehicles-fuel/fuel-information/Fuel-Management",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0055,"Electric Vehicle Information","https://www.mygroundbiz.com/en/vehicles-fuel/electric-vehicles/electric-vehicle-information",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0056,"Alternative Vehicle Insurance","https://www.mygroundbiz.com/en/vehicles-fuel/insurance/Alternative-Vehicle-Insurance",vehicles-fuel,FULLY_REVIEWED,POTENTIALLY_RELEVANT
MGB-NAV-0057,"Vehicle Insurance","https://www.mygroundbiz.com/en/vehicles-fuel/insurance/vehicle-insurance",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0058,"Insurance Cards","https://www.mygroundbiz.com/en/vehicles-fuel/insurance/insurance-cards",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0059,"Updating IRP Cab Cards","https://www.mygroundbiz.com/en/vehicles-fuel/June-1-2024-Resources/Updating-IRP-Cab-Cards",vehicles-fuel,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0060,"U.S. Linehaul Vendors","https://www.mygroundbiz.com/en/discounts-vendors/Agreement-Types/US-Linehaul",discounts-vendors,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0061,"U.S. P&D Vendors","https://www.mygroundbiz.com/en/discounts-vendors/Agreement-Types/us-pd",discounts-vendors,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0062,"Ordering Apparel","https://www.mygroundbiz.com/en/discounts-vendors/other-vendors/ordering-apparel",discounts-vendors,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0063,"Negotiations","https://www.mygroundbiz.com/en/agreement/general-agreement-information/Negotiations",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0064,"ISP Agreement","https://www.mygroundbiz.com/en/agreement/general-agreement-information/isp-agreement",agreement,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0065,"P&D MEDALS","https://www.mygroundbiz.com/en/agreement/general-agreement-information/PD-MEDALS",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0066,"U.S. TSP Agreement","https://www.mygroundbiz.com/en/agreement/general-agreement-information/us-transportation-service-provider-agreement",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0067,"Linehaul MEDALS","https://www.mygroundbiz.com/en/agreement/general-agreement-information/Linehaul-MEDALS",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0068,"Compliance","https://www.mygroundbiz.com/en/agreement/general-agreement-information/compliance",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0069,"Apparel Terms; Business Name Display","https://www.mygroundbiz.com/en/agreement/general-agreement-information/service-provider-apparel-terms",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0070,"ISP Agreement - Qualification Certification Conditions","https://www.mygroundbiz.com/en/agreement/safety-terms---eldp/isp-agreement-qualification-certification-conditions",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0071,"U.S. TSPA - Entry Level Driver Program (ELDP) for LH","https://www.mygroundbiz.com/en/agreement/safety-terms---eldp/us-tspa---entry-level-driver-program-for-lh",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0072,"Truck Driving Championships Points Incentive","https://www.mygroundbiz.com/en/agreement/safety-terms---eldp/Truck-Driving-Championships-Points-Incentive",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0073,"Growth Opportunities, Assignments and Transfers","https://www.mygroundbiz.com/en/agreement/growth-opportunities-notification-of-business-changes/assignments-and-transfers",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0074,"Personnel Changes","https://www.mygroundbiz.com/en/agreement/growth-opportunities-notification-of-business-changes/personnel-changes",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0075,"Accident Classification Dispute","https://www.mygroundbiz.com/en/agreement/dispute-processes/classification-of-vehicle-accident",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0076,"Invoice Dispute","https://www.mygroundbiz.com/en/agreement/dispute-processes/Invoice-Dispute",agreement,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0077,"Service Provider Collaborative Cohort","https://www.mygroundbiz.com/en/Recognition/Recognition/Service-Provider-Collaborative-Cohort",Recognition,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0078,"Humanitarian awards","https://www.mygroundbiz.com/en/Recognition/Recognition/humanitarian-awards",Recognition,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0079,"President's Awards","https://www.mygroundbiz.com/en/Recognition/Recognition/Presidents-Awards",Recognition,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0080,"FedEx Forward Service Provider Summit","https://www.mygroundbiz.com/en/Recognition/Events/Summit",Recognition,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0081,"Truck Driving Competitions","https://www.mygroundbiz.com/en/Recognition/Events/Truck-Driving-Competitions",Recognition,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0082,"CSCA SMS alert enhancements coming July 19","https://www.mygroundbiz.com/en/news/2026/CSCA-SMS-alert-enhancements-coming-July-19",news,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0083,"New Maverik fuel discount available","https://www.mygroundbiz.com/en/news/2026/New-Maverik-fuel-discount-available-at-more-than-200-locations",news,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0084,"Monthly Maintenance Record forms and User Guide","https://www.mygroundbiz.com/en/news/2026/Monthly-Maintenance-Record-forms-and-User-Guide",news,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0085,"Secure your next Route-Ready vehicle through Wheels","https://www.mygroundbiz.com/en/news/2026/Secure-your-next-Route-Ready-vehicle-through-Wheels",news,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0086,"TSPA settlement enhancements","https://www.mygroundbiz.com/en/news/2026/Kevin-Koken-TSPA-settlement-enhancements-to-be-announced-soon",news,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0087,"Recent Customer Alerts","https://www.mygroundbiz.com/news/CY26-recent-customer-alerts",news,FULLY_REVIEWED,TIME_SENSITIVE_RELEVANCE
