backlog_id,priority,source_identifier,title_or_description,origin_source_ids,affected_targets,affected_knowledge_ids,affected_taxonomy_ids,direct_gap_queue_resource_ids,contextual_resolution_queue_resource_ids,all_linked_queue_resource_ids,queue_link_class,acquisition_status,review_status,coverage_basis,required_follow_up
REFSRC-011,P0_BLOCKS_APPROVED_GUIDANCE,,Applicable current state CDL manuals and cited regulations,SRC-MGB-PAGE-0002;SRC-GDRIVE-FILE-0014,KNO-FORGE-LOGIN-WARNING-001;KNO-HOS-DUTY-LIMITS-001;KNO-HOS-RENTAL-ELD-001;KNO-HOS-SHORT-ADVERSE-001;TAX-DOT,KNO-FORGE-LOGIN-WARNING-001;KNO-HOS-DUTY-LIMITS-001;KNO-HOS-RENTAL-ELD-001;KNO-HOS-SHORT-ADVERSE-001,TAX-DOT;TAX-FORGE;TAX-HOS;TAX-QUALIFICATION;TAX-VEHICLE-SAFETY,,MGB-NAV-0022;MGB-NAV-0044;MGB-NAV-0068;MGB-NAV-0070,MGB-NAV-0022;MGB-NAV-0044;MGB-NAV-0068;MGB-NAV-0070,CONTEXTUAL_RESOLUTION_LINK_ONLY,NOT_ACQUIRED,NOT_YET_REVIEWED,"Non-verified record resolution rows name queued context pages, but no queue resource is explicitly linked to this source gap.",Review the contextual resolution pages and separately locate the exact missing source; a record dependency is not proof of source availability.
REFSRC-012,P1_COMPLETENESS,OP-900LL/LG,Current hazmat tags and use instructions,SRC-MGB-PAGE-0002;SRC-GDRIVE-FILE-0014,KNO-HAZ-MANIFEST-001,KNO-HAZ-MANIFEST-001,TAX-DOT;TAX-FORGE;TAX-HAZMAT,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-013,P1_COMPLETENESS,OP-901/OP-902,Current hazmat envelope artifacts and instructions,SRC-MGB-PAGE-0002;SRC-GDRIVE-FILE-0014,KNO-HAZ-MANIFEST-001,KNO-HAZ-MANIFEST-001,TAX-DOT;TAX-FORGE;TAX-HAZMAT,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-014,P1_COMPLETENESS,OP-950,Current dangerous-goods certification artifact and instructions,SRC-MGB-PAGE-0002,KNO-HAZ-ACCEPTANCE-001,KNO-HAZ-ACCEPTANCE-001,TAX-DOT;TAX-HAZMAT;TAX-PICKUP,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-015,P0_BLOCKS_APPROVED_GUIDANCE,,Current hazardous-material pickup acceptance table,SRC-MGB-PAGE-0002,KNO-HAZ-ACCEPTANCE-001,KNO-HAZ-ACCEPTANCE-001,TAX-DOT;TAX-HAZMAT;TAX-PICKUP,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-016,P1_COMPLETENESS,OP-200/OP-200SP,Current Shipment Status Door Tag forms and instructions,SRC-GDRIVE-FILE-0001;SRC-GDRIVE-FILE-0014,KNO-DEL-DOORTAG-001;KNO-DEL-SIG-ISR-001,KNO-DEL-DOORTAG-001;KNO-DEL-SIG-ISR-001,TAX-DELIVERY;TAX-DOORTAG;TAX-PHOTO;TAX-RELEASE;TAX-SIGNATURE,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-017,P0_BLOCKS_APPROVED_GUIDANCE,OP-201,Current recipient-release authorization form and controlling instructions,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0010;SRC-MGB-PAGE-0011,KNO-DEL-BUS-OP201-001,KNO-DEL-BUS-OP201-001,TAX-DELIVERY;TAX-RELEASE,,MGB-NAV-0068,MGB-NAV-0068,CONTEXTUAL_RESOLUTION_LINK_ONLY,NOT_ACQUIRED,NOT_YET_REVIEWED,"Non-verified record resolution rows name queued context pages, but no queue resource is explicitly linked to this source gap.",Review the contextual resolution pages and separately locate the exact missing source; a record dependency is not proof of source availability.
REFSRC-018,P1_COMPLETENESS,OP-206,Current alternate signature card/form and instructions,SRC-GDRIVE-FILE-0014,KNO-DEL-OP206-001,KNO-DEL-OP206-001,TAX-DELIVERY;TAX-FORGE;TAX-HANDSHET;TAX-SIGNATURE,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-019,P1_COMPLETENESS,OP-406,Current GHAL Send to QA form/label and instructions,SRC-GDRIVE-FILE-0014,KNO-DEL-HAL-UNABLE-001,KNO-DEL-HAL-UNABLE-001,TAX-DELIVERY;TAX-FORGE;TAX-HAL;TAX-PICKUP;TAX-STATUS,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-020,P1_COMPLETENESS,SF-136/OP-908,Current Special Permit 14691 and Hazardous Materials Shipper Error Notification artifacts,SRC-GDRIVE-FILE-0014,KNO-HAZ-SF136-001,KNO-HAZ-SF136-001,TAX-DELIVERY;TAX-DOT;TAX-HAZMAT,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-021,P0_BLOCKS_APPROVED_GUIDANCE,,Manufacturer-specific fifth-wheel and pintle-hook manuals/videos linked from MyGroundBiz,SRC-MGB-PAGE-0017,KNO-LH-COUPLING-BASIC-001,KNO-LH-COUPLING-BASIC-001,TAX-COUPLING;TAX-DOT;TAX-LINEHAUL;TAX-VEHICLE-SAFETY,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-022,P0_BLOCKS_APPROVED_GUIDANCE,,Current production FORGE application guide and release/version notes,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0009;SRC-GDRIVE-FILE-0010,KNO-FORGE-AUDIO-ALERTS-001;KNO-FORGE-BULK-001;KNO-FORGE-BULK-TRANSFER-001;KNO-FORGE-COMBINE-DELIVERY-001;KNO-FORGE-COMMENT-SCOPE-001;KNO-FORGE-DEVICE-INFO-001;KNO-FORGE-DEVICE-ROAD-001;KNO-FORGE-DISPLAY-NAV-SETTINGS-001;KNO-FORGE-DOWNLOAD-SYNC-001;KNO-FORGE-EDIT-ADDRESS-001;KNO-FORGE-EOD-001;KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-LANGUAGE-001;KNO-FORGE-LOGIN-DISPATCH-001;KNO-FORGE-LOGIN-WARNING-001;KNO-FORGE-MANIFEST-PERMISSIONS-001;KNO-FORGE-MANIFEST-PREVIEW-001;KNO-FORGE-MANIFEST-SEARCH-001;KNO-FORGE-MERGE-PICKUP-001;KNO-FORGE-MESSAGING-001;KNO-FORGE-MULTICODE-001;KNO-FORGE-SPLIT-DELIVERY-001;KNO-FORGE-STANDARD-DELIVERY-001;KNO-FORGE-STANDARD-PICKUP-001;KNO-FORGE-SYNC-QUEUE-001;KNO-FORGE-TIME-REMINDER-001;KNO-FORGE-UNMANIFESTED-DELIVERY-001;KNO-FORGE-VEHICLE-CHANGE-001;KNO-PUP-CALLTAG-FRAUD-001;KNO-PUP-OFFER-DECLINE-001;TAX-FORGE,KNO-FORGE-AUDIO-ALERTS-001;KNO-FORGE-BULK-001;KNO-FORGE-BULK-TRANSFER-001;KNO-FORGE-COMBINE-DELIVERY-001;KNO-FORGE-COMMENT-SCOPE-001;KNO-FORGE-DEVICE-INFO-001;KNO-FORGE-DEVICE-ROAD-001;KNO-FORGE-DISPLAY-NAV-SETTINGS-001;KNO-FORGE-DOWNLOAD-SYNC-001;KNO-FORGE-EDIT-ADDRESS-001;KNO-FORGE-EOD-001;KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-LANGUAGE-001;KNO-FORGE-LOGIN-DISPATCH-001;KNO-FORGE-LOGIN-WARNING-001;KNO-FORGE-MANIFEST-PERMISSIONS-001;KNO-FORGE-MANIFEST-PREVIEW-001;KNO-FORGE-MANIFEST-SEARCH-001;KNO-FORGE-MERGE-PICKUP-001;KNO-FORGE-MESSAGING-001;KNO-FORGE-MULTICODE-001;KNO-FORGE-SPLIT-DELIVERY-001;KNO-FORGE-STANDARD-DELIVERY-001;KNO-FORGE-STANDARD-PICKUP-001;KNO-FORGE-SYNC-QUEUE-001;KNO-FORGE-TIME-REMINDER-001;KNO-FORGE-UNMANIFESTED-DELIVERY-001;KNO-FORGE-VEHICLE-CHANGE-001;KNO-PUP-CALLTAG-FRAUD-001;KNO-PUP-OFFER-DECLINE-001,TAX-BARCODE-ENTRY;TAX-BULK;TAX-CALLTAG;TAX-COMMENTS;TAX-CXPC;TAX-DELIVERY;TAX-DOT;TAX-EOD;TAX-FORGE;TAX-HOS;TAX-PICKUP;TAX-PICKUP-RECON;TAX-PREMIUM;TAX-QUALIFICATION;TAX-STATUS;TAX-STOP-STRUCTURE;TAX-SYNC;TAX-VEHICLE-CHANGE;TAX-VEHICLE-SAFETY,MGB-NAV-0022,MGB-NAV-0022;MGB-NAV-0044;MGB-NAV-0068;MGB-NAV-0070;MGB-NAV-0084,MGB-NAV-0022;MGB-NAV-0044;MGB-NAV-0068;MGB-NAV-0070;MGB-NAV-0084,DIRECT_GAP_AND_CONTEXTUAL_RESOLUTION_LINKS,NOT_ACQUIRED,NOT_YET_REVIEWED,The queue has an explicit related-gap link and record-resolution dependencies. Neither link proves that a page contains the missing source.,"Acquire and fully review the direct gap-linked resources, inspect the contextual resolution pages, and locate the exact missing source before reconciling this backlog row."
REFSRC-023,P0_BLOCKS_APPROVED_GUIDANCE,,Embedded drop-box guides and role/authorization source,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0014,KNO-PUP-DROPBOX-SCHEDULE-001,KNO-PUP-DROPBOX-SCHEDULE-001,TAX-DROPBOX;TAX-FORGE;TAX-PICKUP;TAX-SYNC,,MGB-NAV-0022,MGB-NAV-0022,CONTEXTUAL_RESOLUTION_LINK_ONLY,NOT_ACQUIRED,NOT_YET_REVIEWED,"Non-verified record resolution rows name queued context pages, but no queue resource is explicitly linked to this source gap.",Review the contextual resolution pages and separately locate the exact missing source; a record dependency is not proof of source availability.
REFSRC-024,P0_BLOCKS_APPROVED_GUIDANCE,,Complete Disputed Delivery investigation and recovery procedure,SRC-GDRIVE-FILE-0014,KNO-DEL-DISPUTE-PREVENTION-001,KNO-DEL-DISPUTE-PREVENTION-001,TAX-DELIVERY;TAX-INDIRECT;TAX-RELEASE,MGB-NAV-0018,,MGB-NAV-0018,DIRECT_GAP_LINK_ONLY,NOT_ACQUIRED,NOT_YET_REVIEWED,The queue has an explicit related-gap link based on reviewed source/path discovery; content and source availability remain unverified.,Acquire and fully review the direct gap-linked resources and verify whether they provide the exact missing source before reconciling this backlog row.
REFSRC-025,P0_BLOCKS_APPROVED_GUIDANCE,,Current Package Research Case/customer-inquiry workflow,SRC-GDRIVE-FILE-0003,TAX-DELIVERY,,TAX-DELIVERY,MGB-NAV-0018,,MGB-NAV-0018,DIRECT_GAP_LINK_ONLY,NOT_ACQUIRED,NOT_YET_REVIEWED,The queue has an explicit related-gap link based on reviewed source/path discovery; content and source availability remain unverified.,Acquire and fully review the direct gap-linked resources and verify whether they provide the exact missing source before reconciling this backlog row.
REFSRC-026,P0_BLOCKS_APPROVED_GUIDANCE,,Current international pickup document requirements,SRC-GDRIVE-FILE-0008,KNO-PUP-INTERNATIONAL-DOCS-001,KNO-PUP-INTERNATIONAL-DOCS-001,TAX-INTERNATIONAL;TAX-PICKUP,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-027,P0_BLOCKS_APPROVED_GUIDANCE,,Current Collect on Delivery policy and custody/payment rules,SRC-GDRIVE-FILE-0008,KNO-DEL-COD-MULTI-001,KNO-DEL-COD-MULTI-001,TAX-COD;TAX-DELIVERY;TAX-FORGE,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-028,P0_BLOCKS_APPROVED_GUIDANCE,,Qualification Certification FAQ/forms and First Advantage documentation,SRC-GDRIVE-FILE-0016;SRC-MGB-PAGE-0004;SRC-MGB-PAGE-0005;SRC-MGB-PAGE-0039,KNO-FORGE-LOGIN-WARNING-001;KNO-QUAL-L10-ACTIVATION-001;KNO-QUAL-PD-ROADTEST-001,KNO-FORGE-LOGIN-WARNING-001;KNO-QUAL-L10-ACTIVATION-001;KNO-QUAL-PD-ROADTEST-001,TAX-DOT;TAX-FORGE;TAX-HOS;TAX-QUALIFICATION;TAX-ROAD-TEST;TAX-VEHICLE-SAFETY,MGB-NAV-0029;MGB-NAV-0030;MGB-NAV-0033;MGB-NAV-0070,MGB-NAV-0022;MGB-NAV-0029;MGB-NAV-0030;MGB-NAV-0033;MGB-NAV-0044;MGB-NAV-0068;MGB-NAV-0070,MGB-NAV-0022;MGB-NAV-0029;MGB-NAV-0030;MGB-NAV-0033;MGB-NAV-0044;MGB-NAV-0068;MGB-NAV-0070,DIRECT_GAP_AND_CONTEXTUAL_RESOLUTION_LINKS,NOT_ACQUIRED,NOT_YET_REVIEWED,The queue has an explicit related-gap link and record-resolution dependencies. Neither link proves that a page contains the missing source.,"Acquire and fully review the direct gap-linked resources, inspect the contextual resolution pages, and locate the exact missing source before reconciling this backlog row."
REFSRC-029,P0_BLOCKS_APPROVED_GUIDANCE,,Current ordinary recipient-refusal documentation and final-disposition procedure,SRC-GDRIVE-FILE-0014,KNO-DEL-REFUSED-001,KNO-DEL-REFUSED-001,TAX-DELIVERY;TAX-FORGE;TAX-STATUS,MGB-NAV-0018,MGB-NAV-0018,MGB-NAV-0018,DIRECT_GAP_AND_CONTEXTUAL_RESOLUTION_LINKS,NOT_ACQUIRED,NOT_YET_REVIEWED,The queue has an explicit related-gap link and record-resolution dependencies. Neither link proves that a page contains the missing source.,"Acquire and fully review the direct gap-linked resources, inspect the contextual resolution pages, and locate the exact missing source before reconciling this backlog row."
REFSRC-030,P0_BLOCKS_APPROVED_GUIDANCE,,Current status-specific operational procedures and approval criteria for definition-only delivery codes,SRC-GDRIVE-FILE-0014,knowledge/status_code_translation_coverage.csv,,,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-031,P0_BLOCKS_APPROVED_GUIDANCE,ERG,Current approved DOT Emergency Response Guidebook edition,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002,KNO-HAZ-LOAD-PAPERS-001;KNO-HAZ-LEAK-001,KNO-HAZ-LEAK-001;KNO-HAZ-LOAD-PAPERS-001,TAX-DOT;TAX-HAZMAT;TAX-INCIDENT,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-032,P1_COMPLETENESS,20159S,Current Hazardous Materials Prohibited/Acceptable Labels Decal,SRC-GDRIVE-FILE-0014,KNO-HAZ-ACCEPTANCE-001,KNO-HAZ-ACCEPTANCE-001,TAX-DOT;TAX-HAZMAT;TAX-PICKUP,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-033,P0_BLOCKS_APPROVED_GUIDANCE,SF-035,Hazmat Reminder Card named by the April 2025 FORGE guide,SRC-GDRIVE-FILE-0008,KNO-HAZ-ACCEPTANCE-001,KNO-HAZ-ACCEPTANCE-001,TAX-DOT;TAX-HAZMAT;TAX-PICKUP,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-034,P0_BLOCKS_APPROVED_GUIDANCE,,Current Alternate Signature physical signature record sheet and instructions,SRC-GDRIVE-FILE-0008,KNO-DEL-ALT-SIGNATURE-001,KNO-DEL-ALT-SIGNATURE-001,TAX-DELIVERY;TAX-FORGE;TAX-HANDSHET;TAX-SIGNATURE,,MGB-NAV-0022,MGB-NAV-0022,CONTEXTUAL_RESOLUTION_LINK_ONLY,NOT_ACQUIRED,NOT_YET_REVIEWED,"Non-verified record resolution rows name queued context pages, but no queue resource is explicitly linked to this source gap.",Review the contextual resolution pages and separately locate the exact missing source; a record dependency is not proof of source availability.
REFSRC-035,P1_COMPLETENESS,,Current pickup-service type definitions and selection criteria,SRC-GDRIVE-FILE-0002,KNO-PUP-SERVICE-TYPES-001,KNO-PUP-SERVICE-TYPES-001,TAX-PICKUP,,MGB-NAV-0022,MGB-NAV-0022,CONTEXTUAL_RESOLUTION_LINK_ONLY,NOT_ACQUIRED,NOT_YET_REVIEWED,"Non-verified record resolution rows name queued context pages, but no queue resource is explicitly linked to this source gap.",Review the contextual resolution pages and separately locate the exact missing source; a record dependency is not proof of source availability.
REFSRC-036,P0_BLOCKS_APPROVED_GUIDANCE,,Current controlling tobacco and e-cigarette shipment prohibition plus authorized commercial-exception criteria,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0002,KNO-DEL-TOBACCO-001,KNO-DEL-TOBACCO-001,TAX-DELIVERY,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-037,P0_BLOCKS_APPROVED_GUIDANCE,,Current non-hazmat pickup packaging acceptance refusal escalation and documentation procedure,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0002,KNO-PUP-PACKAGING-001,KNO-PUP-PACKAGING-001,TAX-PICKUP,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-038,P0_BLOCKS_APPROVED_GUIDANCE,,Current pharmacy-counter signer eligibility release timing custody and unsuccessful-delivery procedure,SRC-GDRIVE-FILE-0008,KNO-DEL-PHARMACY-001,KNO-DEL-PHARMACY-001,TAX-DELIVERY;TAX-PHARMACY;TAX-SIGNATURE,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
