queue_order,resource_type,resource_id,title,url,capture_wave,priority_basis,related_gap_ids,candidate_comparison_source_ids,affected_nonverified_knowledge_ids,affected_current_evidence_knowledge_ids,affected_taxonomy_ids,work_state,state_basis,capture_action,completion_gate
11,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0025,SRS and SRI FAQ — French,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/SRS-SRI/FAQ_SRS-and-SRI_MGB_Final_French_42726.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
12,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0026,Alternative Vehicle Operations Statement of Lease,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Vehicles/Vehicle-Standards/Alternative-Vehicles/Alternative-Vehicle-Operations-Statement-of-Lease101424.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
13,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0027,Alternative Vehicle Operations Statement of Sub-Lease,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Vehicles/Vehicle-Standards/Alternative-Vehicles/Alternative-Vehicle-Operations-Statement-of-Sub-Lease101424.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
14,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0028,Trailer Pull Safety Regulations and Safety Obligations — updated flyer,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/Linehaul/22FL295-FXG-Customer-PUs-Trailer-Pull-SOP-updated-080222.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
15,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0029,Trailer Pull Safety Regulations and Safety Obligations — July 2022 flyer,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/Linehaul/22FL295-FXG-Customer-PUs-Trailer-Pull-SOP-July-2022.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
16,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0030,Trailer dock pull regulations and safety obligations — printable English,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/Linehaul/Trailer-dock-pull-regulations-and-safety-obligationsLHMGB2822FINAL.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
17,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0031,Trailer dock pull regulations and safety obligations — French,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/Linehaul/Trailer-dock-pull-regulations-and-safety-obligationsMGB21622FRFINAL.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
18,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0032,ISP Agreement Qualification Certification Conditions,https://www.mygroundbiz.com/login?redirect=//-/media/FXGMGB/docs/Agreement/Safety-Terms/Qualification-Certification-Conditions--ISPA-01012025.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
19,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0033,Linehaul ELDP Checklist,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/Driver-Qualification/Driving-Standards-for-Linehaul/LH-ELDP-Checklistrev71624.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
20,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0034,Linehaul ELDP Frequently Asked Questions,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/Driver-Qualification/Driving-Standards-for-Linehaul/FAQ-LH-ELDPrev7172024FINAL.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
21,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0035,Driving School Form SF-012,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/SF-012_20240627_CP1.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
22,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0036,Driving School Evaluation and Guidelines SF-011,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/Driving-schools/SF011-Driving-School-Terms1292022.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
23,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0037,Qualified Linehaul Driving Schools list,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/Driving-schools/2025/Qualified-Linehaul-Driving-Schools-V104US91225.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
24,UNREVIEWED_PRIMARY_PAGE,SRC-MGB-PAGE-0026,Pure Country requests NSR packages be released on first attempt,https://www.mygroundbiz.com/news/2025/Pure-Country-requests-NSR-packages-be-released-on-first-attempt,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,AUTHENTICATED_DURABLE_CAPTURE_COMPLETE_PAGE_AND_COMPLETE_REVIEW,DURABLE_PAGE_CAPTURE_LINK_INVENTORY_AND_SOURCE_STATUS_RECONCILED
25,UNREVIEWED_PRIMARY_PAGE,SRC-MGB-PAGE-0027,Customer expectations for Orvis retail store pickups and deliveries,https://www.mygroundbiz.com/news/2025/Customer-expectations-for-Orvis-retail-store-pickups-and-deliveries,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,AUTHENTICATED_DURABLE_CAPTURE_COMPLETE_PAGE_AND_COMPLETE_REVIEW,DURABLE_PAGE_CAPTURE_LINK_INVENTORY_AND_SOURCE_STATUS_RECONCILED
26,UNREVIEWED_PRIMARY_PAGE,SRC-MGB-PAGE-0028,Customer requests valuable ACT packages to be handled with care (2025),https://www.mygroundbiz.com/news/2025/Customer-requests-valuable-ACT-packages-to-be-handled-with-care,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,AUTHENTICATED_DURABLE_CAPTURE_COMPLETE_PAGE_AND_COMPLETE_REVIEW,DURABLE_PAGE_CAPTURE_LINK_INVENTORY_AND_SOURCE_STATUS_RECONCILED
27,UNREVIEWED_PRIMARY_PAGE,SRC-MGB-PAGE-0029,Customer requests valuable ACT packages to be handled with care (2026),https://www.mygroundbiz.com/news/2026/Customer-requests-valuable-ACT-packages-to-be-handled-with-care,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,AUTHENTICATED_DURABLE_CAPTURE_COMPLETE_PAGE_AND_COMPLETE_REVIEW,DURABLE_PAGE_CAPTURE_LINK_INVENTORY_AND_SOURCE_STATUS_RECONCILED
28,UNREVIEWED_PRIMARY_PAGE,SRC-MGB-PAGE-0032,Dick's Sporting Goods Scan All Exemption (2023),https://www.mygroundbiz.com/news/2023/Dicks-Sporting-Goods-scan-all-exemption,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,AUTHENTICATED_DURABLE_CAPTURE_COMPLETE_PAGE_AND_COMPLETE_REVIEW,DURABLE_PAGE_CAPTURE_LINK_INVENTORY_AND_SOURCE_STATUS_RECONCILED
